property_id,property_url,leiloeiro_nome,leiloeiro_slug,leiloeiro_site
2861306,https://www.leilaoimovel.com.br/imovel/sp/sao-paulo/residencial-apartamento-a-venda-em-leilao-imovel-banco-santander-2861306,Portal Zuk,portal-zuk,https://www.portalzuk.com.br/
2861295,https://www.leilaoimovel.com.br/imovel/sp/sao-paulo/residencial-casa-a-venda-em-leilao-imovel-banco-santander-2861295,Portal Zuk,portal-zuk,https://www.portalzuk.com.br/
2861204,https://www.leilaoimovel.com.br/imovel/ma/imperatriz/residencial-casa-a-venda-em-leilao-imovel-bradesco-2861204,Portal Zuk,portal-zuk,https://www.portalzuk.com.br/
2861198,https://www.leilaoimovel.com.br/imovel/sp/campinas/residencial-apartamento-a-venda-em-leilao-imovel-bradesco-2861198,Portal Zuk,portal-zuk,https://www.portalzuk.com.br/
2861175,https://www.leilaoimovel.com.br/imovel/rs/porto-alegre/residencial-apartamento-a-venda-em-leilao-imovel-2861175,Portal Zuk,portal-zuk,https://www.portalzuk.com.br/
2860045,https://www.leilaoimovel.com.br/imovel/rj/rio-de-janeiro/residencial-leilao-caixa-0029-0226-cpa-re-imovel-caixa-economica-federal-cef-2860045,Porto Leilões,porto-leiloes,https://www.portoleiloes.com.br/
2859985,https://www.leilaoimovel.com.br/imovel/pb/joao-pessoa/residencial-leilao-caixa-0029-0226-cpa-re-imovel-caixa-economica-federal-cef-2859985,Porto Leilões,porto-leiloes,https://www.portoleiloes.com.br/
2859872,https://www.leilaoimovel.com.br/imovel/sp/sao-paulo/residencial-leilao-caixa-0029-0226-cpa-re-imovel-caixa-economica-federal-cef-2859872,Porto Leilões,porto-leiloes,https://www.portoleiloes.com.br/
2859781,https://www.leilaoimovel.com.br/imovel/ms/campo-grande/residencial-leilao-caixa-0029-0226-cpa-re-imovel-caixa-economica-federal-cef-2859781,Porto Leilões,porto-leiloes,https://www.portoleiloes.com.br/
2859750,https://www.leilaoimovel.com.br/imovel/pe/jaboatao-dos-guararapes/residencial-leilao-caixa-0029-0226-cpa-re-imovel-caixa-economica-federal-cef-2859750,Porto Leilões,porto-leiloes,https://www.portoleiloes.com.br/
2859748,https://www.leilaoimovel.com.br/imovel/pe/jaboatao-dos-guararapes/residencial-leilao-caixa-0029-0226-cpa-re-imovel-caixa-economica-federal-cef-2859748,Porto Leilões,porto-leiloes,https://www.portoleiloes.com.br/
2859603,https://www.leilaoimovel.com.br/imovel/mg/contagem/residencial-leilao-caixa-0029-0226-cpa-re-imovel-caixa-economica-federal-cef-2859603,Porto Leilões,porto-leiloes,https://www.portoleiloes.com.br/
2858330,https://www.leilaoimovel.com.br/imovel/rs/capao-da-canoa/residencial-apartamento-104-m-capao-da-canoa-rs-rua-guaraci-2-856-apto-801-centro-navegantes-imovel-bradesco-2858330,Mega Leilões,mega-leiloes,https://www.megaleiloes.com.br/
2858326,https://www.leilaoimovel.com.br/imovel/pr/foz-do-iguacu/residencial-casa-75-m-foz-do-iguacu-pr-rua-guaraciaba-423-casa-01-do-condominio-residencial-huller-ii-imovel-bradesco-2858326,Mega Leilões,mega-leiloes,https://www.megaleiloes.com.br/
2858325,https://www.leilaoimovel.com.br/imovel/sp/sao-paulo/residencial-casa-224-m-sao-paulo-sp-rua-francisco-narcizo-100-casa-17-do-tipo-a2-tremembe-imovel-bradesco-2858325,Mega Leilões,mega-leiloes,https://www.megaleiloes.com.br/
2858323,https://www.leilaoimovel.com.br/imovel/sp/itu/residencial-casa-202-m-itu-sp-av-daniel-ratti-121-pinheirinho-imovel-bradesco-2858323,Mega Leilões,mega-leiloes,https://www.megaleiloes.com.br/
