dominio,online,http_status,url_final,tempo_ms,bloqueia_bot,motivo_bloqueio,tem_sitemap,sitemaps,tem_jsonld,tipos_jsonld,tem_opengraph,plataforma,favicon_hash,cluster,servidor,titulo,ssl_ok,erro
www.albertomacedoleiloes.com.br,SIM,200,https://www.albertomacedoleiloes.com.br/,490,não,,SIM,/sitemap/cms | /sitemap/leiloes | /sitemap/lotes,não,,SIM,,4fc21bcac5a287efab2d874c729ddd2e,favicon:4fc21bcac5,cloudflare,Carregando...,NÃO,
www.123leiloes.com.br,SIM,200,https://www.123leiloes.com.br/,671,não,,SIM,https://www.123leiloes.com.br/sitemap.xml,não,,SIM,,,—,cloudflare,123 Leilões | Leilões judiciais e extrajudiciais,NÃO,
www.alienajud.com.br,SIM,200,https://www.alienajud.com.br/,517,não,,SIM,https://www.alienajud.com.br/sitemap.xml,não,,SIM,,,—,cloudflare,Alienajud,NÃO,
www.allianceleiloes.com.br,SIM,200,https://www.allianceleiloes.com.br/,567,não,,SIM,https://www.allianceleiloes.com.br/sitemap.xml,não,,não,,1153be1e7da2ae14504766d13a2f9818,asset:valida.jornaldosleiloes.com.br,cloudflare,Alliance Leilões » Leiloeiro Público,NÃO,
www.agleiloes.com.br,SIM,200,https://www.agleiloes.com.br/,507,não,,SIM,https://www.agleiloes.com.br/sitemap.xml,não,,SIM,,,—,cloudflare,AG Leilões | Leilões judiciais e extrajudiciais,NÃO,
www.alexandrecostaleiloes.com.br,SIM,200,https://www.alexandrecostaleiloes.com.br/,936,não,,não,,não,,não,,,—,Microsoft-IIS/10.0,,NÃO,
www.alexandridisleiloes.com.br,SIM,200,https://www.alexandridis.leilao.br/,479,SIM,captcha,SIM,https://www.alexandridis.leilao.br/sitemap.xml,não,,não,Superbid,ed8ccfc273390cf98a60fe15d263db0c,Superbid,cloudflare,Alexandridis Leilões,NÃO,
www.alfaleiloes.com,SIM,200,https://www.alfaleiloes.com/,1711,SIM,captcha,não,,não,,SIM,,5568cc6e29062f7b43161670e15c1feb,asset:alfaleiloes-novo.s3.amazonaws.com,cloudflare,Alfa Leilões | Especialista em Imóveis |,NÃO,
www.3torresleiloes.com.br,SIM,200,https://www.3torresleiloes.com.br/,1743,não,,SIM,https://www.3torresleiloes.com.br/sitemap.xml,não,,SIM,,ee35bdd8ce70b5d013073cb8cd250803,asset:944d11d968d49f4d.cdn.gocache.net,cloudflare,"3 Torres Leilões - Leilões Judiciais e Extrajudiciais, Online e Presenciais",NÃO,
www.agostinholeiloes.com.br,SIM,200,https://www.agostinholeiloes.com.br/,1110,não,,SIM,https://www.agostinholeiloes.com.br/sitemap.xml,não,,SIM,,5d7346b70e011bc09ff07ce6ec18c3dd,asset:3b666ae36f8a71be.cdn.gocache.net,cloudflare,Agostinho Leilões,NÃO,
www.amaralleiloes.com.br,SIM,200,https://www.amaralleiloes.com.br/,1538,não,,SIM,https://www.amaralleiloes.com.br/sitemap.xml,não,,SIM,,fbe6f5c34d64d5d10b4d2e8e8e351e7b,favicon:fbe6f5c34d,cloudflare,"Leilões Judiciais e Extrajudiciais, Online e Presenciais",NÃO,
www.alexandrepedrosaleiloeiro.com.br,SIM,200,https://www.alexandrepedrosaleiloeiro.com.br/,1826,não,,SIM,https://www.alexandrepedrosaleiloeiro.com.br/sitemap.xml,não,,SIM,,4e937262011ddee6ea9299dd08985b18,favicon:4e93726201,cloudflare,Alexandre Pedrosa Leiloeiro,NÃO,
www.arremax.com.br,SIM,200,https://www.arremaxleiloes.com.br/,430,não,,SIM,https://www.arremaxleiloes.com.br/sitemap.xml,não,,SIM,,,asset:arremaxleiloes.com.br,cloudflare,Arremax Leilões,NÃO,
www.almeidaleiloes.com.br,SIM,200,https://www.aragaoleiloes.com.br/,1411,não,,SIM,https://www.aragaoleiloes.com.br/sitemap.xml,não,,SIM,,da78cff594b2f3a5ef32fb49f14291cd,asset:aragaoleiloes.com.br,cloudflare,Aragão Leilões,NÃO,
www.alexandroleiloeiro.com.br,SIM,200,https://www.alexandroleiloeiro.com.br/,1068,não,,não,,não,,não,,,asset:static.suporteleiloes.com.br,cloudflare,Alexandro Leiloeiro,NÃO,
www.bcoleiloes.com.br,SIM,200,https://www.bcoleiloes.com.br/,262,não,,SIM,https://www.bcoleiloes.com.br/sitemap.xml,não,,SIM,,,—,cloudflare,BCO Leilões,NÃO,
www.arrematabem.com.br,SIM,200,https://arrematabem.com.br/,894,não,,não,,não,,SIM,Laravel,,Laravel,cloudflare,ARREMATA BEM LEILÕES JUDICIAIS,NÃO,
