leiloeiro,titulo,descricao,cidade,estado,tipo_imovel,area_total,valor_minimo,valor_avaliacao,desconto_percentual,data_primeiro_leilao,data_segundo_leilao,data_encerramento,url_original,imagem_principal,numero_processo,vara,comarca,comitente,criado_em,praca_tipo
Dênis de Oliveira Fernandes,"Apto A.P. 69,7 m² - Nova Cidade, São Gonçalo/RJ",,São Gonçalo,RJ,APARTAMENTO MISTO,69.7,121800.0,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/apartamento-misto/apto-a-p-69-7-m-nova-cidade-sao-goncalo-rj-117734,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/apartamento-misto-sao-goncalo-080364-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 1.500 m² - Cond. Das Orquídeas, Petr. de Goiás/GO",,Petr. de Goiás,GO,LOTE CONDOMINIO RESIDENCIAL,1500.0,144856.3,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-condominio-residencial/lote-a-t-1-500-m-cond-das-orquideas-petr-de-goias-go-117738,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote_condominio-residencial-petrolina-de-goias-677340-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 1.500 m² - Cond. Das Orquídeas, Petr. de Goiás/GO",,Petr. de Goiás,GO,LOTE CONDOMINIO RESIDENCIAL,1500.0,144856.3,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-condominio-residencial/lote-a-t-1-500-m-cond-das-orquideas-petr-de-goias-go-117739,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote_condominio-residencial-petrolina-de-goias-677362-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 1.500 m² - Cond. Das Orquídeas, Petr. de Goiás/GO",,Petr. de Goiás,GO,LOTE CONDOMINIO RESIDENCIAL,1500.0,144856.3,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-condominio-residencial/lote-a-t-1-500-m-cond-das-orquideas-petr-de-goias-go-117743,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote_condominio-residencial-petrolina-de-goias-677423-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 700 m² - Garden Ville, Caetanópolis/MG",,Caetanópolis,MG,LOTE RESIDENCIAL,700.0,146505.5,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-700-m-garden-ville-caetanopolis-mg-117744,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-caetanopolis-677437-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 700 m² - Garden Ville, Caetanópolis/MG",,Caetanópolis,MG,LOTE RESIDENCIAL,700.0,146886.58,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-700-m-garden-ville-caetanopolis-mg-117745,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-caetanopolis-677449-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 2.500 m² - Lot. Divaldo Dantas, Itaporanga/PB",,Itaporanga,PB,LOTE INDUSTRIAL,2500.0,232864.25,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-industrial/lote-a-t-2-500-m-lot-divaldo-dantas-itaporanga-pb-117748,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-industrial-itaporanga-677483-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,Lote A.T. 2.500 m² - Itaporanga/PB,,Itaporanga,PB,LOTE INDUSTRIAL,2500.0,232864.25,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-industrial/lote-a-t-2-500-m-itaporanga-pb-117750,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-industrial-itaporanga-677507-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,Lote A.T. 2.500 m² - Itaporanga/PB,,Itaporanga,PB,LOTE INDUSTRIAL,2500.0,232864.25,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-industrial/lote-a-t-2-500-m-itaporanga-pb-117758,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-industrial-itaporanga-677517-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Casa A.T. 484 m² - Centro, Ampére/PR",,Ampére,PR,CASA,484.0,556180.0,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/casa/casa-a-t-484-m-centro-ampere-pr-117858,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/casa-ampere-677532-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 274,95 m² - Serra Verde, São Miguel do Anta/MG",,São Miguel do Anta,MG,LOTE RESIDENCIAL,274.95,46900.0,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-274-95-m-serra-verde-sao-miguel-do-anta-mg-118276,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-sao-miguel-do-anta-serra-verde-860487-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 272,8 m² - Serra Verde, São Miguel do Anta/MG",,São Miguel do Anta,MG,LOTE RESIDENCIAL,272.8,46900.0,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-272-8-m-serra-verde-sao-miguel-do-anta-mg-118277,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-sao-miguel-do-anta-serra-verde-860491-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 157,2 m² - São Cristovão, Arcoverde/PE",,Arcoverde,PE,LOTE RESIDENCIAL,157.2,35000.0,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-157-2-m-sao-cristovao-arcoverde-pe-118280,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-arcoverde-860505-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 152,2 m² - São Cristovão, Arcoverde/PE",,Arcoverde,PE,LOTE RESIDENCIAL,152.2,35000.0,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-152-2-m-sao-cristovao-arcoverde-pe-118282,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-arcoverde-860513-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 160 m² - São Cristovão, Arcoverde/PE",,Arcoverde,PE,LOTE RESIDENCIAL,160.0,35000.0,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-160-m-sao-cristovao-arcoverde-pe-118283,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-arcoverde-860518-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 160 m² - São Cristovão, Arcoverde/PE",,Arcoverde,PE,LOTE RESIDENCIAL,160.0,35000.0,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-160-m-sao-cristovao-arcoverde-pe-118284,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-arcoverde-860523-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Apto - Jardim Sulacap, Rio de Janeiro/RJ",,Rio de Janeiro,RJ,APARTAMENTO MISTO,,95481.58,,,,,2026-06-09,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/apartamento-misto/apto-jardim-sulacap-rio-de-janeiro-rj-118379,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/apartamento-misto-rio-de-janeiro-080386-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Casa - São Lucas, Montes Claros/MG",,Montes Claros,MG,CASA,,147443.32,,,,,2026-06-09,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/casa/casa-sao-lucas-montes-claros-mg-118381,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/casa-montes-claros-677676-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote (Gleba Deá Maria) A.T. 1.462,97 m² - Uberaba/MG",,Uberaba,MG,LOTE MISTO,1462.97,541913.32,,,,,2026-06-09,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-misto/lote-gleba-dea-maria-a-t-1-462-97-m-uberaba-mg-118382,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-misto-uberaba-677682-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 300 m² - Vale do Sol, Pinheiral/RJ",,Pinheiral,RJ,LOTE RESIDENCIAL,300.0,136895.5,,,,,2026-06-09,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-300-m-vale-do-sol-pinheiral-rj-118383,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-pinheiral-677687-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Casa A.T. 262,5 m² - Centro, Balneário Camboriú/SC",,Balneário Camboriú,SC,CASA,262.5,1352435.43,,,,,2026-06-09,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/casa/casa-a-t-262-5-m-centro-balneario-camboriu-sc-118384,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/casa-balneario-camboriu-677691-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
