leiloeiro,titulo,descricao,cidade,estado,tipo_imovel,area_total,valor_minimo,valor_avaliacao,desconto_percentual,data_primeiro_leilao,data_segundo_leilao,data_encerramento,url_original,imagem_principal,numero_processo,vara,comarca,comitente,criado_em,praca_tipo
Dênis de Oliveira Fernandes,"Apto A.P. 69,7 m² - Nova Cidade, São Gonçalo/RJ","Endereço Completo Rua Vicente De Lima Cleto, 597, Apartamento 402, Bloco 01, Residencial Vicente de Lima Cleto, Nova Cidade, São Gonçalo, RJ, 24455-000 Características do Imóvel: Descrição: Apartamento, Nova Cidade, Ocupado, contendo 2 dormitório(s), 1 vaga(s) de garagem, 1 banheiro(s), 69.70 M² de área privativa. Matrícula nº 40354, Registro de Imóveis da 3ª Circunscrição Cartório do 4º Ofício da Comarca de São Gonçalo - RJ. Tipo do Imóvel: Apartamento Status da Ocupação: Ocupado Aceita Visitação: nao Dossiê: 301943001354 Área Total: 0.00m2 Composição Interna/Vagas: Dormitórios: 2, Banheiros: 1, Salas: 1, Áreas de Serviço: 1 Matrícula: 40354 Cartório de Registro: Registro de Imóveis da 3ª Circunscrição Cartório do 4º Ofício da Comarca de São Gonçalo - RJ Condições de Pagamento: à vista 10",São Gonçalo,RJ,APARTAMENTO MISTO,69.7,121800.0,,,2026-06-01,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/apartamento-misto/apto-a-p-69-7-m-nova-cidade-sao-goncalo-rj-117734,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/apartamento-misto-sao-goncalo-080364-1.jpg,,,,Resale,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 1.500 m² - Cond. Das Orquídeas, Petr. de Goiás/GO","Endereço Completo Rua Tigrina, 2, Lote 02, Quadra 01, Condomínio das Orquídeas, Petrolina de Goiás, GO, 74083-150 Características do Imóvel: Descrição: Lote em Condomínio, Condomínio das Orquídeas, Desocupado, 1500.00 M² de área de terreno. Matrícula nº 6396, Registro Geral de Imóveis Comarca de Petrolina de Goiás - GO, Inscrição Prefeitura 002.001.0001.0002.0001. Tipo do Imóvel: Lote_Condominio Status da Ocupação: Desocupado Aceita Visitação: sim Dossiê: 6396 Área Total: 0.00m2 Composição Interna/Vagas: Matrícula: 6396 Cartório de Registro: Registro Geral de Imóveis Comarca de Petrolina de Goiás - GO Inscrição na Prefeitura: 002.001.0001.0002.0001 Condições de Pagamento: à vista 100% do pagamento na emissão do CCV (Contrato de Compra e Venda), c/ 10% de desconto sobre o valor do lance ven",Petr. de Goiás,GO,LOTE CONDOMINIO RESIDENCIAL,1500.0,144856.3,,,2026-06-01,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-condominio-residencial/lote-a-t-1-500-m-cond-das-orquideas-petr-de-goias-go-117738,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote_condominio-residencial-petrolina-de-goias-677340-1.jpg,,,,Resale,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 1.500 m² - Cond. Das Orquídeas, Petr. de Goiás/GO","Endereço Completo Rua Tigrina, 3, Lote 03, Quadra 01, Condomínio das Orquídeas, Petrolina de Goiás, GO, 74083-150 Características do Imóvel: Descrição: Lote em Condomínio, Condomínio das Orquídeas, Desocupado, 1500.00 M² de área de terreno. Matrícula nº 6397, Registro Geral de Imóveis Comarca de Petrolina de Goiás, Inscrição Prefeitura 002.001.0001.0003.0001. Tipo do Imóvel: Lote_Condominio Status da Ocupação: Desocupado Aceita Visitação: sim Dossiê: 6397 Área Total: 0.00m2 Composição Interna/Vagas: Matrícula: 6397 Cartório de Registro: Registro Geral de Imóveis Comarca de Petrolina de Goiás Inscrição na Prefeitura: 002.001.0001.0003.0001 Condições de Pagamento: à vista 100% do pagamento na emissão do CCV (Contrato de Compra e Venda), c/ 10% de desconto sobre o valor do lance vencedor, par",Petr. de Goiás,GO,LOTE CONDOMINIO RESIDENCIAL,1500.0,144856.3,,,2026-06-01,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-condominio-residencial/lote-a-t-1-500-m-cond-das-orquideas-petr-de-goias-go-117739,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote_condominio-residencial-petrolina-de-goias-677362-1.jpg,,,,Resale,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 1.500 m² - Cond. Das Orquídeas, Petr. de Goiás/GO","Endereço Completo Rua Tigrina, 22, Lote 22, Quadra 02, Condomínio das Orquídeas, Petrolina de Goiás, GO, 74083-150 Características do Imóvel: Descrição: Lote em Condomínio, Condomínio das Orquídeas, Desocupado, 1500.00 M² de área de terreno. Matrícula nº 6402, Registro Geral de Imóveis Comarca de Petrolina de Goiás - GO, Inscrição Prefeitura 002.001.0002.0022.0001. Tipo do Imóvel: Lote_Condominio Status da Ocupação: Desocupado Aceita Visitação: sim Dossiê: 6402 Área Total: 0.00m2 Composição Interna/Vagas: Matrícula: 6402 Cartório de Registro: Registro Geral de Imóveis Comarca de Petrolina de Goiás - GO Inscrição na Prefeitura: 002.001.0002.0022.0001 Condições de Pagamento: à vista 100% do pagamento na emissão do CCV (Contrato de Compra e Venda), c/ 10% de desconto sobre o valor do lance ve",Petr. de Goiás,GO,LOTE CONDOMINIO RESIDENCIAL,1500.0,144856.3,,,2026-06-01,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-condominio-residencial/lote-a-t-1-500-m-cond-das-orquideas-petr-de-goias-go-117743,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote_condominio-residencial-petrolina-de-goias-677423-1.jpg,,,,Resale,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 700 m² - Garden Ville, Caetanópolis/MG","Endereço Completo Avenida Europa, S/N, Lote 2, Quadra 2, Garden Ville, Caetanópolis, MG, 35770-000 Características do Imóvel: Descrição: Lote, Garden Ville, Desocupado, 700.00 M² de área de terreno. Matrícula nº 17587, Cartório de Registro de Imóveis de Paraopeba - MG, Inscrição Prefeitura 01.09.002.0002.001. Lote 2 Q2. Tipo do Imóvel: Lote Status da Ocupação: Desocupado Aceita Visitação: sim Dossiê: 17587 Área Total: 0.00m2 Composição Interna/Vagas: Matrícula: 17587 Cartório de Registro: Cartório de Registro de Imóveis de Paraopeba - MG Inscrição na Prefeitura: 01.09.002.0002.001 Condições de Pagamento: à vista 100% do pagamento na emissão do CCV (Contrato de Compra e Venda), c/ 10% de desconto sobre o valor do lance vencedor, parcelamento direto 25% de entrada e saldo em até 12 parcelas ",Caetanópolis,MG,LOTE RESIDENCIAL,700.0,146505.5,,,2026-06-01,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-700-m-garden-ville-caetanopolis-mg-117744,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-caetanopolis-677437-1.jpg,,,,Resale,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 700 m² - Garden Ville, Caetanópolis/MG","Endereço Completo Avenida Europa, S/N, Lote 4, Quadra 2, Garden Ville, Caetanópolis, MG, 35770-000 Características do Imóvel: Descrição: Lote, Garden Ville, Desocupado, 700.00 M² de área de terreno. Matrícula nº 17589, Serviço Registral Imobiliário da Comarca de Paraopeba - MG, Inscrição Prefeitura 01.09.002.0004.001. Tipo do Imóvel: Lote Status da Ocupação: Desocupado Aceita Visitação: sim Dossiê: 17589 Área Total: 0.00m2 Composição Interna/Vagas: Matrícula: 17589 Cartório de Registro: Serviço Registral Imobiliário da Comarca de Paraopeba - MG Inscrição na Prefeitura: 01.09.002.0004.001 Condições de Pagamento: à vista 100% do pagamento na emissão do CCV (Contrato de Compra e Venda), c/ 10% de desconto sobre o valor do lance vencedor, parcelamento direto 25% de entrada e saldo em até 12 pa",Caetanópolis,MG,LOTE RESIDENCIAL,700.0,146886.58,,,2026-06-01,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-700-m-garden-ville-caetanopolis-mg-117745,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-caetanopolis-677449-1.jpg,,,,Resale,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 2.500 m² - Lot. Divaldo Dantas, Itaporanga/PB","Endereço Completo Rua Projetada, 1, Lote 01, Quadra C, Loteamento Industrial Divaldo Dantas, Itaporanga, PB, 58780-000 Características do Imóvel: Descrição: Lote, Loteamento Industrial Divaldo Dantas, Desocupado, 2500.00 M² de área total. Matrícula nº 9476, 2° Oficio de Notas e Registro de Imóveis Comarca de Itaporanga - PB, Inscrição Prefeitura 01.05.00C.0050.0000.0001. Tipo do Imóvel: Lote Status da Ocupação: Desocupado Aceita Visitação: sim Dossiê: 9476 Área Total: 2500.00m2 Composição Interna/Vagas: Matrícula: 9476 Cartório de Registro: 2° Oficio de Notas e Registro de Imóveis Comarca de Itaporanga - PB Inscrição na Prefeitura: 01.05.00C.0050.0000.0001 Condições de Pagamento: à vista 100% do pagamento na emissão do CCV (Contrato de Compra e Venda), c/ 10% de desconto sobre o valor do l",Itaporanga,PB,LOTE INDUSTRIAL,2500.0,232864.25,,,2026-06-01,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-industrial/lote-a-t-2-500-m-lot-divaldo-dantas-itaporanga-pb-117748,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-industrial-itaporanga-677483-1.jpg,,,,Resale,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,Lote A.T. 2.500 m² - Itaporanga/PB,"Endereço Completo Rua Projetada, 3, Lote 11, Quadra C, Loteamento Industrial Divaldo Dantas, Itaporanga, PB, 58780-000 Características do Imóvel: Descrição: Lote, Loteamento Industrial Divaldo Dantas, Desocupado, 2500.00 M² de área total. Matrícula nº 9486, 2° Oficio de Notas e Registro de Imóveis Comarca de Itaporanga - PB, Inscrição Prefeitura 010500C015000000001. Tipo do Imóvel: Lote Status da Ocupação: Desocupado Aceita Visitação: sim Dossiê: 9486 Área Total: 2500.00m2 Composição Interna/Vagas: Matrícula: 9486 Cartório de Registro: 2° Oficio de Notas e Registro de Imóveis Comarca de Itaporanga - PB Inscrição na Prefeitura: 010500C015000000001 Condições de Pagamento: à vista 100% do pagamento na emissão do CCV (Contrato de Compra e Venda), c/ 10% de desconto sobre o valor do lance vence",Itaporanga,PB,LOTE INDUSTRIAL,2500.0,232864.25,,,2026-06-01,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-industrial/lote-a-t-2-500-m-itaporanga-pb-117750,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-industrial-itaporanga-677507-1.jpg,,,,Resale,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,Lote A.T. 2.500 m² - Itaporanga/PB,"Endereço Completo Rua Projetada, 1, Lote 12, Quadra C, Loteamento Industrial Divaldo Dantas, Itaporanga, PB, 58780-000 Características do Imóvel: Descrição: Lote, Loteamento Industrial Divaldo Dantas, Desocupado, 2500.00 M² de área total. Matrícula nº 9487, 2° Oficio de Notas e Registro de Imóveis Comarca de Itaporanga - PB, Inscrição Prefeitura 010500C020000000001. Tipo do Imóvel: Lote Status da Ocupação: Desocupado Aceita Visitação: sim Dossiê: 9487 Área Total: 2500.00m2 Composição Interna/Vagas: Matrícula: 9487 Cartório de Registro: 2° Oficio de Notas e Registro de Imóveis Comarca de Itaporanga - PB Inscrição na Prefeitura: 010500C020000000001 Condições de Pagamento: à vista 100% do pagamento na emissão do CCV (Contrato de Compra e Venda), c/ 10% de desconto sobre o valor do lance vence",Itaporanga,PB,LOTE INDUSTRIAL,2500.0,232864.25,,,2026-06-01,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-industrial/lote-a-t-2-500-m-itaporanga-pb-117758,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-industrial-itaporanga-677517-1.jpg,,,,Resale,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Casa A.T. 484 m² - Centro, Ampére/PR","Endereço Completo Rua Presidente Kennedy, 639, Centro, Ampére, PR, 85640-000 Características do Imóvel: Descrição: Casa, Centro, Ocupado, 484.00 M² de área de terreno, 143.83 M² de área construída. Matrícula nº 7768, Serviço de Registro de Imóveis Comarca de Ampére - PR, Inscrição Prefeitura 01.04.000047.0000003.01. Tipo do Imóvel: Casa Status da Ocupação: Ocupado Aceita Visitação: nao Dossiê: 7768 Área Total: 0.00m2 Composição Interna/Vagas: Matrícula: 7768 Cartório de Registro: Serviço de Registro de Imóveis Comarca de Ampére - PR Inscrição na Prefeitura: 01.04.000047.0000003.01 Condições de Pagamento: à vista 100% do pagamento na emissão do CCV (Contrato de Compra e Venda), c/ 10% de desconto sobre o valor do lance vencedor, parcelamento direto 25% de entrada e saldo em até 12 parcelas ",Ampére,PR,CASA,484.0,556180.0,,,2026-06-01,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/casa/casa-a-t-484-m-centro-ampere-pr-117858,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/casa-ampere-677532-1.jpg,,,,Resale,2026-06-01T20:26:02,Praça Única
