leiloeiro,junta,site,titulo,cidade,uf,preco,data_leilao,imagem,anexos,url
Deonizia Leilões,JUCEAC/AC,http://www.deonizialeiloes.com.br/,"Sítio c/ 99,46 hectares - Ariquemes/RO",Ariquemes,RO,"20.000,00",18/06/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/deonizialeiloes/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1772823402.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1772823420.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1772823395.pdf,https://www.deonizialeiloes.com.br/leilao/index/leilao_id/95176/lote/202113
Deonizia Leilões,JUCEAC/AC,http://www.deonizialeiloes.com.br/,"Parte ideal de 3,5 hectares - São Miguel do Guaporé/RO",Guaporé,RO,"1.000,00",18/06/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/deonizialeiloes/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1772823111.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1772823120.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1772823131.pdf,https://www.deonizialeiloes.com.br/leilao/index/leilao_id/95176/lote/202112
Deonizia Leilões,JUCEAC/AC,http://www.deonizialeiloes.com.br/,"Casa c/ 120m² - Terreno c/ 307,23m² - Cacoal/RO",Cacoal,RO,"2.000,00",01/07/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/deonizialeiloes/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3888991779477120.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3889001779477123.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3889011779477126.pdf,https://www.deonizialeiloes.com.br/leilao/index/leilao_id/93732/lote/199628
Deonizia Leilões,JUCEAC/AC,http://www.deonizialeiloes.com.br/,"Terreno com 641,08m² – Espigão do Oeste/RO",Oeste,RO,"2.000,00",01/07/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/deonizialeiloes/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1778603704.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1778603714.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1778603717.pdf,https://www.deonizialeiloes.com.br/leilao/index/leilao_id/93732/lote/199129
Deonizia Leilões,JUCEAC/AC,http://www.deonizialeiloes.com.br/,"Edif. comercial - terreno c/ 721,31m² - Plácido de Castro/AC",Castro,AC,"10.000,00",11/06/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/deonizialeiloes/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1774869277.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1774869298.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1774869315.pdf,https://www.deonizialeiloes.com.br/leilao/index/leilao_id/94833/lote/201385
Deonizia Leilões,JUCEAC/AC,http://www.deonizialeiloes.com.br/,"Edif. comercial - terreno c/ 721,31m² - Plácido de Castro/AC",Castro,AC,"10.000,00",11/06/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/deonizialeiloes/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1774869246.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1774869201.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1774885075.pdf,https://www.deonizialeiloes.com.br/leilao/index/leilao_id/94833/lote/201384
Leilões Aguiar e Oliani,JUCEAC/AC,http://www.leiloesaguiar.com.br/,TERRENO NO LOTEAMENTO RESIDENCIAL ORLEANS EM JARU,Rio Branco,AC,"280.000,00",17/06/2026,https://85905567621fd890.cdn.gocache.net/leiloes/002638-6a2041dde8e4c,https://www.leiloesaguiar.com.br/leilao/2638/lotes,https://www.leiloesaguiar.com.br/leilao/2638/lotes
Leilões Aguiar e Oliani,JUCEAC/AC,http://www.leiloesaguiar.com.br/,APARTAMENTO EM CUIABÁ,Rio Branco,AC,,30/07/2026,https://85905567621fd890.cdn.gocache.net/leiloes/000000-6914b13602e79.jpg,,https://www.leiloesaguiar.com.br/leilao/2403/lotes
Leilões Aguiar e Oliani,JUCEAC/AC,http://www.leiloesaguiar.com.br/,"Envie sua proposta até: 31/07/2026 às 10:00 IMÓVEL COM ÁREA DE 400,00 M², MATRÍCULA Nº 23.654, LOCALIZADO NA RUA DOM AUGUSTO, Nº 244, CENTRO, JI-PARANÁ/RO.",Rio Branco,AC,,31/07/2026,,https://www.leiloesaguiar.com.br/leilao/1056/lotes,https://www.leiloesaguiar.com.br/leilao/1056/lotes
Leilões Aguiar e Oliani,JUCEAC/AC,http://www.leiloesaguiar.com.br/,"Envie sua proposta até: 31/07/2026 às 10:20 IMÓVEL COM POTENCIAL PARA 06 LOCAÇÕES, SENDO 05 SALAS COMERCIAIS E 01 APARTAMENTO COM 04 SUÍTES, GARAGEM COBERTA E PRIVATIVA PARA 03 VEÍCULOS.",Rio Branco,AC,,31/07/2026,,,https://www.leiloesaguiar.com.br/leilao/1722/lotes
