leiloeiro,junta,site,titulo,cidade,uf,preco,data_leilao,imagem,anexos,url
ADILSON BENTO DE ARAÚJO,JUCEAL/AL,https://www.abaleiloes.com.br,imovel com 8 tarefas localizado no o povoado tapera neste municipio de macambira se,Maceió,AL,"160.000,00",10/06/2026,,https://static.suporteleiloes.com.br/abaleiloescombr/bens/2576/arquivos/sl-bem-2576-6a15a1016ada0-6a15a1016df83.pdf,https://www.abaleiloes.com.br/oferta/leilao/imoveis/rural/796/id-832/imovel-com-8-tarefas-localizado-no-o-povoado-tapera-neste-municipio-de-macambira-se
ADILSON BENTO DE ARAÚJO,JUCEAL/AL,https://www.abaleiloes.com.br,01 um imovel com 02 dois quartos porto da folha se,Maceió,AL,"50.000,00",10/06/2026,,https://static.suporteleiloes.com.br/abaleiloescombr/bens/2569/arquivos/sl-bem-2569-6a172a42d0087-6a172a42d5ed0.pdf,https://www.abaleiloes.com.br/oferta/leilao/imoveis/casas/797/id-833/01-um-imovel-com-02-dois-quartos-porto-da-folha-se
ALEX WILLIN HOPPE,JUCEAL/AL,https://www.hoppeleiloes.com.br,2 vara da fazenda publica de londrina 781922,Canoinhas,SC,"160.000,00",13/08/2026,https://s.superbid.net/event/781922/images/504d6321-f4ed-417d-9f21-7381d0761d53.jpeg,,https://www.hoppeleiloes.com.br/evento/leilao-da-2-vara-da-fazenda-publica-de-londrina-781922?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=lotNumber:asc;subLotNumber:asc
ALEX WILLIN HOPPE,JUCEAL/AL,https://www.hoppeleiloes.com.br,dois terrenos rurais de cultura em ituporanga sc 4693158,Canoinhas,SC,"3.000.000,00",22/06/2026,https://www.hoppeleiloes.com.br/images/logo_location.svg,https://s.superbid.net/event/781935/attachment/e0061c3d-2304-4311-9651-5bcadd04afc6.pdf; https://www.hoppeleiloes.com.br/oferta/um-terreno-rural-de-cultura-com-a-area-de-383138110m-situado-no-lugar-denominado-campo-dos-buenos-distrito-de-pinheiros-municipio-e-comarca-de-canoinhas-sc-inscrito-sob-a-matricula-n-893-no-oficio-de-registro-de-imoveis-de-canoinhas-4688841,https://www.hoppeleiloes.com.br/oferta/dois-terrenos-rurais-de-cultura-em-ituporanga-sc-4693158
ALEX WILLIN HOPPE,JUCEAL/AL,https://www.hoppeleiloes.com.br,dois terrenos urbanos em sao cristovao tres barras sc 4693155,Canoinhas,SC,"4.000.000,00",22/06/2026,https://www.hoppeleiloes.com.br/images/logo_location.svg,https://s.superbid.net/event/781935/attachment/e0061c3d-2304-4311-9651-5bcadd04afc6.pdf; https://www.hoppeleiloes.com.br/oferta/um-terreno-rural-de-cultura-com-a-area-de-383138110m-situado-no-lugar-denominado-campo-dos-buenos-distrito-de-pinheiros-municipio-e-comarca-de-canoinhas-sc-inscrito-sob-a-matricula-n-893-no-oficio-de-registro-de-imoveis-de-canoinhas-4688841,https://www.hoppeleiloes.com.br/oferta/dois-terrenos-urbanos-em-sao-cristovao-tres-barras-sc-4693155
ALEX WILLIN HOPPE,JUCEAL/AL,https://www.hoppeleiloes.com.br,terreno rural com area de 159075m situado no lugar denominado palmito piedade no municipio e comarca de canoinhas sc 4688839,Canoinhas,SC,"8.000.000,00",22/06/2026,https://www.hoppeleiloes.com.br/images/logo_location.svg,https://s.superbid.net/event/781935/attachment/e0061c3d-2304-4311-9651-5bcadd04afc6.pdf; https://www.hoppeleiloes.com.br/oferta/um-terreno-rural-de-cultura-com-a-area-de-383138110m-situado-no-lugar-denominado-campo-dos-buenos-distrito-de-pinheiros-municipio-e-comarca-de-canoinhas-sc-inscrito-sob-a-matricula-n-893-no-oficio-de-registro-de-imoveis-de-canoinhas-4688841,https://www.hoppeleiloes.com.br/oferta/terreno-rural-com-area-de-159075m-situado-no-lugar-denominado-palmito-piedade-no-municipio-e-comarca-de-canoinhas-sc-4688839
ALEX WILLIN HOPPE,JUCEAL/AL,https://www.hoppeleiloes.com.br,terreno urbano com area de 1267628m situado no distrito de sao cristovao municipio de tres barras sc 4688837,Canoinhas,SC,"2.400.000,00",22/06/2026,https://www.hoppeleiloes.com.br/images/logo_location.svg,https://s.superbid.net/event/781935/attachment/e0061c3d-2304-4311-9651-5bcadd04afc6.pdf; https://www.hoppeleiloes.com.br/oferta/um-terreno-rural-de-cultura-com-a-area-de-383138110m-situado-no-lugar-denominado-campo-dos-buenos-distrito-de-pinheiros-municipio-e-comarca-de-canoinhas-sc-inscrito-sob-a-matricula-n-893-no-oficio-de-registro-de-imoveis-de-canoinhas-4688841,https://www.hoppeleiloes.com.br/oferta/terreno-urbano-com-area-de-1267628m-situado-no-distrito-de-sao-cristovao-municipio-de-tres-barras-sc-4688837
ALEX WILLIN HOPPE,JUCEAL/AL,https://www.hoppeleiloes.com.br,terreno urbano com area de 622500m situado no nucleo residencial sao cristovao municipio de tres barras sc 4693151,Canoinhas,SC,"1.200.000,00",22/06/2026,https://www.hoppeleiloes.com.br/images/logo_location.svg,https://s.superbid.net/event/781935/attachment/e0061c3d-2304-4311-9651-5bcadd04afc6.pdf; https://www.hoppeleiloes.com.br/oferta/um-terreno-rural-de-cultura-com-a-area-de-383138110m-situado-no-lugar-denominado-campo-dos-buenos-distrito-de-pinheiros-municipio-e-comarca-de-canoinhas-sc-inscrito-sob-a-matricula-n-893-no-oficio-de-registro-de-imoveis-de-canoinhas-4688841,https://www.hoppeleiloes.com.br/oferta/terreno-urbano-com-area-de-622500m-situado-no-nucleo-residencial-sao-cristovao-municipio-de-tres-barras-sc-4693151
ALEX WILLIN HOPPE,JUCEAL/AL,https://www.hoppeleiloes.com.br,terreno urbano com area de 142682m situado no bairro agua verde no municipio e comarca de canoinhas sc fazendo frente para o lado impar da rua sergio gapski 4693149,Canoinhas,SC,"800.000,00",22/06/2026,https://www.hoppeleiloes.com.br/images/logo_location.svg,https://s.superbid.net/event/781935/attachment/e0061c3d-2304-4311-9651-5bcadd04afc6.pdf; https://www.hoppeleiloes.com.br/oferta/um-terreno-rural-de-cultura-com-a-area-de-383138110m-situado-no-lugar-denominado-campo-dos-buenos-distrito-de-pinheiros-municipio-e-comarca-de-canoinhas-sc-inscrito-sob-a-matricula-n-893-no-oficio-de-registro-de-imoveis-de-canoinhas-4688841,https://www.hoppeleiloes.com.br/oferta/terreno-urbano-com-area-de-142682m-situado-no-bairro-agua-verde-no-municipio-e-comarca-de-canoinhas-sc-fazendo-frente-para-o-lado-impar-da-rua-sergio-gapski-4693149
RUDIVAL ALMEIDA GOMES JUNIOR,JUCEAL/AL,https://www.rjleiloes.com.br,APARTAMENTO COM 3 QUARTOS NA AV. DOM JOÃO VI - BROTAS - SALVADOR/BA,Salvador,BA,,10/06/2026,https://7d1a502999570f38.cdn.gocache.net/leiloes/003430-6a1acd07e72d9.jpeg,,https://www.rjleiloes.com.br/leilao/3430/lotes
