leiloeiro,junta,site,titulo,cidade,uf,preco,data_leilao,imagem,anexos,url
Daniel Elias Garcia,JUCAP/AP,https://www.dgleiloes.com.br,Sala Comercial,Florianópolis,SC,"588.000,00",06/07/2026,https://www.facebook.com/tr?id=1276372359398047&ev=PageView&noscript=1,https://danielgarcialeiloes.com.br/item/76684/detalhes?page=1,https://danielgarcialeiloes.com.br/item/76684/detalhes?page=1
Daniel Elias Garcia,JUCAP/AP,https://www.dgleiloes.com.br,Sala Comercial,Florianópolis,SC,"451.500,00",06/07/2026,https://www.facebook.com/tr?id=1276372359398047&ev=PageView&noscript=1,https://danielgarcialeiloes.com.br/item/76685/detalhes?page=1,https://danielgarcialeiloes.com.br/item/76685/detalhes?page=1
Daniel Elias Garcia,JUCAP/AP,https://www.dgleiloes.com.br,Sala Comercial,Chapecó,SC,"413.000,00",06/07/2026,https://www.facebook.com/tr?id=1276372359398047&ev=PageView&noscript=1,https://danielgarcialeiloes.com.br/item/76686/detalhes?page=1,https://danielgarcialeiloes.com.br/item/76686/detalhes?page=1
Daniel Elias Garcia,JUCAP/AP,https://www.dgleiloes.com.br,Sala Comercial,Joinville,SC,"199.500,00",06/07/2026,https://www.facebook.com/tr?id=1276372359398047&ev=PageView&noscript=1,https://danielgarcialeiloes.com.br/item/76687/detalhes?page=1,https://danielgarcialeiloes.com.br/item/76687/detalhes?page=1
Daniel Elias Garcia,JUCAP/AP,https://www.dgleiloes.com.br,Sala Comercial e Vaga de Garagem,Joinville,SC,"199.500,00",06/07/2026,https://www.facebook.com/tr?id=1276372359398047&ev=PageView&noscript=1,https://danielgarcialeiloes.com.br/item/76688/detalhes?page=1,https://danielgarcialeiloes.com.br/item/76688/detalhes?page=1
Rafael Galvani Ferreira,JUCAP/AP,https://www.galvanileiloes.com.br,Terreno com 5.000m² – Boa Vista/RR,Boa Vista,RR,"2.000,00",17/06/2026,https://www.facebook.com/tr?ev=6019373839159&cd[value]=0.00&cd[currency]=BRL&noscript=1,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3848061778761458.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3848101778761468.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3848131778761473.pdf,https://www.galvanileiloes.com.br/leilao/index/leilao_id/95156/lote/202069
Rafael Galvani Ferreira,JUCAP/AP,https://www.galvanileiloes.com.br,Terreno com 5.000m² – Boa Vista/RR,Boa Vista,RR,"2.000,00",17/06/2026,https://www.facebook.com/tr?ev=6019373839159&cd[value]=0.00&cd[currency]=BRL&noscript=1,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3848391778762286.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3848401778762288.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3848411778762291.pdf,https://www.galvanileiloes.com.br/leilao/index/leilao_id/95156/lote/202068
Rafael Galvani Ferreira,JUCAP/AP,https://www.galvanileiloes.com.br,"Imóvel Comercial - Terreno c/ 445,50m² - Gurupi/TO",Gurupi,TO,"2.000,00",18/06/2026,https://www.facebook.com/tr?ev=6019373839159&cd[value]=0.00&cd[currency]=BRL&noscript=1,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776110345.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776110368.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776110356.pdf,https://www.galvanileiloes.com.br/leilao/index/leilao_id/95157/lote/202070
Fernando Caetano Moreira Filho,JUCAP/AP,https://www.fernandoleiloeiro.com.br,"SANTANA DO JACARÉ/MG — Casa com lote de 169,15,50m² no Centro | Cód do leilão: ID06490/Lote 083 - JB36950 IMÓVEIS",Contagem,MG,"360.000,00",22/06/2026,https://www.facebook.com/tr?id=476681420035709&ev=PageView&noscript=1,,https://www.fernandoleiloeiro.com.br/leilao/imoveis-mg/6490/
Fernando Caetano Moreira Filho,JUCAP/AP,https://www.fernandoleiloeiro.com.br,ALFENAS/MG — Casa 3 quartos e garagem no Jardim São Carlos. | Cód do leilão: ID06560/Lote 022 - JB0006037 IMÓVEIS,Contagem,MG,"4.335,77",07/07/2026,https://www.facebook.com/tr?id=476681420035709&ev=PageView&noscript=1,,https://www.fernandoleiloeiro.com.br/leilao/imoveis-mg/6560/
Jonas Gabriel Antunes Moreira,JUCAP/AP,https://www.mgl.com.br,itauna mg — galpao com lote com 403m no universitario,Pará de Minas,MG,"695.000,00",22/06/2026,https://www.facebook.com/tr?id=476681420035709&ev=PageView&noscript=1,,https://www.mgl.com.br/lote/itauna-mg-—-galpao-com-lote-com-403m_-no-universitario/166928/
Jonas Gabriel Antunes Moreira,JUCAP/AP,https://www.mgl.com.br,SÃO JOÃO DAS MISSÕES/MG — Fazenda com 133.72.00 hectares no Cotidibas ou Traíras | Cód do leilão: ID06490/Lote 066 - JB34979 IMÓVEIS,Pará de Minas,MG,"360.000,00",22/06/2026,https://www.facebook.com/tr?id=476681420035709&ev=PageView&noscript=1,,https://www.mgl.com.br/leilao/imoveis-mg/6490/
Jonas Gabriel Antunes Moreira,JUCAP/AP,https://www.mgl.com.br,ALFENAS/MG — Casa 3 quartos e garagem no Jardim São Carlos. | Cód do leilão: ID06560/Lote 022 - JB0006037 IMÓVEIS,Pará de Minas,MG,"4.335,77",07/07/2026,https://www.facebook.com/tr?id=476681420035709&ev=PageView&noscript=1,,https://www.mgl.com.br/leilao/imoveis-mg/6560/
Jonas Gabriel Antunes Moreira,JUCAP/AP,https://www.mgl.com.br,"NOVA LIMA/MG – Casa com a área de 928,29m², situada em Alphaville Lagoa dos Ingleses Fase II | Cód do leilão: 05935/036-PA12522 IMÓVEIS",Pará de Minas,MG,"3.000.000,00",22/06/2026,https://www.facebook.com/tr?id=476681420035709&ev=PageView&noscript=1,https://www.mgl.com.br/preview/f5ba75b8-64a1-49f3-aa69-af211451cae7.pdf,https://www.mgl.com.br/leilao/imoveis-para-investimento-mg/5935/
Jonas Gabriel Antunes Moreira,JUCAP/AP,https://www.mgl.com.br,MACEIO/AL — Apartamento com 2 quartos (8444414514697) | Cód do leilão: 0028/0226 /Lote 003 - AL003F IMÓVEIS,Pará de Minas,MG,,15/07/2026,https://www.facebook.com/tr?id=476681420035709&ev=PageView&noscript=1,https://www.mgl.com.br/preview/df1f02af-da25-47f7-b371-0c671f431a4e.pdf,https://www.mgl.com.br/leilao/imoveis-brasil-afora-caixa-economica-federal/6659/
Lucas Rafael Antunes Moreira,JUCAP/AP,https://www.mgl.com.br,itauna mg — galpao com lote com 403m no universitario,Belo Horizonte,MG,"695.000,00",22/06/2026,https://www.facebook.com/tr?id=476681420035709&ev=PageView&noscript=1,,https://www.mgl.com.br/lote/itauna-mg-—-galpao-com-lote-com-403m_-no-universitario/166928/
Lucas Rafael Antunes Moreira,JUCAP/AP,https://www.mgl.com.br,SÃO JOÃO DAS MISSÕES/MG — Fazenda com 133.72.00 hectares no Cotidibas ou Traíras | Cód do leilão: ID06490/Lote 066 - JB34979 IMÓVEIS,Belo Horizonte,MG,"360.000,00",22/06/2026,https://www.facebook.com/tr?id=476681420035709&ev=PageView&noscript=1,,https://www.mgl.com.br/leilao/imoveis-mg/6490/
Lucas Rafael Antunes Moreira,JUCAP/AP,https://www.mgl.com.br,ALFENAS/MG — Casa 3 quartos e garagem no Jardim São Carlos. | Cód do leilão: ID06560/Lote 022 - JB0006037 IMÓVEIS,Belo Horizonte,MG,"4.335,77",07/07/2026,https://www.facebook.com/tr?id=476681420035709&ev=PageView&noscript=1,,https://www.mgl.com.br/leilao/imoveis-mg/6560/
Lucas Rafael Antunes Moreira,JUCAP/AP,https://www.mgl.com.br,"NOVA LIMA/MG – Casa com a área de 928,29m², situada em Alphaville Lagoa dos Ingleses Fase II | Cód do leilão: 05935/036-PA12522 IMÓVEIS",Belo Horizonte,MG,"3.000.000,00",22/06/2026,https://www.facebook.com/tr?id=476681420035709&ev=PageView&noscript=1,https://www.mgl.com.br/preview/f5ba75b8-64a1-49f3-aa69-af211451cae7.pdf,https://www.mgl.com.br/leilao/imoveis-para-investimento-mg/5935/
Lucas Rafael Antunes Moreira,JUCAP/AP,https://www.mgl.com.br,MACEIO/AL — Apartamento com 2 quartos (8444414514697) | Cód do leilão: 0028/0226 /Lote 003 - AL003F IMÓVEIS,Belo Horizonte,MG,,15/07/2026,https://www.facebook.com/tr?id=476681420035709&ev=PageView&noscript=1,https://www.mgl.com.br/preview/df1f02af-da25-47f7-b371-0c671f431a4e.pdf,https://www.mgl.com.br/leilao/imoveis-brasil-afora-caixa-economica-federal/6659/
