leiloeiro,junta,site,titulo,cidade,uf,preco,data_leilao,imagem,anexos,url
Hilda Emília de Souza Costa Lima,JUCEB/BA,https://www.hastaleiloes.com.br,Casa residencial com varanda,Salvador,BA,"90.000,00",07/07/2026,https://www.hastaleiloes.com.br/site/images/logo-header.png?modified=1781035595,https://www.hastaleiloes.com.br/item/8969/detalhes?page=1,https://www.hastaleiloes.com.br/item/8969/detalhes?page=1
Hilda Emília de Souza Costa Lima,JUCEB/BA,https://www.hastaleiloes.com.br,Fazenda Trindade,Camacan,BA,"916.500,00",07/07/2026,https://www.hastaleiloes.com.br/site/images/logo-header.png?modified=1781035624,,https://www.hastaleiloes.com.br/item/9055/detalhes?page=1
Hilda Emília de Souza Costa Lima,JUCEB/BA,https://www.hastaleiloes.com.br,Casa residencial,Salvador,BA,"609.277,50",07/07/2026,https://www.hastaleiloes.com.br/site/images/logo-header.png?modified=1781035580,,https://www.hastaleiloes.com.br/item/8996/detalhes?page=1
Hilda Emília de Souza Costa Lima,JUCEB/BA,https://www.hastaleiloes.com.br,Área de terra,Salvador,BA,"628.140,00",07/07/2026,https://www.hastaleiloes.com.br/site/images/logo-header.png?modified=1781035624,,https://www.hastaleiloes.com.br/item/8997/detalhes?page=1
Paulo Cézar Rocha Teixeira,JUCEB/BA,https://www.leiloesjudiciaisbahia.com.br,Casa e ponto comercial c/ 52m² - Cândido Sales/BA,Cândido Sales,BA,"2.000,00",10/06/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/leiloesjudiciaisbahia/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3900591779828068.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3900591779828068.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3900591779828068.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3888651779473496.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3888691779473503.pdf,https://www.leiloesjudiciaisbahia.com.br/leilao/index/leilao_id/94588/lote/200740
Paulo Cézar Rocha Teixeira,JUCEB/BA,https://www.leiloesjudiciaisbahia.com.br,Parte ideal de 05 hectares - Rio de Contas/BA,Contas,BA,"2.000,00",10/06/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/leiloesjudiciaisbahia/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3900591779828068.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3900591779828068.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3900591779828068.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3888681779473501.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3888731779473511.pdf,https://www.leiloesjudiciaisbahia.com.br/leilao/index/leilao_id/94588/lote/200746
Paulo Cézar Rocha Teixeira,JUCEB/BA,https://www.leiloesjudiciaisbahia.com.br,"Sítio com 28,9424 hectares - Encruzilhada/BA",Encruzilhada,BA,"1.000,00",10/06/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/leiloesjudiciaisbahia/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3900591779828068.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3900591779828068.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3900591779828068.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3888701779473503.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3888721779473508.pdf,https://www.leiloesjudiciaisbahia.com.br/leilao/index/leilao_id/94588/lote/200748
Paulo Cézar Rocha Teixeira,JUCEB/BA,https://www.leiloesjudiciaisbahia.com.br,Terreno com 330m² - Vitória da Conquista/BA,Conquista,BA,"300,00",10/06/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/leiloesjudiciaisbahia/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3900591779828068.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3900591779828068.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3900591779828068.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3888711779473505.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3888751779473516.pdf,https://www.leiloesjudiciaisbahia.com.br/leilao/index/leilao_id/94588/lote/200750
Paulo Cézar Rocha Teixeira,JUCEB/BA,https://www.leiloesjudiciaisbahia.com.br,"Terreno c/ 411,17m² - Itabuna/BA",Itabuna,BA,"2.000,00",18/06/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/leiloesjudiciaisbahia/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3886951779451723.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3876891779284540.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3876791779284216.pdf,https://www.leiloesjudiciaisbahia.com.br/leilao/index/leilao_id/95252/lote/202250
Paulo Cézar Rocha Teixeira,JUCEB/BA,https://www.leiloesjudiciaisbahia.com.br,"Terreno c/ 240,75m² - Itabuna/BA",Itabuna,BA,"1.000,00",18/06/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/leiloesjudiciaisbahia/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3886961779451750.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3876871779284487.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3876801779284218.pdf,https://www.leiloesjudiciaisbahia.com.br/leilao/index/leilao_id/95252/lote/202249
