id,leiloeiro,junta,site,titulo,descricao,endereco,cidade,uf,lance_inicial,avaliacao,data_leilao,url,tipo,imagem
611d5b4b1d8c,ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,RENEGADE SPORT AT - 2019/2020,"Aberto para lances RENEGADE SPORT AT - 2019/2020 jeep 74.951 Km placa final 0 Valor Atual R$ 38.300,00 Valor inicial: R$ 20.300,00 Lote: 1 Local: RJ 18 Lances Início:  13/06/2026 10:00 Ver mais",Lote:1Local:RJ18 Lances,,,38300.0,,2026-06-13,https://www.vipleiloes.com.br/evento/anuncio/jeep-renegade-sport-at-185098,imovel,https://armazupvipleiloesprd.blob.core.windows.net/uploads/0243b61a-6b8f-485d-a570-ad43cfe80b4f.jpg
0f576a085efe,ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,TORO RANCH AT9 4X4 - 2021/2022,"Aberto para lances TORO RANCH AT9 4X4 - 2021/2022 fiat 98.476 Km placa final 5 Valor Atual R$ 65.900,00 Valor inicial: R$ 39.900,00 Lote: 2 Local: BA 21 Lances Início:  13/06/2026 10:00 Ver mais",Lote:2Local:BA21 Lances,,,65900.0,,2026-06-13,https://www.vipleiloes.com.br/evento/anuncio/fiat-toro-ranch-at9-4x4-185099,imovel,https://armazupvipleiloesprd.blob.core.windows.net/uploads/bc8c96d8-a886-4538-9d6a-f2374fad57e6.jpg
cb1ada75717a,ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,ECLIPSE CR HPESAWD - 2018/2019,"Aberto para lances ECLIPSE CR HPESAWD - 2018/2019 mmc 91.176 Km placa final 0 Valor Atual R$ 51.700,00 Valor inicial: R$ 37.700,00 Lote: 3 Local: BA 8 Lances Início:  13/06/2026 10:00 Ver mais",Lote:3Local:BA8 Lances,,,51700.0,,2026-06-13,https://www.vipleiloes.com.br/evento/anuncio/mmc-eclipse-cr-hpesawd-185307,imovel,https://armazupvipleiloesprd.blob.core.windows.net/uploads/1014ec9c-b215-4878-9db1-05214851a3ac.jpg
49969d3b5746,ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,DISCOVERY 4 3.0 SE - 2010/2010,"Aberto para lances DISCOVERY 4 3.0 SE - 2010/2010 land rover 210.597 Km placa final 0 Valor Atual R$ 11.000,00 Valor inicial: R$ 8.000,00 Lote: 5 Local: SP 4 Lances Início:  13/06/2026 10:00 Ver mais",Lote:5Local:SP4 Lances,,,11000.0,,2026-06-13,https://www.vipleiloes.com.br/evento/anuncio/land-rover-discovery-4-30-se-185798,imovel,https://armazupvipleiloesprd.blob.core.windows.net/uploads/18accca4-980f-45bc-bc5d-e104e74e37ec.jpg
62a03c83c02f,ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,JETTA 2.0T - 2011/2012,"Aberto para lances JETTA 2.0T - 2011/2012 volkswagen 117.785 Km placa final 0 Valor Atual R$ 31.700,00 Valor inicial: R$ 12.700,00 Lote: 6 Local: GO 20 Lances Início:  13/06/2026 10:00 Ver mais",Lote:6Local:GO20 Lances,,,31700.0,,2026-06-13,https://www.vipleiloes.com.br/evento/anuncio/volkswagen-jetta-20t-185841,imovel,https://armazupvipleiloesprd.blob.core.windows.net/uploads/94f1508a-0988-4461-ab87-f1b7a0f8cc52.jpg
ba14c1c6e8a1,ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,A3 LM 122CV I - 2014/2015,"Aberto para lances A3 LM 122CV I - 2014/2015 audi placa final 8 Valor Atual R$ 30.100,00 Valor inicial: R$ 14.100,00 Lote: 7 Local: PE 9 Lances Início:  13/06/2026 10:00 Ver mais",Lote:7Local:PE9 Lances,,,30100.0,,2026-06-13,https://www.vipleiloes.com.br/evento/anuncio/audi-a3-lm-122cv-i-185842,imovel,https://armazupvipleiloesprd.blob.core.windows.net/uploads/e36f9dd6-ccbc-4d0c-b9ac-1820e8192196.jpg
8ecb6d29adfa,ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,CLA200 - 2023/2024,"Aberto para lances CLA200 - 2023/2024 mercedes-benz 10.640 Km placa final 3 Valor Atual R$ 72.100,00 Valor inicial: R$ 52.100,00 Lote: 10 Local: MA 11 Lances Início:  13/06/2026 10:00 Ver mais",Lote:10Local:MA11 Lances,,,72100.0,,2026-06-13,https://www.vipleiloes.com.br/evento/anuncio/mercedes-benz-cla200-186201,imovel,https://armazupvipleiloesprd.blob.core.windows.net/uploads/881ac886-b162-4f8c-a8dd-56bc5c554a0a.jpg
42073b0a0f43,ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,TORO FREEDOM AT - 2018/2019,"Aberto para lances TORO FREEDOM AT - 2018/2019 fiat placa final 6 Valor Atual R$ 22.400,00 Valor inicial: R$ 14.400,00 Lote: 15 Local: PE 5 Lances Início:  13/06/2026 10:00 Ver mais",Lote:15Local:PE5 Lances,,,22400.0,,2026-06-13,https://www.vipleiloes.com.br/evento/anuncio/fiat-toro-freedom-at-186142,imovel,https://armazupvipleiloesprd.blob.core.windows.net/uploads/bfafb11f-5b1e-4e82-a4a7-cec9a20a6d8a.jpg
a77a21e0d37d,ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,EQUINOX 15T RS - 2022/2022,"Aberto para lances EQUINOX 15T RS - 2022/2022 chevrolet 47.814 Km placa final 9 Valor Atual R$ 57.000,00 Valor inicial: R$ 25.000,00 Lote: 19 Local: SC 17 Lances Início:  13/06/2026 10:00 Ver mais",Lote:19Local:SC17 Lances,,,57000.0,,2026-06-13,https://www.vipleiloes.com.br/evento/anuncio/chevrolet-equinox-15t-rs-186151,imovel,https://armazupvipleiloesprd.blob.core.windows.net/uploads/6bdfc88c-e9c9-43a2-86d2-a4f492e4340a.jpg
e74aa8d3daa2,ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,C4CACTUS FEEL A - 2019/2020,"Aberto para lances C4CACTUS FEEL A - 2019/2020 citroen 146.727 Km placa final 9 Valor Atual R$ 25.300,00 Valor inicial: R$ 13.300,00 Lote: 20 Local: PE 6 Lances Início:  13/06/2026 10:00 Ver mais",Lote:20Local:PE6 Lances,,,25300.0,,2026-06-13,https://www.vipleiloes.com.br/evento/anuncio/citroen-c4cactus-feel-a-186154,imovel,https://armazupvipleiloesprd.blob.core.windows.net/uploads/d20ae1d2-46db-4413-9063-b55f1880829f.jpg
