leiloeiro,junta,site,titulo,descricao,cidade,uf,preco,data_leilao,imagem,url
ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,RENEGADE SPORT AT - 2019/2020,"Aberto para lances RENEGADE SPORT AT - 2019/2020 jeep 74.951 Km placa final 0 Valor Atual R$ 38.300,00 Valor inicial: R$ 20.300,00 Lote: 1 Local: RJ 18 Lances Início:  13/06/2026 10:00 Ver mais",,,"38.300,00",13/06/2026,https://armazupvipleiloesprd.blob.core.windows.net/uploads/0243b61a-6b8f-485d-a570-ad43cfe80b4f.jpg,https://www.vipleiloes.com.br/evento/anuncio/jeep-renegade-sport-at-185098
ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,TORO RANCH AT9 4X4 - 2021/2022,"Aberto para lances TORO RANCH AT9 4X4 - 2021/2022 fiat 98.476 Km placa final 5 Valor Atual R$ 65.900,00 Valor inicial: R$ 39.900,00 Lote: 2 Local: BA 21 Lances Início:  13/06/2026 10:00 Ver mais",,,"65.900,00",13/06/2026,https://armazupvipleiloesprd.blob.core.windows.net/uploads/bc8c96d8-a886-4538-9d6a-f2374fad57e6.jpg,https://www.vipleiloes.com.br/evento/anuncio/fiat-toro-ranch-at9-4x4-185099
ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,ECLIPSE CR HPESAWD - 2018/2019,"Aberto para lances ECLIPSE CR HPESAWD - 2018/2019 mmc 91.176 Km placa final 0 Valor Atual R$ 51.700,00 Valor inicial: R$ 37.700,00 Lote: 3 Local: BA 8 Lances Início:  13/06/2026 10:00 Ver mais",,,"51.700,00",13/06/2026,https://armazupvipleiloesprd.blob.core.windows.net/uploads/1014ec9c-b215-4878-9db1-05214851a3ac.jpg,https://www.vipleiloes.com.br/evento/anuncio/mmc-eclipse-cr-hpesawd-185307
ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,DISCOVERY 4 3.0 SE - 2010/2010,"Aberto para lances DISCOVERY 4 3.0 SE - 2010/2010 land rover 210.597 Km placa final 0 Valor Atual R$ 11.000,00 Valor inicial: R$ 8.000,00 Lote: 5 Local: SP 4 Lances Início:  13/06/2026 10:00 Ver mais",,,"11.000,00",13/06/2026,https://armazupvipleiloesprd.blob.core.windows.net/uploads/18accca4-980f-45bc-bc5d-e104e74e37ec.jpg,https://www.vipleiloes.com.br/evento/anuncio/land-rover-discovery-4-30-se-185798
ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,JETTA 2.0T - 2011/2012,"Aberto para lances JETTA 2.0T - 2011/2012 volkswagen 117.785 Km placa final 0 Valor Atual R$ 31.700,00 Valor inicial: R$ 12.700,00 Lote: 6 Local: GO 20 Lances Início:  13/06/2026 10:00 Ver mais",,,"31.700,00",13/06/2026,https://armazupvipleiloesprd.blob.core.windows.net/uploads/94f1508a-0988-4461-ab87-f1b7a0f8cc52.jpg,https://www.vipleiloes.com.br/evento/anuncio/volkswagen-jetta-20t-185841
ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,A3 LM 122CV I - 2014/2015,"Aberto para lances A3 LM 122CV I - 2014/2015 audi placa final 8 Valor Atual R$ 30.100,00 Valor inicial: R$ 14.100,00 Lote: 7 Local: PE 9 Lances Início:  13/06/2026 10:00 Ver mais",,,"30.100,00",13/06/2026,https://armazupvipleiloesprd.blob.core.windows.net/uploads/e36f9dd6-ccbc-4d0c-b9ac-1820e8192196.jpg,https://www.vipleiloes.com.br/evento/anuncio/audi-a3-lm-122cv-i-185842
ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,CLA200 - 2023/2024,"Aberto para lances CLA200 - 2023/2024 mercedes-benz 10.640 Km placa final 3 Valor Atual R$ 72.100,00 Valor inicial: R$ 52.100,00 Lote: 10 Local: MA 11 Lances Início:  13/06/2026 10:00 Ver mais",,,"72.100,00",13/06/2026,https://armazupvipleiloesprd.blob.core.windows.net/uploads/881ac886-b162-4f8c-a8dd-56bc5c554a0a.jpg,https://www.vipleiloes.com.br/evento/anuncio/mercedes-benz-cla200-186201
ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,TORO FREEDOM AT - 2018/2019,"Aberto para lances TORO FREEDOM AT - 2018/2019 fiat placa final 6 Valor Atual R$ 22.400,00 Valor inicial: R$ 14.400,00 Lote: 15 Local: PE 5 Lances Início:  13/06/2026 10:00 Ver mais",,,"22.400,00",13/06/2026,https://armazupvipleiloesprd.blob.core.windows.net/uploads/bfafb11f-5b1e-4e82-a4a7-cec9a20a6d8a.jpg,https://www.vipleiloes.com.br/evento/anuncio/fiat-toro-freedom-at-186142
ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,EQUINOX 15T RS - 2022/2022,"Aberto para lances EQUINOX 15T RS - 2022/2022 chevrolet 47.814 Km placa final 9 Valor Atual R$ 57.000,00 Valor inicial: R$ 25.000,00 Lote: 19 Local: SC 17 Lances Início:  13/06/2026 10:00 Ver mais",,,"57.000,00",13/06/2026,https://armazupvipleiloesprd.blob.core.windows.net/uploads/6bdfc88c-e9c9-43a2-86d2-a4f492e4340a.jpg,https://www.vipleiloes.com.br/evento/anuncio/chevrolet-equinox-15t-rs-186151
ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,C4CACTUS FEEL A - 2019/2020,"Aberto para lances C4CACTUS FEEL A - 2019/2020 citroen 146.727 Km placa final 9 Valor Atual R$ 25.300,00 Valor inicial: R$ 13.300,00 Lote: 20 Local: PE 6 Lances Início:  13/06/2026 10:00 Ver mais",,,"25.300,00",13/06/2026,https://armazupvipleiloesprd.blob.core.windows.net/uploads/d20ae1d2-46db-4413-9063-b55f1880829f.jpg,https://www.vipleiloes.com.br/evento/anuncio/citroen-c4cactus-feel-a-186154
ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,BASALT T200 DARK - 2025/2026,"Aberto para lances BASALT T200 DARK - 2025/2026 citroen 15.488 Km placa final 9 Valor Atual R$ 42.500,00 Valor inicial: R$ 20.500,00 Lote: 21 Local: SC 12 Lances Início:  13/06/2026 10:00 Ver mais",,,"42.500,00",13/06/2026,https://armazupvipleiloesprd.blob.core.windows.net/uploads/d12bb427-c509-4de0-96ca-e3df06994279.jpg,https://www.vipleiloes.com.br/evento/anuncio/citroen-basalt-t200-dark-186157
ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,COMPASS LIMITED D - 2018/2018,"Aberto para lances COMPASS LIMITED D - 2018/2018 jeep placa final 7 Valor Atual R$ 21.100,00 Valor inicial: R$ 17.100,00 Lote: 26 Local: PA 3 Lances Início:  13/06/2026 10:00 Ver mais",,,"21.100,00",13/06/2026,https://armazupvipleiloesprd.blob.core.windows.net/uploads/b4e11839-378c-4b04-b8bd-bf39d881572c.jpg,https://www.vipleiloes.com.br/evento/anuncio/jeep-compass-limited-d-186677
ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,Conservado e Sucata,Aberto para lances Conservado e Sucata INICIA EM 8H 51M E 24 SEG Início 13/06/2026 09:00 Lotes 16 Estados PR Tipo Leilão Eletrônico Leiloeiro HELCIO KRONBERG,,,,13/06/2026,https://armazupvipleiloesprd.blob.core.windows.net/uploads/6c311e55-be5f-4d0d-ad64-6b03d8e20624.png,https://www.vipleiloes.com.br/evento/detalhes/130626pinhaispr
ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,Financeiras e Seguradoras,Aberto para lances Financeiras e Seguradoras INICIA EM 9H 51M E 24 SEG Início 13/06/2026 10:00 Lotes 105 Estados BA-GO-MA-MG-PA-PE-RJ-RO-SC-SP Tipo Leilão Online Leiloeiro VICENTE PAULO,,,,13/06/2026,https://armazupvipleiloesprd.blob.core.windows.net/uploads/90234a40-0b24-43e7-a44e-2fe4574610a4.png,https://www.vipleiloes.com.br/evento/detalhes/130626bsrj
ADILBERTO BORGES DA SILVA,,https://www.vipleiloes.com.br,Financeiras e Particulares,Aberto para lances Financeiras e Particulares INICIA EM 10H 6M E 24 SEG Início 13/06/2026 10:15 Lotes 88 Estados AM-BA-GO-MA-MG-MT-PA-PE-PR-RJ-RO-SC-SP Tipo Leilão Online Leiloeiro VICENTE PAULO,,,,13/06/2026,https://armazupvipleiloesprd.blob.core.windows.net/uploads/6b7e1930-765f-46bd-954f-957bfa3b8dbc.png,https://www.vipleiloes.com.br/evento/detalhes/130626bssc
