leiloeiro,junta,site,titulo,cidade,uf,preco,data_leilao,imagem,anexos,url
Francisca Graca de Oliveira Medeiros,JUCEC/CE,https://www.construbemleiloes.com.br,"Data: 16/06/2026 (terça-feira) Primeiro lote a partir das: 16:50 IMÓVEL NO MARACANAÚ COM 907,50M²",Fortaleza,CE,,16/06/2026,,,https://www.construbemleiloes.com.br/leilao/283/lotes
Silvio Cesar Maraschi,JUCEC/CE,https://www.hastapublica.com.br,Imóvel residencial área construída 15191m2 Jd Morada do Sol Araraq,Fortaleza,CE,,10/06/2026,https://www.hastapublica.com.br/util/img/logo.png,https://s3-sa-east-1.amazonaws.com/cdnhp/content/e7df1473488989996750bfa7b107d17e.pdf,https://www.hastapublica.com.br/leilao/17947/Imóvel-residencial-área-construída-15191m2-Jd-Morada-do-Sol-Araraq
Silvio Cesar Maraschi,JUCEC/CE,https://www.hastapublica.com.br,Imóvel residencial área total 355m2 Centro CampinasSPrn,Fortaleza,CE,,10/06/2026,https://www.hastapublica.com.br/util/img/logo.png,https://s3-sa-east-1.amazonaws.com/cdnhp/content/40f5e37659ec2df87968b6632de455c5.pdf,https://www.hastapublica.com.br/leilao/17806/Imóvel-residencial-área-total-355m2-Centro-CampinasSPrn
Silvio Cesar Maraschi,JUCEC/CE,https://www.hastapublica.com.br,Imóvel residencial área total 240m2 JaúSP,Fortaleza,CE,,17/06/2026,https://www.hastapublica.com.br/util/img/logo.png,https://s3-sa-east-1.amazonaws.com/cdnhp/content/e56ec8b2fff48264740d120f799343ac.pdf,https://www.hastapublica.com.br/leilao/17929/Imóvel-residencial-área-total-240m2-JaúSP
Silvio Cesar Maraschi,JUCEC/CE,https://www.hastapublica.com.br,Imóvel residencial área total 400m2 ConchalSP,Fortaleza,CE,,18/06/2026,https://www.hastapublica.com.br/util/img/logo.png,https://s3-sa-east-1.amazonaws.com/cdnhp/content/f8c20aa5124cae9d5abff874da7c06a6.pdf,https://www.hastapublica.com.br/leilao/17885/Imóvel-residencial-área-total-400m2-ConchalSP
Silvio Cesar Maraschi,JUCEC/CE,https://www.hastapublica.com.br,Imóvel residencial área construída 170m2 Barra Funda LemeSP,Fortaleza,CE,,18/06/2026,https://www.hastapublica.com.br/util/img/logo.png,https://s3-sa-east-1.amazonaws.com/cdnhp/content/b10320ade7f3491772230674854dc0f0.pdf,https://www.hastapublica.com.br/leilao/17889/Imóvel-residencial-área-construída-170m2-Barra-Funda-LemeSP
Francisco Jonnathan Santos Freitas,JUCEC/CE,https://www.nortenordesteleiloes.com.br,Comprei - PGFN Imóvel c/ 1.912 m² no Centro - Estância/SE Comprei - PGFN Imóvel c/ 1.912 m² no Centro - Estância/SE,Estância,SE,"3.400.000,00",05/07/2026,,,https://franciscofreitasleiloes.com.br/leilao/index/leilao_id/30488/lote/100482
Francisco Jonnathan Santos Freitas,JUCEC/CE,https://www.nortenordesteleiloes.com.br,Edificação - Terreno c/ 560m² - Imperatriz/MA,Imperatriz,MA,"2.000,00",15/06/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/cearaleiloes/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1774885859.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1774885901.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1774885893.pdf,https://franciscofreitasleiloes.com.br/leilao/index/leilao_id/94973/lote/201665
Ives Harrison Nasar dos Santos,JUCEC/CE,https://www.nasarleiloes.com.br,apartamento no condominio village van em fortaleza,Fortaleza,CE,"200.000,00",15/06/2026,https://www.nasarleiloes.com.br/externo/../arquivos/bem_foto/0588139001776094884.png,https://www.nasarleiloes.com.br/externo/arquivos/114; https://www.nasarleiloes.com.br/externo/arquivos/114; https://www.nasarleiloes.com.br/arquivos/arquivos_leilao/0119640001776109418.pdf,https://www.nasarleiloes.com.br/externo/lote/2111/apartamento-no-condominio-village-van-em-fortaleza
Eduardo Vinicius Fleury Lobo,JUCEC/CE,https://www.leilomaster.com.br,Quirinópolis/GO. 3 Terrenos que somam 1.592 m²,Quirinópolis,GO,"1.610.731,92",04/04/2029,https://leilomaster.cdndp.com.br/v1/arquivo/2023/7/31/1690815875895_dfc71988-370e-4a75-8a36-cb1a907bfe4e_media.webp,https://leilo.cdndp.com.br/v1/arquivo/2026/5/29/1780077983292_MATRICULA_28.095_AVERBADA_ATA_NEG_E_BAIXA_DA_ALIENACAO.pdf; https://leilo.cdndp.com.br/v1/arquivo/2026/5/29/1780078051531_MATRICULA_28.097_AVERBADA_ATA_NEG_E_BAIXA_DA_ALIENACAO.pdf; https://leilo.cdndp.com.br/v1/arquivo/2026/5/29/1780078065237_matricula_28906.pdf; https://leilo.cdndp.com.br/v1/arquivo/2026/5/29/1780077758876_bd12ebea-459d-4908-b13f-c9a523288fc6.pdf,https://leilo.com.br/leilao/goiania-goias/imoveis/quirinopolis/go.-3-terrenos-que-somam-1.592-m%C2%B2/ano.2023/0fbe0204-5b88-11f1-99e0-02420a00000a
