leiloeiro,junta,site,titulo,cidade,uf,preco,data_leilao,imagem,anexos,url,descricao
Daniel Elias Garcia,NACIONAL,https://www.danielgarcialeiloes.com.br,Terreno,Brusque,SC,"323.150,00",15/06/2026,https://24e53253961aecf7.cdn.gocache.net/watermark/bens/0000081203/img-81203-69e21abe82c73.jpg,,https://www.danielgarcialeiloes.com.br/item/75731/detalhes,"Terreno Cidade: Brusque/SC Descrição: 01 (um) terreno, situado no final da Rua Ponta Russa, no lugar Ponta Russa, em Brusque/SC, com área de 60.000,00m², sem benfeitorias, e as seguintes confrontações: frentes com 60,00m com o Ribeirão; fundos com 60,00m com terras de herdeiros Minela; do lado direito com 1.000,00m com terras de herdeiros Hercílio Ricardo e do lado esquerdo com 1.000,00m com terras de João Sbardelatti, matriculado sob o n. 13.109 no Ofício de Registro de Imóveis de Brusque/SC. O"
Daniel Elias Garcia,NACIONAL,https://www.danielgarcialeiloes.com.br,Imóvel,Joinville,SC,"6.700.000,00",22/06/2026,https://24e53253961aecf7.cdn.gocache.net/watermark/bens/0000081665/img-81665-69f0bd4eaf288.jpg,,https://www.danielgarcialeiloes.com.br/item/76149/detalhes,"Imóvel Cidade: Joinville/SC Descrição: 01 (um) terreno, situado Rua Parati, 352, Bairro Nova Brasília, em Joinville/SC, com área de 43.500,00m², fazendo frente para a estrada Parati, com 60,00m, tendo de fundos em ambos os lados 725,00m, limitando-se em um dos lados com terras de Osvaldo Siedschlag e Carlos Pahl e do outro lado com terras de Ronaldo Freudenburg e Dionizio Cunha, fazendo o travessão dos fundos com 60,00m, com mais terras de Carlos Pahl, matriculado sob o n. 17.965 no 2º Ofício de"
Daniel Elias Garcia,NACIONAL,https://www.danielgarcialeiloes.com.br,Terreno,Rolante,RS,"235.000,00",22/06/2026,https://24e53253961aecf7.cdn.gocache.net/watermark/bens/0000081666/img-81666-69f0c7cfe25c8.jpg,,https://www.danielgarcialeiloes.com.br/item/76150/detalhes,"Terreno Cidade: Rolante/RS Descrição: 01 (um) terreno de cultura, sito na localidade denominada Boa Esperança, no distrito de Boa Esperança, em Rolante/RS, com a área superficial de 34.960,00m², confrontando ao norte e ao oeste, com terras de Amália Carraro; ao sul, com terras de Abílio Valandro; ao leste, com terras de João Longo, por um arroio, cadastrado no INCRA sob o n. 8520900033101, matriculado sob o n. 3.897 no Ofício de Registro de Imóveis de Rolante/RS. Ônus: indisponibilidade do imóve"
Daniel Elias Garcia,NACIONAL,https://www.danielgarcialeiloes.com.br,Terreno,Jaguaruna,SC,"46.110,00",22/06/2026,https://24e53253961aecf7.cdn.gocache.net/watermark/bens/0000081698/img-81698-69f1f7037e951.jpg,,https://www.danielgarcialeiloes.com.br/item/76173/detalhes,"Terreno Cidade: Jaguaruna/SC Descrição: 01 (um) terreno urbano, correspondente ao lote n. 13, da quadra n. 42, do Loteamento Balneário Dunas do Sul, situado a Rua Cardeal, em Jaguaruna/SC, com área de 300,00m², medindo 12,00m de frente por 25,00m da frente aos fundos, e as seguintes confrontações: Frente ao Oeste com a Rua Cardeal; Fundos ao Leste com o lote n. 06; Extremando de um lado ao Norte com o lote n. 12 e do outro lado ao Sul com o lote n. 14, matriculado sob o n. 6.169 no Ofício de Reg"
Daniel Elias Garcia,NACIONAL,https://www.danielgarcialeiloes.com.br,Imóvel,Criciúma,SC,"214.000,00",22/06/2026,https://24e53253961aecf7.cdn.gocache.net/watermark/bens/0000081830/img-81830-69f382b3c4e45.jpg,,https://www.danielgarcialeiloes.com.br/item/76303/detalhes,"Imóvel Cidade: Criciúma/SC Descrição: 01 (um) terreno, correspondente ao lote n. 01, da quadra n. 17, situado a Rua Juvêncio Joaquim Urbano, 183, Vila Francesa, em Criciúma/SC, com área de 459,00m², e as seguintes medidas e confrontações: Frente ao Norte, na extensão de 19,00m, limita-se com a Rua n. 11; fundos, ao Sul, na extensão de 11,60m, limita-se com Rodolfo Tavares; lado direito a Oeste, na extensão de 30,80m, limita-se com a Rua n. 03; lado esquerdo a Leste, na extensão de 30,00m, limita"
Daniel Elias Garcia,NACIONAL,https://www.danielgarcialeiloes.com.br,Apartamento,Criciúma,SC,"226.210,00",22/06/2026,https://24e53253961aecf7.cdn.gocache.net/watermark/bens/0000081831/img-81831-69f38305931ee.jpg,,https://www.danielgarcialeiloes.com.br/item/76304/detalhes,"Apartamento Cidade: Criciúma/SC Descrição: 01 (um) apartamento, n. 203D, localizado no 2º pavimento, do Bloco D, do Condomínio Residencial Ouro Preto, situado a Rua Francisco Budny esquina com a Rua 1482 e Rua 1483, bairro Vila Rica, em Criciúma/SC, com área privativa de 51,480m², área de uso comum de 14,2195m², área de uso comum de 14,2195m², área total construída de 65,6995m², e fração ideal no terreno de 1,658% equivalente a 50,1340m² do terreno, matriculado sob o n. 100.047 no 1º Ofício de R"
Daniel Elias Garcia,NACIONAL,https://www.danielgarcialeiloes.com.br,Imóvel,Criciúma,SC,"224.200,00",22/06/2026,https://www.danielgarcialeiloes.com.br/site/images/sem-imagem-lote.jpg?modified=20240531,,https://www.danielgarcialeiloes.com.br/item/76305/detalhes,"Imóvel Cidade: Criciúma/SC Descrição: 01 (um) terreno, correspondente ao lote n. 57, da quadra C, do Loteamento Severino Rosso, situado a Rua Clemente Rosso, 73, bairro Quarta Linha, em Criciúma/SC, com área de 382,01m², e as seguintes medidas e confrontações: Norte, 15,57m com Rua Sem Denominação; Sul, 14,98m com Ronaldo da Rossa Rosso; Leste, 25,00m da Ronaldo da Rossa Rosso; e Oeste, 24,43m com Jéssica Stuzinski Zanette, com o seguinte perímetro: partindo-se do vértice 1 com coordenadas X=659"
Daniel Elias Garcia,NACIONAL,https://www.danielgarcialeiloes.com.br,Terreno,Monte Castelo,SP,"165.400,00",29/06/2026,https://www.danielgarcialeiloes.com.br/site/images/sem-imagem-lote.jpg?modified=20240531,,https://www.danielgarcialeiloes.com.br/item/76424/detalhes,"Terreno Cidade: Monte Castelo/SP Descrição: 01 (um) terreno, correspondente o lote n. I-1, da quadra n. 26, situado a Rua Getúlio Vargas, em Monte Castelo/SP, comarca de Tupi Paulista, com área de 256,00m², e as seguintes confrontações: medindo 16,00m de frente para a Rua Getúlio Vargas; Lado esquerdo, confronta com a Rua Antônia Ucles Bernardi, por 16,00m; Lado direito, confronta com o lote H, por 16,00m; e, Fundos, confronta com o seu remanescente Lote I-2, por 16,00m, matriculado sob o n. 24."
Daniel Elias Garcia,NACIONAL,https://www.danielgarcialeiloes.com.br,Fração de Imóvel,Olímpia,SP,"159.257,22",15/06/2026,https://24e53253961aecf7.cdn.gocache.net/watermark/bens/0000082061/img-82061-69fca5bcafdf7.jpg,,https://www.danielgarcialeiloes.com.br/item/76434/detalhes,"Fração de Imóvel Cidade: Olímpia/SP Descrição: uma fração ideal correspondente a 1/13 (um treze) avos do apartamento comercial, com características hoteleiras, sob o n. 1605, localizado no 18º pavimento (16º andar), da Torre B, do Condomínio Olímpia Park Resort, designada cota 11 (onze), que tem sua frente para a Avenida Aurora Forti Neves, 1030, no Jardim Santa Efigênia, em Olímpia/SP, com área privativa de 87,5200m², área comum de 53,7252m², e área total de 141,2452m² de área construída, e sua"
Daniel Elias Garcia,NACIONAL,https://www.danielgarcialeiloes.com.br,Terreno,Lagoa Santa,MG,"787.675,00",10/06/2026,https://24e53253961aecf7.cdn.gocache.net/watermark/bens/0000082294/img-82294-6a0782452437b.jpg,,https://www.danielgarcialeiloes.com.br/item/76538/detalhes,"Terreno Cidade: Lagoa Santa/MG Descrição: 01 (UM) TERRENO, CORRESPONDENTE AO LOTE N. 03, DA QUADRA ""C"", SITUADO A RUA ALDO BAGGIO, NO DISTRITO INDUSTRIAL GENESCO APARECIDO DE OLIVEIRA, EM LAGOA SANTA/MG, COM A ÁREA DE 2.500,00m², CONFRONTANDO E DIVIDINDO: PELA FRENTE, NA EXTENSÃO DE 35,36M, COM A RUA TRÊS; PELA DIREITA, NA EXTENSÃO DE 70,71M, COM O LOTE N. 03-A; PELA ESQUERDA, NA EXTENSÃO DE 70,71M, COM O LOTE N. 02; E, PELOS FUNDOS, NA EXTENSÃO DE 35,36M, COM O LOTE N. 11, MATRICULADO SOB O N. "
