leiloeiro,junta,site,titulo,cidade,uf,preco,data_leilao,imagem,anexos,url
Alex Willian Hoppe,JUCAP/AP,https://www.hoppeleiloes.com.br,"Fração ideal de 209,53m² do Lote Urbano n. 07, da quadra ""B"", com área  de 609,53m²",Quilombo,SC,"R$ 68.751,00",12/06/2026,https://ms.sbwebservices.net/photos/ef22f2fe-fce1-4364-ad70-c4ea0fbb5728.jpg,,https://www.hoppeleiloes.com.br/oferta/4681049
Alex Willian Hoppe,JUCAP/AP,https://www.hoppeleiloes.com.br,Apartamento de n.º 236 do Edifício Solar das Bromélias,Bombinhas,SC,"R$ 850.000,00",16/06/2026,https://ms.sbwebservices.net/photos/7c502478-8cb1-4c44-80ef-8204c2b0a807.jpg,,https://www.hoppeleiloes.com.br/oferta/4688661
Alex Willian Hoppe,JUCAP/AP,https://www.hoppeleiloes.com.br,Dois terrenos rurais de cultura em Ituporanga - SC,Canoinhas,SC,"R$ 1.500.000,00",22/06/2026,,,https://www.hoppeleiloes.com.br/oferta/4693158
Alex Willian Hoppe,JUCAP/AP,https://www.hoppeleiloes.com.br,"Um terreno rural, de cultura, sem benfeitorias, situado no lugar 1º Leilão: R$ 3.000.000,00 (três milhões de reais) 2º Leilão: R$ 1.500.000,00 (um milhão e quinhentos mil reais) denominado VARGEM DOS BUGRES, no município de Leoberto Leal na comarca d",Canoinhas,SC,"R$ 1.000.000,00",22/06/2026,,,https://www.hoppeleiloes.com.br/oferta/4688847
Alex Willian Hoppe,JUCAP/AP,https://www.hoppeleiloes.com.br,"Um terreno rural, de cultura, com a área de 383.138,110m², situado no lugar denominado CAMPO DOS BUENOS, distrito de Pinheiros, municipio e comarca de Canoinhas/SC. Inscrito sob a matrícula n° 893 no Ofício de Registro de Imóveis de Canoinhas",Canoinhas,SC,"R$ 300.000,00",22/06/2026,,,https://www.hoppeleiloes.com.br/oferta/4688841
Alex Willian Hoppe,JUCAP/AP,https://www.hoppeleiloes.com.br,Dois terrenos Urbanos em São Cristóvão Três Barras SC.,Canoinhas,SC,"R$ 2.000.000,00",22/06/2026,https://ms.sbwebservices.net/photos/212c1d28-7cc7-49de-b4a2-7a7541e9af60.jpg,,https://www.hoppeleiloes.com.br/oferta/4693155
Alex Willian Hoppe,JUCAP/AP,https://www.hoppeleiloes.com.br,"Barracão contendo 1.200m², Todo  metálico, fechado com telhas de  alumínio, contendo 3 portões de  acesso. Cobertura e fechamento com  telhas de alumínio. Localizado na Rua  Alberto Tokarski, nº 11 - Centro,  Canoinhas/SC, CEP 89460-070.",Canoinhas,SC,"R$ 250.000,00",22/06/2026,https://ms.sbwebservices.net/photos/2ab961a7-538b-4260-a24e-5ee3cc33f931.jpg,,https://www.hoppeleiloes.com.br/oferta/4693153
Alex Willian Hoppe,JUCAP/AP,https://www.hoppeleiloes.com.br,"Terreno rural com área de 159.075m²,  situado no lugar denominado Palmito Piedade, no municipio e comarca de  Canoinhas/SC.",Canoinhas,SC,"R$ 4.000.000,00",22/06/2026,https://ms.sbwebservices.net/photos/65382c99-ee12-44ca-ba6e-3eb447d9bcfa.jpg,,https://www.hoppeleiloes.com.br/oferta/4688839
Alex Willian Hoppe,JUCAP/AP,https://www.hoppeleiloes.com.br,"Terreno urbano com área de  12.676,28m², situado no Distrito de  São Cristovão, municipio de Três  Barras/SC.",Canoinhas,SC,"R$ 1.200.000,00",22/06/2026,,,https://www.hoppeleiloes.com.br/oferta/4688837
Alex Willian Hoppe,JUCAP/AP,https://www.hoppeleiloes.com.br,"Terreno urbano com área de 6.225,00m², situado no Núcleo Residencial São Cristovão, municipio de Três Barras/SC.",Canoinhas,SC,"R$ 600.000,00",22/06/2026,,,https://www.hoppeleiloes.com.br/oferta/4693151
Alex Willian Hoppe,JUCAP/AP,https://www.hoppeleiloes.com.br,"Terreno urbano com área de  1.426,82m², situado no bairro Água  Verde no municipio e comarca de  Canoinhas/SC, fazendo frente para o  lado impar da Rua Sergio Gapski.",Canoinhas,SC,"R$ 400.000,00",22/06/2026,,,https://www.hoppeleiloes.com.br/oferta/4693149
Alex Willian Hoppe,JUCAP/AP,https://www.hoppeleiloes.com.br,Terreno  rural sem benfeitorias,São Bento do Sul,SC,"R$ 564.000,00",01/07/2026,,,https://www.hoppeleiloes.com.br/oferta/4728545
Alex Willian Hoppe,JUCAP/AP,https://www.hoppeleiloes.com.br,"Fração de 25% do imóvel de matrícula n° 7.915, correspondente à cota parte pertencente ao executado.",Ouro,SC,"R$ 67.500,00",29/07/2026,https://ms.sbwebservices.net/photos/72fe2174-12c1-4b45-a78a-04d6cb505846.jpg,,https://www.hoppeleiloes.com.br/oferta/4661739
Alex Willian Hoppe,JUCAP/AP,https://www.hoppeleiloes.com.br,"Quota parte do Imovel de nº 34.694, registrada no 2º Ofício de Registro  de Imóveis de Londrina - PR",Londrina,PR,"R$ 160.000,00",13/08/2026,https://ms.sbwebservices.net/photos/57c10ae7-3d36-4ebb-bf74-eeeb6370edd3.jpg,,https://www.hoppeleiloes.com.br/oferta/4693065
