leiloeiro,junta,site,titulo,descricao,endereco,cidade,uf,lance_inicial,avaliacao,data_leilao,url,tipo,imagem,anexos
Vladmir Oliani,JUCEAC/JUCER,https://www.leiloesaguiar.com.br/,01 APARTAMENTO EM PORTO VELHO 1º Leilão: 09/06/2026 às 10:00 2º Leilão: 23/06/2026 às 10:0,"01 APARTAMENTO EM PORTO VELHO 1º Leilão: 09/06/2026 às 10:00 2º Leilão: 23/06/2026 às 10:00 ALIENAÇÃO DOS DIREITOS AQUISITIVOS SOBRE O APARTAMENTO 34, BLOCO 02, CONDOMÍNIO PORTO BELO  ll. JUDICIAL Online Em Andamento",,Porto Velho,RO,,,09/06/2026,https://www.leiloesaguiar.com.br/leilao/2618/lotes,imovel,https://85905567621fd890.cdn.gocache.net/leiloes/002618-69f0e4499fa2c.jpeg,
Vladmir Oliani,JUCEAC/JUCER,https://www.leiloesaguiar.com.br/,09 BOIS NELORE EM SÃO FRANCISCO DO GUAPORÉ/RO 1º Leilão: 15/07/2026 às 10:30 LANCE INICIAL,"09 BOIS NELORE EM SÃO FRANCISCO DO GUAPORÉ/RO 1º Leilão: 15/07/2026 às 10:30 LANCE INICIAL R$ 29.070,00 2º Leilão: 29/07/2026 às 10:30 LANCE INICIAL R$ 20.349,00 09 BOIS NELORE, COM MAIS DE 36 MESES, PESO MÉDIO DE 17 ARROBAS. NA LINHA 06, KM 5,5, LOTE 151, SETOR CAUTARINHO, SÍTIO SANTA LUZIA, SÃO FRANCISCO DO GUAPORÉ/RO. JUDICIAL Online Em Andamento",,Porto Velho,RO,"29.070,00",,15/07/2026,https://www.leiloesaguiar.com.br/leilao/2616/lotes,imovel,https://85905567621fd890.cdn.gocache.net/leiloes/002616-6a01edf0984b4.jpg,
Vladmir Oliani,JUCEAC/JUCER,https://www.leiloesaguiar.com.br/,"LATICÍNIO TRADIÇÃO EM URUPÁ/RO 1º Leilão: 15/07/2026 às 11:30 LANCE INICIAL R$ 4.919.694,2","LATICÍNIO TRADIÇÃO EM URUPÁ/RO 1º Leilão: 15/07/2026 às 11:30 LANCE INICIAL R$ 4.919.694,29 2º Leilão: 29/07/2026 às 11:30 LANCE INICIAL R$ 3.443.785,00 IMÓVEL E INSTALAÇÕES DO LATICÍNIO TRADIÇÃO NO MUNÍCIPIO DE URUPA/RO. ÁREA RURAL COM 13,3630 HA PAGAMENTO PARCELADO SEGUNDO LEILÃO 70% DA AVALIAÇÃO JUDICIAL Online Em Andamento",,Porto Velho,RO,"4.919.694,29",,15/07/2026,https://www.leiloesaguiar.com.br/leilao/2636/lotes,imovel,https://85905567621fd890.cdn.gocache.net/leiloes/002636-6a0f20b469ddb.jpg,https://www.leiloesaguiar.com.br/leilao/2636/lotes
Vladmir Oliani,JUCEAC/JUCER,https://www.leiloesaguiar.com.br/,APARTAMENTO EM CUIABÁ Envie sua proposta até: 30/07/2026 às 10:00 APARTAMENTO NO 1001 DO C,"APARTAMENTO EM CUIABÁ Envie sua proposta até: 30/07/2026 às 10:00 APARTAMENTO NO 1001 DO CONDOMÍNIO GARDEN VILLE, LOCALIZADO NA RUA PROFESSOR JOÃO PEDRO GARDEZ, N274, BAIRRO BOSQUE DA SAÚDE, CUIABÁ-MT, COM 124,00M2 DE ÁREA REAL PRIVATIVA. OBS: SEM VAGA DE GARAGEM JUDICIAL Online Proposta",,Porto Velho,RO,,,30/07/2026,https://www.leiloesaguiar.com.br/leilao/2403/lotes,imovel,https://85905567621fd890.cdn.gocache.net/leiloes/000000-6914b13602e79.jpg,
Vladmir Oliani,JUCEAC/JUCER,https://www.leiloesaguiar.com.br/,"IMÓVEL RESIDENCIAL , CENTRO, AO LADO DA FACULDADE UNIP, EM JI-PARANÁ/RO. Envie sua propost","IMÓVEL RESIDENCIAL , CENTRO, AO LADO DA FACULDADE UNIP, EM JI-PARANÁ/RO. Envie sua proposta até: 31/07/2026 às 10:00 IMÓVEL COM ÁREA DE 400,00 M², MATRÍCULA Nº 23.654, LOCALIZADO NA RUA DOM AUGUSTO, Nº 244, CENTRO, JI-PARANÁ/RO. Online Proposta",,Porto Velho,RO,,,31/07/2026,https://www.leiloesaguiar.com.br/leilao/1056/lotes,imovel,https://85905567621fd890.cdn.gocache.net/leiloes/000000-6744cd561b05d.jpeg,https://www.leiloesaguiar.com.br/leilao/1056/lotes
Vladmir Oliani,JUCEAC/JUCER,https://www.leiloesaguiar.com.br/,"GRANDE ÁREA URBANA EM OURO PRETO D'OESTE,  C/ 75.133,00 m2, DOCUMENTADA. Envie sua propost","GRANDE ÁREA URBANA EM OURO PRETO D'OESTE,  C/ 75.133,00 m2, DOCUMENTADA. Envie sua proposta até: 31/07/2026 às 10:00 IMÓVEL LOCALIZADO NA RUA OLINDA, S/N, BAIRRO DO INCRA, CEP 76.920-000, OURO PRETO D’OESTE/RO, ONDE FUNCIONA O SINDICATO DOS SERVIDORES DA CEPLAC. EXTRAJUDICIAL Online Proposta",,Porto Velho,RO,,,31/07/2026,https://www.leiloesaguiar.com.br/leilao/2122/lotes,imovel,https://85905567621fd890.cdn.gocache.net/leiloes/002122-68cc1095b6a94,
Vladmir Oliani,JUCEAC/JUCER,https://www.leiloesaguiar.com.br/,"IMÓVEL RURAL EM VILHENA/RO Envie sua proposta até: 31/07/2026 às 10:10 CHÁCARA Nº 48, SETO","IMÓVEL RURAL EM VILHENA/RO Envie sua proposta até: 31/07/2026 às 10:10 CHÁCARA Nº 48, SETOR 53, LOCALIZADA EM VILHENA/RO, COM ÁREA DE 3,1116 HA, MATRÍCULA Nº R-2-21.602, DO CARTÓRIO DE REGISTRO DE IMÓVEIS DE VILHENA/RO. JUDICIAL Online Proposta",,Porto Velho,RO,,,31/07/2026,https://www.leiloesaguiar.com.br/leilao/2160/lotes,imovel,https://85905567621fd890.cdn.gocache.net/leiloes/002160-68d3fc1f27746,https://www.leiloesaguiar.com.br/leilao/2160/lotes
Vladmir Oliani,JUCEAC/JUCER,https://www.leiloesaguiar.com.br/,"IMÓVEL COMERCIAL NA LAURO SODRÉ, 1438, EM PORTO VELHO/RO. Envie sua proposta até: 31/07/20","IMÓVEL COMERCIAL NA LAURO SODRÉ, 1438, EM PORTO VELHO/RO. Envie sua proposta até: 31/07/2026 às 10:20 IMÓVEL COM POTENCIAL PARA 06 LOCAÇÕES, SENDO 05 SALAS COMERCIAIS E 01 APARTAMENTO COM 04 SUÍTES, GARAGEM COBERTA E PRIVATIVA PARA 03 VEÍCULOS. EXTRAJUDICIAL Online Proposta",,Porto Velho,RO,,,31/07/2026,https://www.leiloesaguiar.com.br/leilao/1722/lotes,imovel,https://85905567621fd890.cdn.gocache.net/leiloes/000000-685977e170000.jpg,
Vladmir Oliani,JUCEAC/JUCER,https://www.leiloesaguiar.com.br/,APARTAMENTO EM BALNEÁRIO CAMBORIÚ/SC. Envie sua proposta até: 31/07/2026 às 10:30 APARTAME,"APARTAMENTO EM BALNEÁRIO CAMBORIÚ/SC. Envie sua proposta até: 31/07/2026 às 10:30 APARTAMENTO REFORMADO E MOBILIADO, CONDOMÍNIO MIAMI BEACH - BALNEÁRIO CAMBORIÚ – SC. LANCE INICIAL R$ 650.000,00. EXTRAJUDICIAL Online Proposta",,Porto Velho,RO,"650.000,00",,31/07/2026,https://www.leiloesaguiar.com.br/leilao/1755/lotes,imovel,https://85905567621fd890.cdn.gocache.net/leiloes/001755-685ab69149447,
Vera Lucia Aguiar de Sousa,JUCEAC/JUCER,https://www.leiloesaguiar.com.br/,01 APARTAMENTO EM PORTO VELHO 1º Leilão: 09/06/2026 às 10:00 2º Leilão: 23/06/2026 às 10:0,"01 APARTAMENTO EM PORTO VELHO 1º Leilão: 09/06/2026 às 10:00 2º Leilão: 23/06/2026 às 10:00 ALIENAÇÃO DOS DIREITOS AQUISITIVOS SOBRE O APARTAMENTO 34, BLOCO 02, CONDOMÍNIO PORTO BELO  ll. JUDICIAL Online Em Andamento",,Porto Velho,RO,,,09/06/2026,https://www.leiloesaguiar.com.br/leilao/2618/lotes,imovel,https://85905567621fd890.cdn.gocache.net/leiloes/002618-69f0e4499fa2c.jpeg,
