leiloeiro,junta,site,titulo,descricao,endereco,cidade,uf,lance_inicial,avaliacao,data_leilao,url,tipo,imagem,anexos
Antonio Brasil II,JUCEG,https://www.leiloesbrasil.com.br/imoveis,207.346 - APARTAMENTO - APTO ALTO PADRÃO COM GARAGEM,"207.346 - APARTAMENTO - APTO ALTO PADRÃO COM GARAGEM VALOR MÍNIMO: R$ 353.000,00 PARA VENDA “AD CORPUS” DE 01 (UM) APARTAMENTO, LOCALIZADO NO 6° ANDAR DO CONDOMÍNIO VILLAGE DOS ALPES, RUA A-20, QUADRA 13, LOTE 01/31, N° 113, APARTAMENTO 602, EDIFÍCIO 1, SETOR VILLAGE DOS ALPES, NA CIDADE DE GOIÂNIA/GO. UM APARTAMENTO Nº 602, DO EDIFÍCIO 1 NO CONDOMÍNIO VILLAGE DOS ALPES, COM A SEGUINTE DIVISÃO INTERNA: VARANDA NA SALA, SALA ESTAR/JANTAR, HALL CIRCULAÇÃO, COZINHA, ÁREA DE SERVIÇO, BANHEIRO SOCIAL",,Aparecida de Goiania,GO,"353.000,00",,23/06/2026,https://www.leiloesbrasil.com.br/imoveis#,imovel,,
Leila Nanci Karasiaki,JUCEG,https://www.lkleiloes.com.br,Município de Cumarí Data: 17/06/2026 (quarta-feira) Primeiro lote a partir das: 14:00 PÚBL,Município de Cumarí Data: 17/06/2026 (quarta-feira) Primeiro lote a partir das: 14:00 PÚBLICO ADMINISTRATIVO Presencial Em Andamento,,Goiania,GO,,,17/06/2026,https://www.lkleiloes.com.br/leilao/265/lotes,imovel,https://d1rarsk6hyr7fg.cloudfront.net/leiloes/000000-6a0f4414848b9.jpg,
Leony Gomes dos Santos Junior,JUCEG,https://www.leiloesbrasil.com.br/imoveis,207.346 - APARTAMENTO - APTO ALTO PADRÃO COM GARAGEM,"207.346 - APARTAMENTO - APTO ALTO PADRÃO COM GARAGEM VALOR MÍNIMO: R$ 353.000,00 PARA VENDA “AD CORPUS” DE 01 (UM) APARTAMENTO, LOCALIZADO NO 6° ANDAR DO CONDOMÍNIO VILLAGE DOS ALPES, RUA A-20, QUADRA 13, LOTE 01/31, N° 113, APARTAMENTO 602, EDIFÍCIO 1, SETOR VILLAGE DOS ALPES, NA CIDADE DE GOIÂNIA/GO. UM APARTAMENTO Nº 602, DO EDIFÍCIO 1 NO CONDOMÍNIO VILLAGE DOS ALPES, COM A SEGUINTE DIVISÃO INTERNA: VARANDA NA SALA, SALA ESTAR/JANTAR, HALL CIRCULAÇÃO, COZINHA, ÁREA DE SERVIÇO, BANHEIRO SOCIAL",,Aparecida de Goiania,GO,"353.000,00",,23/06/2026,https://www.leiloesbrasil.com.br/imoveis#,imovel,,
Felipe Guimaraes Carrijo,JUCEG,https://www.leilo.com.br/leilao/imoveis,Leilão de Imoveis,"Leilão de Imoveis 6 resultados view_module view_stream south Encerramento expand_more Leilão de Imoveis na Leilo.. Imoveis de leilão, confira as marcas e modelos. Lotes disponíveis em leilões na Leilo. Antes de enviar um lance, confira todos os detalhes e o edital do leilão do lote. Visite o pátio, veja de perto o lote em leilão na Leilo. Confira as fotos disponíveis na plataforma completa de leilão. Possível encontrar vídeo e 360º em diversos lotes. Leilo, seu lance, seu futuro. Finalizado Lote",,Aparecida de Goiania,GO,"260.000,00",,15/06/2026,"https://www.leilo.com.br/leilao/goiania-goias/imoveis/goiatuba/go---terreno-com-237,50-m%C2%B2/ano.2023/125aaca6-5b88-11f1-99e0-02420a00000a",imovel,,
Felipe Guimaraes Carrijo,JUCEG,https://www.leilo.com.br/leilao/imoveis,IMOVEL NO BAIRRO SAO CARLOS - GOIANIA/GO,"Finalizado Lote 1 Lote atual location_on GO chevron_left chevron_right - 1º Leilão IMOVEL NO BAIRRO SAO CARLOS - GOIANIA/GO favorite_border 360° photo 7 Fotos play_circle Vídeo R$ 200.000,00 Lance atual schedule Finaliza em 9 dias 11h24m40s 40s restantes hourglass_top 3..2..1.. finalizando Thu Jun 18 2026 08:30:00 GMT-0300 (Horário Padrão de Brasília)
    Liberado!
    8
    818680.394
    {
  ""years"": 0,
  ""months"": 0,
  ""days"": 9,
  ""hours"": 11,
  ""minutes"": 24,
  ""seconds"": 40.394
} Leilão: 1",,Aparecida de Goiania,GO,"200.000,00",,18/06/2026,https://www.leilo.com.br/leilao/goiania-goias/imoveis/imovel-no-bairro-sao-carlos---goiania/go/ano.2023/760d8210-4fcf-11f1-8cef-02420a000008,imovel,,
Felipe Guimaraes Carrijo,JUCEG,https://www.leilo.com.br/leilao/imoveis,"Nova Veneza/GO LOTE com a área de 9.960,46 m²","Finalizado Lote 1 Lote atual location_on chevron_left chevron_right - 1º Leilão Nova Veneza/GO LOTE com a área de 9.960,46 m² favorite_border 360° photo 22 Fotos play_circle Vídeo R$ 1.050.000,00 Lance atual schedule Finaliza em 9 dias 11h39m40s 40s restantes hourglass_top 3..2..1.. finalizando Thu Jun 18 2026 08:45:00 GMT-0300 (Horário Padrão de Brasília)
    Liberado!
    8
    819580.393
    {
  ""years"": 0,
  ""months"": 0,
  ""days"": 9,
  ""hours"": 11,
  ""minutes"": 39,
  ""seconds"": 40.393
} Leil",,Aparecida de Goiania,GO,"1.050.000,00",,18/06/2026,"https://www.leilo.com.br/leilao/goiania-goias/imoveis/nova-veneza/go-lote-com-a-area-de-9.960,46-m%C2%B2/ano.2023/6bb04919-53c2-11f1-8cef-02420a000008",imovel,,
Felipe Guimaraes Carrijo,JUCEG,https://www.leilo.com.br/leilao/imoveis,"CAMPO LIMPO DE GOIAS/GO -  LOTE COM AREA DE 287,50 M","Finalizado Lote 1 Lote atual location_on chevron_left chevron_right - 1º Leilão CAMPO LIMPO DE GOIAS/GO -  LOTE COM AREA DE 287,50 M favorite_border 360° photo 13 Fotos play_circle Vídeo R$ 420.000,00 Lance atual schedule Finaliza em 9 dias 11h54m40s 40s restantes hourglass_top 3..2..1.. finalizando Thu Jun 18 2026 09:00:00 GMT-0300 (Horário Padrão de Brasília)
    Liberado!
    8
    820480.391
    {
  ""years"": 0,
  ""months"": 0,
  ""days"": 9,
  ""hours"": 11,
  ""minutes"": 54,
  ""seconds"": 40.391
}",,Aparecida de Goiania,GO,"420.000,00",,18/06/2026,"https://www.leilo.com.br/leilao/goiania-goias/imoveis/campo-limpo-de-goias/go----lote-com-area-de-287,50-m/ano.2023/371a5fe7-552a-11f1-8cef-02420a000008",imovel,,
Felipe Guimaraes Carrijo,JUCEG,https://www.leilo.com.br/leilao/imoveis,NOVO GAMA/GO - TERRENO 360 M,"Finalizado Lote 5 Lote atual location_on chevron_left chevron_right - NOVO GAMA/GO - TERRENO 360 M favorite_border 360° photo 15 Fotos play_circle Vídeo R$ 116.300,00 Lance atual schedule Finaliza em 15 dias 11h56m40s 40s restantes hourglass_top 3..2..1.. finalizando Wed Jun 24 2026 09:02:00 GMT-0300 (Horário Padrão de Brasília)
    Liberado!
    8
    1339000.39
    {
  ""years"": 0,
  ""months"": 0,
  ""days"": 15,
  ""hours"": 11,
  ""minutes"": 56,
  ""seconds"": 40.39
} Leilão: 24/06/2026 Qua •
       ",,Aparecida de Goiania,GO,"116.300,00",,24/06/2026,https://www.leilo.com.br/leilao/goiania-goias/imoveis/novo-gama/go---terreno-360-m/ano.2023/8c5c4036-5dfe-11f1-99e0-02420a00000a,imovel,,
Felipe Guimaraes Carrijo,JUCEG,https://www.leilo.com.br/leilao/imoveis,GOIANIA/GO - CASA COM 216 M,"Finalizado Lote 8 Lote atual location_on chevron_left chevron_right - GOIANIA/GO - CASA COM 216 M favorite_border 360° photo 5 Fotos play_circle Vídeo R$ 280.000,00 Lance atual schedule Finaliza em 15 dias 11h58m10s 10s restantes hourglass_top 3..2..1.. finalizando Wed Jun 24 2026 09:03:30 GMT-0300 (Horário Padrão de Brasília)
    Liberado!
    8
    1339090.389
    {
  ""years"": 0,
  ""months"": 0,
  ""days"": 15,
  ""hours"": 11,
  ""minutes"": 58,
  ""seconds"": 10.389
} Leilão: 24/06/2026 Qua •
       ",,Aparecida de Goiania,GO,"280.000,00",,24/06/2026,https://www.leilo.com.br/leilao/goiania-goias/imoveis/goiania/go---casa-com-216-m/ano.2023/8e007da7-5dfe-11f1-99e0-02420a00000a,imovel,,
Eduardo Vinicius Fleury Lobo,JUCEG,https://www.leilo.com.br/leilao/imoveis,Leilão de Imoveis,"Leilão de Imoveis 6 resultados view_module view_stream south Encerramento expand_more Leilão de Imoveis na Leilo.. Imoveis de leilão, confira as marcas e modelos. Lotes disponíveis em leilões na Leilo. Antes de enviar um lance, confira todos os detalhes e o edital do leilão do lote. Visite o pátio, veja de perto o lote em leilão na Leilo. Confira as fotos disponíveis na plataforma completa de leilão. Possível encontrar vídeo e 360º em diversos lotes. Leilo, seu lance, seu futuro. Finalizado Lote",,Goiania,GO,"260.000,00",,15/06/2026,"https://www.leilo.com.br/leilao/goiania-goias/imoveis/goiatuba/go---terreno-com-237,50-m%C2%B2/ano.2023/125aaca6-5b88-11f1-99e0-02420a00000a",imovel,,
