id_externo,leiloeiro,leiloeiro_site,titulo,tipo_imovel,tipo_leilao,estado,cidade,cep,endereco_completo,valor_minimo,valor_avaliacao,area_total,quartos,data_primeiro_leilao,data_segundo_leilao,data_encerramento,url_original,imagem_principal,numero_processo,arquivos,descricao
2de8241441df3d90f7bc8ff7,Vicente Alves Pereira Neto,https://www.agencialeilao.com.br,Judicial - On Line - Comarca de Balneário Camboriu,outro,judicial,SE,Balneário Camboriú,,,864396.72,518638.03,233.20,,2026-07-10,2026-07-11,,https://www.agencialeilao.com.br/leilao/4266/lotes,https://87a1fd6fb0620b99.cdn.gocache.net/leiloes/000000-6a15f30261115.jpg,5000397-62.2013.8.24.0005,"[{""tipo"": ""matricula"", ""url"": ""https://www.agencialeilao.com.br/item/8952/detalhes?page=1"", ""nome"": ""Rua Austrália 116, Bairro das Nações, em Balneário Camboriú/SCCidade:Balneário C""}, {""tipo"": ""pdf"", ""url"": ""https://www.agencialeilao.com.br/site/docs/Curriculo-Vicente-2024.pdf"", ""nome"": ""Currículo do Leiloeiro""}]",Judicial - On Line - Comarca de Balneário Camboriu - Lista de Lotes (ID 4266) :: Agência de Leilão CADASTRE-SE LOGIN Leilões Quem Somos Dúvidas? Fale Conosco Indique o Leiloeiro FAÇA SEU LOGIN × USUÁRIO SENHA Esqueci minha senha Entrar NOVO CADASTRO Fechar Voltar Judicial - On Line - Comarca de Baln
6f80a626da94871096d33a7b,Vicente Alves Pereira Neto,https://www.agencialeilao.com.br,Judicial - On Line - Comarca de Joinville,outro,judicial,SE,Joinville,,,4000.0,2000.0,,,2026-06-03,2026-06-03,,https://www.agencialeilao.com.br/leilao/4271/lotes,https://87a1fd6fb0620b99.cdn.gocache.net/leiloes/004271-6a203362878b5,5033527-94.2020.8.24.0038,"[{""tipo"": ""pdf"", ""url"": ""https://www.agencialeilao.com.br/item/9026/detalhes?page=1"", ""nome"": ""Veículo Renault/Clio, Ano: 2003/2003, Verde, Placas JPM-4598Descrição:Veículo Re""}, {""tipo"": ""pdf"", ""url"": ""https://www.agencialeilao.com.br/site/docs/Curriculo-Vicente-2024.pdf"", ""nome"": ""Currículo do Leiloeiro""}]",Judicial - On Line - Comarca de Joinville - Lista de Lotes (ID 4271) :: Agência de Leilão CADASTRE-SE LOGIN Leilões Quem Somos Dúvidas? Fale Conosco Indique o Leiloeiro FAÇA SEU LOGIN × USUÁRIO SENHA Esqueci minha senha Entrar NOVO CADASTRO Fechar Voltar Judicial - On Line - Comarca de Joinville Em 
35b80346601fb82fab7c2dc2,Vicente Alves Pereira Neto,https://www.agencialeilao.com.br,Busca de Lotes Diversos,galpao,extrajudicial,SE,Joinville,,,24000.0,12000.0,504,,2023-24-25,,,https://www.agencialeilao.com.br/lotes/search?tipo=diversos&categoria_id=30,,5002925-24.2023.8.24.0036,"[{""tipo"": ""pdf"", ""url"": ""https://www.agencialeilao.com.br/item/8949/detalhes?page=1"", ""nome"": ""Uma máquina de costura overloque 3  fiosDescrição:Uma máquina de costura overloq""}, {""tipo"": ""pdf"", ""url"": ""https://www.agencialeilao.com.br/site/docs/Curriculo-Vicente-2024.pdf"", ""nome"": ""Currículo do Leiloeiro""}]",Busca de Diversos :: Agência de Leilão CADASTRE-SE LOGIN Leilões Quem Somos Dúvidas? Fale Conosco Indique o Leiloeiro FAÇA SEU LOGIN × USUÁRIO SENHA Esqueci minha senha Entrar NOVO CADASTRO Fechar Voltar Busca de Lotes Diversos Categoria Todas Animais Diversos Industrial -- Máquinas Data Leilão Lanc
88bf61ab2bf6382d6d26e4f1,Vicente Alves Pereira Neto,https://www.agencialeilao.com.br,Judicial - On Line - Comarca de Jaraguá do Sul,outro,judicial,SE,Joinville,94561557,,23100.6,11550.0,,,2026-07-21,2026-07-22,,https://www.agencialeilao.com.br/leilao/4259/lotes,https://87a1fd6fb0620b99.cdn.gocache.net/leiloes/000000-6a0b5d41b981b.jpeg,5000034-74.2016.8.24.0036,"[{""tipo"": ""pdf"", ""url"": ""https://www.agencialeilao.com.br/item/8911/detalhes?page=1"", ""nome"": ""Automóvel VW/Golf 1.6 SportlineDescrição:01 automóvel VW/Golf 1.6 Sportline, PLA""}, {""tipo"": ""pdf"", ""url"": ""https://www.agencialeilao.com.br/site/docs/Curriculo-Vicente-2024.pdf"", ""nome"": ""Currículo do Leiloeiro""}]",Judicial - On Line - Comarca de Jaraguá do Sul - Lista de Lotes (ID 4259) :: Agência de Leilão CADASTRE-SE LOGIN Leilões Quem Somos Dúvidas? Fale Conosco Indique o Leiloeiro FAÇA SEU LOGIN × USUÁRIO SENHA Esqueci minha senha Entrar NOVO CADASTRO Fechar Voltar Judicial - On Line - Comarca de Jaraguá 
6467b8fe37d681a88a08ac22,Vicente Alves Pereira Neto,https://www.agencialeilao.com.br,Judicial - On Line - Comarca de Florianópolis,outro,judicial,SE,Joinville,,,2000.0,1000.0,,,2026-06-08,2026-06-09,,https://www.agencialeilao.com.br/leilao/4241/lotes,https://87a1fd6fb0620b99.cdn.gocache.net/leiloes/000000-69e91bcc03d7a.jpg,0013437-10.2007.8.24.0038,"[{""tipo"": ""pdf"", ""url"": ""https://www.agencialeilao.com.br/item/8753/detalhes?page=1"", ""nome"": ""(01) máquina Plasma Hypertherm 600 PMX600-057731Descrição:(01) máquina Plasma Hy""}, {""tipo"": ""pdf"", ""url"": ""https://www.agencialeilao.com.br/site/docs/Curriculo-Vicente-2024.pdf"", ""nome"": ""Currículo do Leiloeiro""}]",Judicial - On Line - Comarca de Florianópolis - Lista de Lotes (ID 4241) :: Agência de Leilão CADASTRE-SE LOGIN Leilões Quem Somos Dúvidas? Fale Conosco Indique o Leiloeiro FAÇA SEU LOGIN × USUÁRIO SENHA Esqueci minha senha Entrar NOVO CADASTRO Fechar Voltar Judicial - On Line - Comarca de Florianóp
0ce81c84f5939e51bc784b1d,Vicente Alves Pereira Neto,https://www.agencialeilao.com.br,Judicial - On Line - Comarca de Joinville,outro,judicial,SE,Joinville,,,295650.0,328499.66,75.9500,,2026-07-06,2026-07-07,,https://www.agencialeilao.com.br/leilao/4253/lotes,https://87a1fd6fb0620b99.cdn.gocache.net/leiloes/004253-6a20459500e75.jpeg,5002145-59.2015.8.24.0038,"[{""tipo"": ""matricula"", ""url"": ""https://www.agencialeilao.com.br/item/8829/detalhes?page=1"", ""nome"": ""A unidade autônoma composta pelo apartamento que terá o n°  402 à localizar-se n""}, {""tipo"": ""pdf"", ""url"": ""https://www.agencialeilao.com.br/site/docs/Curriculo-Vicente-2024.pdf"", ""nome"": ""Currículo do Leiloeiro""}]",Judicial - On Line - Comarca de Joinville - Lista de Lotes (ID 4253) :: Agência de Leilão CADASTRE-SE LOGIN Leilões Quem Somos Dúvidas? Fale Conosco Indique o Leiloeiro FAÇA SEU LOGIN × USUÁRIO SENHA Esqueci minha senha Entrar NOVO CADASTRO Fechar Voltar Judicial - On Line - Comarca de Joinville Em 
92555880f57d5fd0a6f44503,Vicente Alves Pereira Neto,https://www.agencialeilao.com.br,Judicial - On Line - Comarca de Florianópolis,outro,judicial,SE,São Bento do Sul,,,20000.0,10000.0,,,2026-07-15,2026-07-16,,https://www.agencialeilao.com.br/leilao/4256/lotes,https://87a1fd6fb0620b99.cdn.gocache.net/leiloes/000000-6a072cd52689a.jpg,,"[{""tipo"": ""pdf"", ""url"": ""https://www.agencialeilao.com.br/site/docs/Curriculo-Vicente-2024.pdf"", ""nome"": ""Currículo do Leiloeiro""}]",Judicial - On Line - Comarca de Florianópolis - Lista de Lotes (ID 4256) :: Agência de Leilão CADASTRE-SE LOGIN Leilões Quem Somos Dúvidas? Fale Conosco Indique o Leiloeiro FAÇA SEU LOGIN × USUÁRIO SENHA Esqueci minha senha Entrar NOVO CADASTRO Fechar Voltar Judicial - On Line - Comarca de Florianóp
e69dac735df7a6046616c11f,Vicente Alves Pereira Neto,https://www.agencialeilao.com.br,Judicial - On Line - Comarca de Joinville,outro,judicial,SE,Joinville,01102362,,37500.0,18750.0,,,2026-07-17,2026-07-18,,https://www.agencialeilao.com.br/leilao/4265/lotes,https://87a1fd6fb0620b99.cdn.gocache.net/leiloes/000000-6a1483c6dba03.jpeg,5001781-90.2025.8.24.0538,"[{""tipo"": ""pdf"", ""url"": ""https://www.agencialeilao.com.br/item/8951/detalhes?page=1"", ""nome"": ""Um Automóvel CHEVROLET/ONIX 1.0MT LT,Descrição:Um Automóvel CHEVROLET/ONIX 1.0MT""}, {""tipo"": ""pdf"", ""url"": ""https://www.agencialeilao.com.br/site/docs/Curriculo-Vicente-2024.pdf"", ""nome"": ""Currículo do Leiloeiro""}]",Judicial - On Line - Comarca de Joinville - Lista de Lotes (ID 4265) :: Agência de Leilão CADASTRE-SE LOGIN Leilões Quem Somos Dúvidas? Fale Conosco Indique o Leiloeiro FAÇA SEU LOGIN × USUÁRIO SENHA Esqueci minha senha Entrar NOVO CADASTRO Fechar Voltar Judicial - On Line - Comarca de Joinville Em 
18051f79dbfee54d87f2a5e3,Vicente Alves Pereira Neto,https://www.agencialeilao.com.br,Busca de Lotes Diversos,galpao,extrajudicial,SE,Joinville,14295848,,4500.0,2250.0,,,2025-28-58,,,https://www.agencialeilao.com.br/lotes/search?tipo=diversos&categoria_id=17,,5000958-28.2025.8.24.0050,"[{""tipo"": ""pdf"", ""url"": ""https://www.agencialeilao.com.br/item/8718/detalhes?page=1"", ""nome"": ""Um veículo, reboque, marca/modelo R/RB CA 1E (nacional)Descrição:Um veículo, reb""}, {""tipo"": ""pdf"", ""url"": ""https://www.agencialeilao.com.br/site/docs/Curriculo-Vicente-2024.pdf"", ""nome"": ""Currículo do Leiloeiro""}]",Busca de Diversos :: Agência de Leilão CADASTRE-SE LOGIN Leilões Quem Somos Dúvidas? Fale Conosco Indique o Leiloeiro FAÇA SEU LOGIN × USUÁRIO SENHA Esqueci minha senha Entrar NOVO CADASTRO Fechar Voltar Busca de Lotes Diversos Categoria Todas Animais Diversos Industrial -- Máquinas Data Leilão Lanc
f512f4bd84fe897808434efe,Vicente Alves Pereira Neto,https://www.agencialeilao.com.br,Judicial - On Line - Comarca de Ituporanga,outro,judicial,SE,Joinville,13067863,,1400.0,2800.0,,,2026-07-13,2026-07-14,,https://www.agencialeilao.com.br/leilao/4246/lotes,https://87a1fd6fb0620b99.cdn.gocache.net/leiloes/000000-69f8b08c92f34.jpg,5004483-39.2020.8.24.0035,"[{""tipo"": ""pdf"", ""url"": ""https://www.agencialeilao.com.br/item/8758/detalhes?page=1"", ""nome"": ""Maquina de cobertura SUN SPECIAL N. 130678637Local de Exposição:Rua Pref. Vergíl""}, {""tipo"": ""pdf"", ""url"": ""https://www.agencialeilao.com.br/site/docs/Curriculo-Vicente-2024.pdf"", ""nome"": ""Currículo do Leiloeiro""}]",Judicial - On Line - Comarca de Ituporanga - Lista de Lotes (ID 4246) :: Agência de Leilão CADASTRE-SE LOGIN Leilões Quem Somos Dúvidas? Fale Conosco Indique o Leiloeiro FAÇA SEU LOGIN × USUÁRIO SENHA Esqueci minha senha Entrar NOVO CADASTRO Fechar Voltar Judicial - On Line - Comarca de Ituporanga E
