id_externo,leiloeiro,leiloeiro_site,titulo,tipo_imovel,tipo_leilao,estado,cidade,cep,endereco_completo,valor_minimo,valor_avaliacao,area_total,quartos,data_primeiro_leilao,data_segundo_leilao,data_encerramento,url_original,imagem_principal,numero_processo,arquivos,descricao
38e8d5b960f06a02ee2c7e25,ALESSANDRO FAHRION PINTO,https://www.regionalleiloes.com.br,Compartilhe no WhatsApp,outro,extrajudicial,RS,PINHEIRO MACHADO SANTA MARIA,,,,,,,2026-03-05,,,https://api.whatsapp.com/send?text=https://www.regionalleiloes.com.br/leilao/leilao-junho-2026-05-03-2026-09-04-37/lote_id/826,https://static.whatsapp.net/rsrc.php/yN/r/BepdIiK3VZ2.svg,,[],Compartilhe no WhatsApp Pular para o conteúdo Página inicial Apps Recursos Ligações Mensagens Grupos Status Canais Meta AI Segurança Privacidade Central de Ajuda Blog Para empresas Baixar Termos de Serviço e Política de Privacidade 2026 © WhatsApp LLC Azərbaycan Afrikaans Bahasa Indonesia Melayu Cat
f0d60cc8dd93e5d23ff81060,ALESSANDRO FAHRION PINTO,https://www.regionalleiloes.com.br,Compartilhe no WhatsApp,outro,extrajudicial,RS,PINHEIRO MACHADO SANTA MARIA,,,,,,,2026-03-05,,,https://api.whatsapp.com/send?text=https://www.regionalleiloes.com.br/leilao/leilao-junho-2026-05-03-2026-09-04-37/lote_id/822,https://static.whatsapp.net/rsrc.php/yM/r/ys-5GPT4pwS.svg,,[],Compartilhe no WhatsApp Recursos Ligações Mensagens Grupos Canais Meta AI Status Segurança Privacidade Blog Apps Central de Ajuda Para Empresas Acessar Baixar Compartilhe no WhatsApp https://www.regionalleiloes.com.br/leilao/leilao-junho-2026-05-03-2026-09-04-37/lote_id/822 Abrir app Continuar para 
06a6ad20d00620cd9ea3ec74,ALESSANDRO FAHRION PINTO,https://www.regionalleiloes.com.br,LOTE 015,outro,extrajudicial,RS,PIRATINI,99992-209,,1496000.0,74800.0,150,,2026-06-25,,,https://www.regionalleiloes.com.br/leilao/leilao-junho-2026-05-03-2026-09-04-37/lote_id/827,https://www.regionalleiloes.com.br/uploads/media/default/0001/01/cd7368b88b054cc9880afba38be15b56f597b18a.png,5000058-63.2018.8.21.0118,"[{""tipo"": ""pdf"", ""url"": ""https://www.regionalleiloes.com.br/uploads/media/documentos_bem/0001/02/f3d32bda8641498f57b1d2a9cf349d7882050a3a.pdf"", ""nome"": ""Visualizar""}, {""tipo"": ""pdf"", ""url"": ""https://www.regionalleiloes.com.br/uploads/media/documentos_bem/0001/02/03ad216e9bf3b980b4d554b218b7ffa57a80ed31.pdf"", ""nome"": ""Visualizar""}, {""tipo"": ""pdf"", ""url"": ""https://www.regionalleiloes.com.br/uploads/media/documentos_bem/0001/02/04c6cae3a4fd2d80a23a5eec58e5e99e20e1cb23.pdf"", ""nome"": ""Visualizar""}, {""tipo"": ""pdf"", ""url"": ""https://www.regionalleiloes.com.br/uploads/media/documentos_bem/0001/02/33259967e4eafa71caf953d7a24cff1439547163.pdf"", ""nome"": ""Visualizar""}, {""tipo"": ""pdf"", ""url"": ""https://www.regionalleiloes.com.br/uploads/media/documentos_bem/0001/02/93c857f2f45d22cb01b281396d254fd00840426a.pdf"", ""nome"": ""Visualizar""}, {""tipo"": ""pdf"", ""url"": ""https://www.regionalleiloes.com.br/uploads/media/documentos_bem/0001/02/aaf79ec3ecb6e29576bb0e82c43614a150ffb95f.pdf"", ""nome"": ""Visualizar""}, {""tipo"": ""pdf"", ""url"": ""https://www.regionalleiloes.com.br/uploads/media/documentos_bem/0001/02/22a6d8da00cacb33c85eb39e04796d779d92c1a3.pdf"", ""nome"": ""Visualizar""}, {""tipo"": ""pdf"", ""url"": ""https://www.regionalleiloes.com.br/uploads/media/documentos_bem/0001/02/8efbe11472635198e82ed228fb2a33dd2b9e3040.pdf"", ""nome"": ""Visualizar""}, {""tipo"": ""pdf"", ""url"": ""https://www.regionalleiloes.com.br/uploads/media/documentos_bem/0001/02/21423d77885bdb4728e3fe12c7765129e01b7e6b.pdf"", ""nome"": ""Visualizar""}]",Próximo Lote Navega para o próximo lote
036976ad7d5fad3d8e9276a8,ALESSANDRO FAHRION PINTO,https://www.regionalleiloes.com.br,Compartilhe no WhatsApp,outro,extrajudicial,RS,PINHEIRO MACHADO SANTA MARIA,,,,,,,2023-12-18,,,https://api.whatsapp.com/send?text=https://www.regionalleiloes.com.br/leilao/teste-18-12-2023-10-10-35/lotes/lista,https://static.whatsapp.net/rsrc.php/yM/r/ys-5GPT4pwS.svg,,[],Compartilhe no WhatsApp Recursos Ligações Mensagens Grupos Canais Meta AI Status Segurança Privacidade Blog Apps Central de Ajuda Para Empresas Acessar Baixar Compartilhe no WhatsApp https://www.regionalleiloes.com.br/leilao/teste-18-12-2023-10-10-35/lotes/lista Abrir app Continuar para o WhatsApp W
e86b0cf91e8e403b6cfd2f50,ALESSANDRO FAHRION PINTO,https://www.regionalleiloes.com.br,LOTE 014,outro,extrajudicial,RS,SANTA MARIA,99992-209,,150000.0,15000.0,34.5000,,2026-06-25,,,https://www.regionalleiloes.com.br/leilao/leilao-junho-2026-05-03-2026-09-04-37/lote_id/826,https://www.regionalleiloes.com.br/uploads/media/default/0001/01/cd7368b88b054cc9880afba38be15b56f597b18a.png,5010688-92.2020.8.21.0027,"[{""tipo"": ""pdf"", ""url"": ""https://www.regionalleiloes.com.br/uploads/media/documentos_bem/0001/02/637441cd20c9f5814815cfe256c3afad7bba0bdf.pdf"", ""nome"": ""Visualizar""}, {""tipo"": ""pdf"", ""url"": ""https://www.regionalleiloes.com.br/uploads/media/documentos_bem/0001/02/0753d0a64e3b7d208fead4027b03adee041a0b52.pdf"", ""nome"": ""Visualizar""}]",Próximo Lote Navega para o próximo lote
60affd77b4a7193bc9b5464f,ALESSANDRO FAHRION PINTO,https://www.regionalleiloes.com.br,IMÓVEIS EM LEILÃO,outro,extrajudicial,SE,PINHEIRO MACHADO SANTA MARIA,99992-209,,3500000.0,170126.59,435.60,,2026-06-17,2026-06-25,,https://www.regionalleiloes.com.br/leilao/lotes/imoveis,https://www.regionalleiloes.com.br/uploads/media/default/0001/01/cd7368b88b054cc9880afba38be15b56f597b18a.png,,[],Detalhes
80131dd56d49e14574c2e4ea,ALESSANDRO FAHRION PINTO,https://www.regionalleiloes.com.br,LEILÃO JUSTIÇA ESTADUAL CAÇAPAVA DO SUL/RS,rural,extrajudicial,RS,ESTADUAL CAÇAPAVA DO SUL,99992-209,,642182.45,,728.07,,2026-08-07,2026-08-21,,https://www.regionalleiloes.com.br/leilao/leilao-justica-estadual-cacapava-do-sul-rs-08-05-2026-09-19-43/lotes/lista,https://www.regionalleiloes.com.br/uploads/media/default/0001/01/cd7368b88b054cc9880afba38be15b56f597b18a.png,,"[{""tipo"": ""edital"", ""url"": ""https://www.regionalleiloes.com.br/uploads/media/documentos_leilao/0001/02/4d03a3703ee2fd817a751e3cdc3748b2fb39f1da.pdf"", ""nome"": ""Edital de Leilão""}, {""tipo"": ""matricula"", ""url"": ""https://www.regionalleiloes.com.br/uploads/media/documentos_leilao/0001/02/53132760abc03ed7a7a5f9457e7610e0edfcc62d.pdf"", ""nome"": ""MATRICULA""}, {""tipo"": ""pdf"", ""url"": ""https://www.regionalleiloes.com.br/uploads/media/documentos_leilao/0001/02/ce385df3dbe0d12547b5ae4eeed85adb76c39dad.pdf"", ""nome"": ""AVALIAÇÃO""}]","Lote 001: Um imóvel rural, com área superficial de 802.728,07m², de campos e matos, situado no lugar denominado Guarda Velha desta cidade de Caçapava do Sul/RS. Mapa, descrição, ca..."
e7631f1616304fd73b3639a4,ALESSANDRO FAHRION PINTO,https://www.regionalleiloes.com.br,O JavaScript não está disponível.,outro,extrajudicial,RS,PINHEIRO MACHADO SANTA MARIA,,,,,,,,,,https://x.com/intent/tweet/?text=Leilão TESTE&url=https://www.regionalleiloes.com.br/leilao/teste-18-12-2023-10-10-35/lotes/lista,https://abs.twimg.com/emoji/v2/svg/26a0.svg,,[],O JavaScript não está disponível. We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using x.com. You can see a list of supported browsers in our Help Center. Central de Ajuda Termos de Serviço Política de Privacidade Pol
1dbf4db588e52a5d7890352e,ALESSANDRO FAHRION PINTO,https://www.regionalleiloes.com.br,Compartilhe no WhatsApp,outro,extrajudicial,RS,PINHEIRO MACHADO SANTA MARIA,,,,,,,2026-03-05,,,https://api.whatsapp.com/send?text=https://www.regionalleiloes.com.br/leilao/leilao-junho-2026-05-03-2026-09-04-37/lote_id/810,https://static.whatsapp.net/rsrc.php/yM/r/ys-5GPT4pwS.svg,,[],Compartilhe no WhatsApp Recursos Ligações Mensagens Grupos Canais Meta AI Status Segurança Privacidade Blog Apps Central de Ajuda Para Empresas Acessar Baixar Compartilhe no WhatsApp https://www.regionalleiloes.com.br/leilao/leilao-junho-2026-05-03-2026-09-04-37/lote_id/810 Abrir app Continuar para 
d9e6386b118c0a06b2e7ba92,ALESSANDRO FAHRION PINTO,https://www.regionalleiloes.com.br,LOTE 003,outro,extrajudicial,RS,MONTENEGRO,99992-209,,170126.59,17012.66,313.27,,2026-06-25,,,https://www.regionalleiloes.com.br/leilao/leilao-junho-2026-05-03-2026-09-04-37/lote_id/810,https://www.regionalleiloes.com.br/uploads/media/default/0001/01/cd7368b88b054cc9880afba38be15b56f597b18a.png,5007729-44.2021.8.21.0018,"[{""tipo"": ""pdf"", ""url"": ""https://www.regionalleiloes.com.br/uploads/media/documentos_bem/0001/02/3321f16a7cb4216b1c008ccf29b652b15584b6ca.pdf"", ""nome"": ""Visualizar""}, {""tipo"": ""pdf"", ""url"": ""https://www.regionalleiloes.com.br/uploads/media/documentos_bem/0001/02/fe0a7576d8b4b9c61ead7daa9f7214a498af046a.pdf"", ""nome"": ""Visualizar""}, {""tipo"": ""pdf"", ""url"": ""https://www.regionalleiloes.com.br/uploads/media/documentos_bem/0001/02/4b594158a68467f2bbf1aac1da6033fba48f773a.pdf"", ""nome"": ""Visualizar""}]",Próximo Lote Navega para o próximo lote
