id,leiloeiro,junta,site,titulo,descricao,endereco,cidade,uf,lance_inicial,avaliacao,data_leilao,url,tipo,imagem
5d797e17b789,Daniel Elias Garcia,JUCEA,https://dgleiloes.com.br,"Lance Inicial:R$5.875.000,00","Lance Inicial: R$5.875.000,00 Birigui/SP",,,,5875000.0,,,https://www.danielgarcialeiloes.com.br/item/74697/detalhes,imovel,
8f29a9e5f825,Daniel Elias Garcia,JUCEA,https://dgleiloes.com.br,"Lance Inicial:R$1.417.887,04","Lance Inicial: R$1.417.887,04 Capivari de Baixo/SC",,,,1417887.04,,,https://www.danielgarcialeiloes.com.br/item/75779/detalhes,imovel,
0667b99c5056,Daniel Elias Garcia,JUCEA,https://dgleiloes.com.br,"Lance Inicial:R$2.384.511,80","Lance Inicial: R$2.384.511,80 Jaguaruna/SC",,,,2384511.8,,,https://www.danielgarcialeiloes.com.br/item/75778/detalhes,imovel,
2fe31ea4c570,Daniel Elias Garcia,JUCEA,https://dgleiloes.com.br,"Lance Inicial:R$5.658.178,41","Lance Inicial: R$5.658.178,41 Capivari de Baixo/SC",,,,5658178.41,,,https://www.danielgarcialeiloes.com.br/item/75782/detalhes,imovel,
a50540e411a4,Daniel Elias Garcia,JUCEA,https://dgleiloes.com.br,"Lance Inicial:R$323.952,43","Lance Inicial: R$323.952,43 Florianópolis/SC",,,,323952.43,,,https://www.danielgarcialeiloes.com.br/item/75773/detalhes,imovel,
dc478a01ad67,Daniel Elias Garcia,JUCEA,https://dgleiloes.com.br,"Lance Inicial:R$1.055.801,21","Lance Inicial: R$1.055.801,21 Florianópolis/SC",,,,1055801.21,,,https://www.danielgarcialeiloes.com.br/item/75775/detalhes,imovel,
4ead852cc47d,Daniel Elias Garcia,JUCEA,https://dgleiloes.com.br,"Lance Inicial:R$3.062.459,66","Lance Inicial: R$3.062.459,66 Imaruí/SC",,,,3062459.66,,,https://www.danielgarcialeiloes.com.br/item/75777/detalhes,imovel,
61a176458121,Daniel Elias Garcia,JUCEA,https://dgleiloes.com.br,"Lance Inicial:R$25.000,00","Lance Inicial: R$25.000,00 Amaral Ferrador/RS",,,,25000.0,,,https://www.danielgarcialeiloes.com.br/item/74636/detalhes,imovel,
40c109995343,Daniel Elias Garcia,JUCEA,https://dgleiloes.com.br,"Lance Inicial:R$200.000,00","Lance Inicial: R$200.000,00 Carazinho/RS*Lote com mais de um item!",,,,200000.0,,,https://www.danielgarcialeiloes.com.br/item/74646/detalhes,imovel,
5bd6aa7b2fcc,Daniel Elias Garcia,JUCEA,https://dgleiloes.com.br,"Maior Lance:R$46.671,19","Maior Lance: R$46.671,19 São Gabriel/RS",,,,46671.19,,,https://www.danielgarcialeiloes.com.br/item/74640/detalhes,imovel,
375193d9af6a,Daniel Elias Garcia,JUCEA,https://dgleiloes.com.br,"Lance Inicial:R$300.000,00","Lance Inicial: R$300.000,00 Vacaria/RS",,,,300000.0,,,https://www.danielgarcialeiloes.com.br/item/74639/detalhes,imovel,
b02c0aa30540,Daniel Elias Garcia,JUCEA,https://dgleiloes.com.br,"Lance Inicial:R$1.395.000,00","Lance Inicial: R$1.395.000,00 Curitiba/PR",,,,1395000.0,,,https://www.danielgarcialeiloes.com.br/item/76547/detalhes,imovel,
b26a8ab43659,Daniel Elias Garcia,JUCEA,https://dgleiloes.com.br,"Lance Inicial:R$5.088.900,00","Lance Inicial: R$5.088.900,00 Londrina/PR",,,,5088900.0,,,https://www.danielgarcialeiloes.com.br/item/76550/detalhes,imovel,
d290c3ab4a5d,Daniel Elias Garcia,JUCEA,https://dgleiloes.com.br,"Lance Inicial:R$640.600,00","Lance Inicial: R$640.600,00 Maringá/PR",,,,640600.0,,,https://www.danielgarcialeiloes.com.br/item/76549/detalhes,imovel,
7d003a35b3ea,Daniel Elias Garcia,JUCEA,https://dgleiloes.com.br,"Lance Inicial:R$1.365.000,00","Lance Inicial: R$1.365.000,00 Curitiba/PR",,,,1365000.0,,,https://www.danielgarcialeiloes.com.br/item/76548/detalhes,imovel,
fb75d5f26233,Daniel Elias Garcia,JUCEA,https://dgleiloes.com.br,"Lance Inicial:R$226.210,00","Lance Inicial: R$226.210,00 Criciúma/SC",,,,226210.0,,,https://www.danielgarcialeiloes.com.br/item/76304/detalhes,imovel,
25f78a0227b7,Daniel Elias Garcia,JUCEA,https://dgleiloes.com.br,"Lance Inicial:R$214.000,00","Lance Inicial: R$214.000,00 Criciúma/SC",,,,214000.0,,,https://www.danielgarcialeiloes.com.br/item/76303/detalhes,imovel,
3bf24ebc4454,Daniel Elias Garcia,JUCEA,https://dgleiloes.com.br,"Lance Inicial:R$1.950.000,00","Lance Inicial: R$1.950.000,00 Porto União/SC",,,,1950000.0,,,https://www.danielgarcialeiloes.com.br/item/76546/detalhes,imovel,
c760e5197eef,Daniel Elias Garcia,JUCEA,https://dgleiloes.com.br,"Lance Inicial:R$400.000,00","Lance Inicial: R$400.000,00 Imbituba/SC",,,,400000.0,,,https://www.danielgarcialeiloes.com.br/item/76514/detalhes,imovel,
