leiloeiro,titulo,preco,data_leilao,url
Patricia Pimentel Grocoski Costa,"CLIQUE AQUI E PARTICIPE 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 Imóveis","227.000,00",25/06/2026,https://www.pimentelleiloes.com.br
Patricia Pimentel Grocoski Costa,"Lotes em Destaque 
 
 
 
 
 
 Lance Inicial:   R$227.000,00 
 Curitiba/PR 
 
 
 
 
 
 
 
 
 Lanc","227.000,00",25/06/2026,https://www.pimentelleiloes.com.br
Patricia Pimentel Grocoski Costa,"BENS IMÓVEIS - POLÍCIA FEDERAL/MS EDITAL 05/2026 
 
 
 
 
 
 Data:  25/06/2026 (quin",Não informado,25/06/2026,https://www.pimentelleiloes.com.br
Patricia Pimentel Grocoski Costa,"SALA COMERCIAL NO EDIFÍCIO CHAMPAGNAT EXECUTIVE CENTER EM CURITIBA/PR 
 
 
 
 
 1º Lei",Não informado,09/06/2026,https://www.pimentelleiloes.com.br
Patricia Pimentel Grocoski Costa,"SALA COMERCIAL NO EDIFÍCIO CHAMPAGNAT EXECUTIVE CENTER EM CURITIBA/PR 
 
 
 
 
 1º Leilã",Não informado,09/06/2026,https://www.pimentelleiloes.com.br
Patricia Pimentel Grocoski Costa,"SALA COMERCIAL NO EDIFÍCIO CHAMPAGNAT EXECUTIVE CENTER EM CURITIBA/PR 
 
 
 
 
 1º Leilão:",Não informado,09/06/2026,https://www.pimentelleiloes.com.br
Vera Lucia Aguiar de Sousa,"Cadastre-se Clique aqui 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 Clique aqui SUSPENSÃO LEILÃO DO LE","950.000,00",09/06/2026,https://www.leiloesaguiar.com.br/
Vera Lucia Aguiar de Sousa,"Lotes em Destaque 
 
 
 
 
 
 Lance Inicial:   R$950.000,00 
 Cuiabá/MT 
 
 
 
 
 
 
 
 
 Lance","950.000,00",09/06/2026,https://www.leiloesaguiar.com.br/
Vera Lucia Aguiar de Sousa,"12 (doze) BOIS, ACIMA DE 36 MESES, COSTA MARQUES/RO 
 
 
 
 
 12 (DOZE) BOIS, SEM RA","5.375,00",09/06/2026,https://www.leiloesaguiar.com.br/
Vera Lucia Aguiar de Sousa,"APARTAMENTO EM CUIABÁ 
 
 
 
 
 Envie sua proposta até:  30/07/2026 às 10:00 
 APARTAM",Não informado,30/07/2026,https://www.leiloesaguiar.com.br/
