leiloeiro,junta,site,titulo,cidade,uf,preco,data_leilao,imagem,anexos,url
Francisco de Assis Costa Aranha,JUCEMA/MA,https://www.leilaovip.com.br,DIREITOS SOBRE CASA - VILA BRASIL - SÃO PAULO /SP - (02),São José de Ribamar,MA,"554.188,04",12/06/2026,https://armazupleilaovipprd.blob.core.windows.net/uploads/df56b462-7fd4-4d34-a77c-43d6807c4725.jpg,,https://www.leilaovip.com.br/evento/detalhes/86548-02
Francisco de Assis Costa Aranha,JUCEMA/MA,https://www.leilaovip.com.br,"INVISTA EM CAÇAPAVA: APTO COM 69,09M², 2 QUARTOS E GARAGEM",São José de Ribamar,MA,"153.251,44",12/06/2026,https://armazupleilaovipprd.blob.core.windows.net/uploads/66444483-485b-4f73-a090-9e6bd288d487.png,,https://www.leilaovip.com.br/evento/detalhes/86625
Francisco de Assis Costa Aranha,JUCEMA/MA,https://www.leilaovip.com.br,DIREITOS SOBRE APARTAMENTO - RIBEIRÃO PRETO/SP,São José de Ribamar,MA,"121.059,85",12/06/2026,https://armazupleilaovipprd.blob.core.windows.net/uploads/017f081c-c6fa-46d2-b4f7-7b4e368841da.png,,https://www.leilaovip.com.br/evento/detalhes/86631
Francisco de Assis Costa Aranha,JUCEMA/MA,https://www.leilaovip.com.br,DIREITOS AQUISITIVOS SOBRE CASA EM SANTA ROSA - NITERÓI/RJ,São José de Ribamar,MA,"800.000,00",15/06/2026,https://armazupleilaovipprd.blob.core.windows.net/uploads/40eef559-6432-4ccc-a8b3-e4a97b40916b.png,,https://www.leilaovip.com.br/evento/detalhes/86648
Francisco de Assis Costa Aranha,JUCEMA/MA,https://www.leilaovip.com.br,DIREITOS SOBRE APARTAMENTO COM SUÍTE E VARANDA NO CENTRO DE NITERÓI/RJ,São José de Ribamar,MA,"450.000,00",16/06/2026,https://armazupleilaovipprd.blob.core.windows.net/uploads/8d2c7de5-2466-453e-bd1e-8417292a99a1.png,,https://www.leilaovip.com.br/evento/detalhes/86655
Francisco de Assis Costa Aranha,JUCEMA/MA,https://www.leilaovip.com.br,DIREITOS POSSESSÓRIOS SOBRE CASA - NITEROÍ/RJ,São José de Ribamar,MA,"1.733.237,36",16/06/2026,https://armazupleilaovipprd.blob.core.windows.net/uploads/d53370f7-7110-4997-8051-2f32fa595c63.jpg,,https://www.leilaovip.com.br/evento/detalhes/86643
Francisco de Assis Costa Aranha,JUCEMA/MA,https://www.leilaovip.com.br,FAZENDA SAPUCAIA – 82 HECTARES EM LOCALIZAÇÃO ESTRATÉGICA NO MARANHÃO,São José de Ribamar,MA,"525.579,20",17/06/2026,https://armazupleilaovipprd.blob.core.windows.net/uploads/8c50fbde-8912-4348-9955-2c517f811453.png,,https://www.leilaovip.com.br/evento/detalhes/86450
Francisco de Assis Costa Aranha,JUCEMA/MA,https://www.leilaovip.com.br,"Casa com 62,23m² - Loteamento Vista Alegre",São José de Ribamar,MA,"303.044,09",11/06/2026,https://armazupleilaovipprd.blob.core.windows.net/uploads/434b2fb8-26e2-465c-af84-91dfd5f76c35.png,,https://www.leilaovip.com.br/evento/anuncio/casa-com-6223m-loteamento-vista-alegre-18836
Gustavo Martins Rocha,JUCEMA/MA,https://www.grleiloes.com,"Um terreno, localizado na BR 316 a margem esquerda Km 258, Santa Inês/MA com área total de 4.878,86",Santa Inês,MA,"975.772,00",15/07/2026,https://www.grleiloes.com/site/images/logo-header.png?modified=1781035565,https://www.grleiloes.com/item/6034/detalhes?page=1,https://www.grleiloes.com/item/6034/detalhes?page=1
Marco Antonio Barbosa de Oliveira Junior,JUCEMA/MA,https://www.marcoantonioleiloeiro.com.br,apartamento ed raquel areal ultil de 111 89m floresta belo horizonte mg,São Luís,MA,"425.000,00",10/06/2026,https://static.suporteleiloes.com.br/marcoantonioleiloeirocombr/bens/9035/arquivos/sl-bem-9035-6a14609595b26-6a1460959dc49.png,https://static.suporteleiloes.com.br/marcoantonioleiloeirocombr/bens/9035/arquivos/sl-bem-9035-6a04d6ae0adb4-6a04d6ae0daf1.pdf; https://static.suporteleiloes.com.br/marcoantonioleiloeirocombr/bens/9035/arquivos/sl-bem-9035-6a05da0dd08ea-6a05da0dd10e2.pdf,https://www.marcoantonioleiloeiro.com.br/eventos/leilao/grande-leilao-trf6-imoveis-veiculos-diversos-08-07-2026/lote/10246/apartamento-ed-raquel-areal-ultil-de-111-89m-floresta-belo-horizonte-mg
Marco Antonio Barbosa de Oliveira Junior,JUCEMA/MA,https://www.marcoantonioleiloeiro.com.br,CIPÓ VERANEIO HOTEL - 10.000M² - 36 APARTAMENTOS - LAZER COMPLETO - PISCINA NATURAL - ACESSO EXCLUSIVO AO RIO CIPÓ | SERRA DO CIPÓ/MG,São Luís,MA,"5.000.000,00",10/06/2026,https://static.suporteleiloes.com.br/marcoantonioleiloeirocombr/bens/7986/arquivos/6862d9f314fbf-6862d9f341086.jpg,,https://www.marcoantonioleiloeiro.com.br/eventos/leilao/cipo-veraneio-hotel-10-000m-36-apartamentos-lazer-completo-piscina-natural-acesso-exclusivo-ao-rio-cipo-serra-do-cipo-mg/lote/8939/cipo-veraneio-hotel-10-000m-36-apartamentos-lazer-completo-piscina-natural-acesso-exclusivo-ao-rio-cipo-serra-do-cipo-mg
Marco Antonio Barbosa de Oliveira Junior,JUCEMA/MA,https://www.marcoantonioleiloeiro.com.br,POUSADA DE ALTO PADRÃO | CASA SEDE + 10 SUÍTES ESTILO CHALÉ | LAZER COMPLETO + HARAS | 4.7 HECTARES | REGIÃO DE SÃO JOÃO DEL-REI E TIRADENTES | PRADOS/MG,São Luís,MA,"4.900.000,00",10/06/2026,https://static.suporteleiloes.com.br/marcoantonioleiloeirocombr/bens/8661/arquivos/69a5e1e5f0974-69a5e1e601286.jpg,,https://www.marcoantonioleiloeiro.com.br/eventos/leilao/pousada-de-alto-padrao-casa-sede-10-suites-estilo-chale-lazer-completo-haras-4-7-hectares-regiao-de-sao-joao-del-rei-e-tiradentes-prados-mg/lote/9812/propriedade-rural-de-alto-padrao-no-coracao-da-estrada-real-i-entre-tiradentes-bichinho-e-sao-joao-del-rei-mg
