leiloeiro,junta,site,titulo,cidade,uf,preco,data_leilao,imagem,anexos,url
Rafael Galvani Ferreira,JUCEPA/PA,https://www.galvanileiloes.com.br,JUSTIÇA ESTADUAL DE MACAPÁ/AP - 4ª VARA CÍVEL E DE FAZENDA PÚBLICA,Maringá,PR,"8.000,00",12/06/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/banner_leilao/34593_17700338211.jpg,,https://www.galvanileiloes.com.br/leilao/index/leilao_id/94863/lote/201440
Rafael Galvani Ferreira,JUCEPA/PA,https://www.galvanileiloes.com.br,"JUSTIÇA ESTADUAL DE ARAGUATINS/TO - VARA CÍVEL, DOS FEITOS DA FAZENDA E REGISTROS PÚBLICOS",Maringá,PR,"37.000,00",22/06/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/banner_leilao/37430_17762564061.jpg,,https://www.galvanileiloes.com.br/leilao/index/leilao_id/95262/lote/202292
Rafael Galvani Ferreira,JUCEPA/PA,https://www.galvanileiloes.com.br,Terreno com 5.000m² – Boa Vista/RR,Boa Vista,RR,"2.000,00",17/06/2026,https://www.facebook.com/tr?ev=6019373839159&cd[value]=0.00&cd[currency]=BRL&noscript=1,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3848061778761458.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3848101778761468.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3848131778761473.pdf,https://www.galvanileiloes.com.br/leilao/index/leilao_id/95156/lote/202069
Rafael Galvani Ferreira,JUCEPA/PA,https://www.galvanileiloes.com.br,Terreno com 5.000m² – Boa Vista/RR,Boa Vista,RR,"2.000,00",17/06/2026,https://www.facebook.com/tr?ev=6019373839159&cd[value]=0.00&cd[currency]=BRL&noscript=1,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3848391778762286.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3848401778762288.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3848411778762291.pdf,https://www.galvanileiloes.com.br/leilao/index/leilao_id/95156/lote/202068
Rafael Galvani Ferreira,JUCEPA/PA,https://www.galvanileiloes.com.br,"Imóvel Comercial - Terreno c/ 445,50m² - Gurupi/TO",Gurupi,TO,"2.000,00",18/06/2026,https://www.facebook.com/tr?ev=6019373839159&cd[value]=0.00&cd[currency]=BRL&noscript=1,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776110345.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776110368.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776110356.pdf,https://www.galvanileiloes.com.br/leilao/index/leilao_id/95157/lote/202070
Daniel Elias Garcia,JUCEPA/PA,https://www.danielgarcialeiloes.com.br,Sala Comercial,Florianópolis,SC,"588.000,00",06/07/2026,https://www.facebook.com/tr?id=1276372359398047&ev=PageView&noscript=1,https://danielgarcialeiloes.com.br/item/76684/detalhes?page=1,https://danielgarcialeiloes.com.br/item/76684/detalhes?page=1
Daniel Elias Garcia,JUCEPA/PA,https://www.danielgarcialeiloes.com.br,Sala Comercial,Florianópolis,SC,"451.500,00",06/07/2026,https://www.facebook.com/tr?id=1276372359398047&ev=PageView&noscript=1,https://danielgarcialeiloes.com.br/item/76685/detalhes?page=1,https://danielgarcialeiloes.com.br/item/76685/detalhes?page=1
Daniel Elias Garcia,JUCEPA/PA,https://www.danielgarcialeiloes.com.br,Sala Comercial,Chapecó,SC,"413.000,00",06/07/2026,https://www.facebook.com/tr?id=1276372359398047&ev=PageView&noscript=1,https://danielgarcialeiloes.com.br/item/76686/detalhes?page=1,https://danielgarcialeiloes.com.br/item/76686/detalhes?page=1
Daniel Elias Garcia,JUCEPA/PA,https://www.danielgarcialeiloes.com.br,Sala Comercial,Joinville,SC,"199.500,00",06/07/2026,https://www.facebook.com/tr?id=1276372359398047&ev=PageView&noscript=1,https://danielgarcialeiloes.com.br/item/76687/detalhes?page=1,https://danielgarcialeiloes.com.br/item/76687/detalhes?page=1
Daniel Elias Garcia,JUCEPA/PA,https://www.danielgarcialeiloes.com.br,Sala Comercial e Vaga de Garagem,Joinville,SC,"199.500,00",06/07/2026,https://www.facebook.com/tr?id=1276372359398047&ev=PageView&noscript=1,https://danielgarcialeiloes.com.br/item/76688/detalhes?page=1,https://danielgarcialeiloes.com.br/item/76688/detalhes?page=1
