leiloeiro,junta,site,titulo,cidade,uf,preco,data_leilao,imagem,anexos,url
Cleber da Silva Melo,JUCEP/PB,http://www.leiloespb.com.br,Terreno/Lote,Bayeux,PB,"200.000,00",30/06/2026,https://static.suporteleiloes.com.br/sistemaleiloespbcombr/comitentes/sl-c-38-629605bd19ae2-629605bd19d96.jpg,https://static.suporteleiloes.com.br/leiloespbcombr/bens/40436/arquivos/sl-bem-40436-6a1edde14a085-6a1edde14b2c9.pdf; https://static.suporteleiloes.com.br/leiloespbcombr/bens/40436/arquivos/sl-bem-40436-6a1edde23b5a1-6a1edde23c580.pdf,http://www.leiloespb.com.br/eventos/leilao/leilao-trt-13%C2%AA-imoveis-veiculos-e-materiais-diversos/lote/38395/0l-um-lote-de-terreno-sob-n%C2%BA05-da-quadra-l-do-loteamento-dinamerica-ii-rua-freira-francisca-gusmao-n%C2%BA377-bodocongo-cg
Cleber da Silva Melo,JUCEP/PB,http://www.leiloespb.com.br,Terreno/Lote,Bayeux,PB,"4.750.000,00",30/06/2026,https://static.suporteleiloes.com.br/sistemaleiloespbcombr/comitentes/sl-c-38-629605bd19ae2-629605bd19d96.jpg,https://static.suporteleiloes.com.br/leiloespbcombr/bens/21380/arquivos/sl-bem-21380-6622ca903f7f1-6622ca903fce1.pdf; https://static.suporteleiloes.com.br/leiloespbcombr/bens/21380/arquivos/sl-bem-21380-6622ca9b00c86-6622ca9b109e9.pdf; https://static.suporteleiloes.com.br/leiloespbcombr/bens/21380/arquivos/sl-bem-21380-6622ca9cd8452-6622ca9cd8d2b.pdf; https://static.suporteleiloes.com.br/leiloespbcombr/bens/21380/arquivos/sl-bem-21380-6622ca9e19965-6622ca9e1a1a4.pdf,http://www.leiloespb.com.br/eventos/leilao/leilao-trt-13%C2%AA-imoveis-veiculos-e-materiais-diversos/lote/38396/predio-situado-na-avenida-cruz-das-armas-joao-pessoa-pb-onde-funcionava-o-hospital-infantil-dr-joao-soares
Cleber da Silva Melo,JUCEP/PB,http://www.leiloespb.com.br,Apartamento/Casa,Bayeux,PB,"60.000,00",30/06/2026,https://static.suporteleiloes.com.br/sistemaleiloespbcombr/comitentes/sl-c-38-629605bd19ae2-629605bd19d96.jpg,https://static.suporteleiloes.com.br/leiloespbcombr/bens/28233/arquivos/sl-bem-28233-682f72b88102d-682f72b884962.pdf; https://static.suporteleiloes.com.br/leiloespbcombr/bens/28233/arquivos/sl-bem-28233-682f72b9baaa4-682f72b9bbd48.pdf,http://www.leiloespb.com.br/eventos/leilao/leilao-trt-13%C2%AA-imoveis-veiculos-e-materiais-diversos/lote/38397/imovel-apartamento-n210-1%C2%BA-andar-do-bloco-04-do-condominio-residencial-nice-oliveira-iii-n%C2%BA361-da-rua-profetica-masileu-urbano-dos-santos-bairro-paratibe-jp-pb
Cleber da Silva Melo,JUCEP/PB,http://www.leiloespb.com.br,Terreno/Lote,Cajazeiras,PB,"250.000,00",24/07/2026,https://static.suporteleiloes.com.br/leiloespbcombr/comitentes/sl-c-8-665f380377c63-665f380377e1e.png,https://static.suporteleiloes.com.br/leiloespbcombr/bens/40603/arquivos/sl-bem-40603-6a27f7055b66e-6a27f7055ca1c.pdf; https://static.suporteleiloes.com.br/leiloespbcombr/bens/40603/arquivos/sl-bem-40603-6a27f9ff9a96a-6a27f9ff9ac45.pdf,http://www.leiloespb.com.br/eventos/leilao/leilao-justica-federal-08%C2%AA-vara-subsecao-judiciaria-de-sousa-pb/lote/38653/uma-area-de-terra-encravada-na-propriedade-rural-denominada-sitio-capoeiras-medindo-5-tarefas-localizado-as-margens-da-rodovia-pb-400-na-cidade-de-cajazeiras-pb-na-cidade-de-cajazeiras-pb
Miguel Alexandrino Monteiro Neto,JUCEP/PB,https://www.leiloesmonteiro.com.br,terreno sob o n 7 da quadra 8 do loteamento nossa senhora de fatima,Cabedelo,PB,"20.250,00",30/06/2026,https://static.suporteleiloes.com.br/leiloesmonteirocombr/bens/4581/arquivos/sl-bem-4581-6a0648ef7cbc6-6a0648ef80c19.png,https://static.suporteleiloes.com.br/leiloesmonteirocombr/bens/4581/arquivos/sl-bem-4581-6a062ea1a84fe-6a062ea1a8da1.pdf; https://static.suporteleiloes.com.br/leiloesmonteirocombr/bens/4581/arquivos/sl-bem-4581-6a062ea3389fe-6a062ea33b193.pdf,https://www.leiloesmonteiro.com.br/eventos/leilao/alienacao-por-iniciativa-particular-da-10%C2%AA-vara-federal-pb/lote/4581/terreno-sob-o-n-7-da-quadra-8-do-loteamento-nossa-senhora-de-fatima
Miguel Alexandrino Monteiro Neto,JUCEP/PB,https://www.leiloesmonteiro.com.br,Apartamentos,Cabedelo,PB,"65.000,00",26/06/2026,https://static.suporteleiloes.com.br/leiloesmonteirocombr/bens/4584/arquivos/sl-bem-4584-6a0638573756c-6a0638573ace2.jpg,https://www.leiloesmonteiro.com.br/eventos/leilao/leilao-do-4%C2%BA-juizado-especial-civel-da-capital-e-de-cabedelo-pb/lote/4584/01-um-imovel-matricula-n%C2%BA-179454-apartamento-n%C2%BA-401-3%C2%BA-andar-do-predio-residencial-maison-valentina-iv,https://www.leiloesmonteiro.com.br/eventos/leilao/leilao-do-4%C2%BA-juizado-especial-civel-da-capital-e-de-cabedelo-pb/lote/4584/01-um-imovel-matricula-n%C2%BA-179454-apartamento-n%C2%BA-401-3%C2%BA-andar-do-predio-residencial-maison-valentina-iv
Miguel Alexandrino Monteiro Neto,JUCEP/PB,https://www.leiloesmonteiro.com.br,Apartamentos,Cabedelo,PB,"60.000,00",26/06/2026,https://static.suporteleiloes.com.br/leiloesmonteirocombr/bens/4616/arquivos/sl-bem-4616-6a157fcf676dd-6a157fcf6a9bb.jpg,https://www.leiloesmonteiro.com.br/eventos/leilao/leilao-do-4%C2%BA-juizado-especial-civel-da-capital-e-de-cabedelo-pb/lote/4616/01-um-imovel-matricula-n%C2%BA-143710-apartamento-n%C2%BA-405-do-bloco-a13,https://www.leiloesmonteiro.com.br/eventos/leilao/leilao-do-4%C2%BA-juizado-especial-civel-da-capital-e-de-cabedelo-pb/lote/4616/01-um-imovel-matricula-n%C2%BA-143710-apartamento-n%C2%BA-405-do-bloco-a13
Edeylson Peixoto Fidelis,JUCEP/PB,https://www.fidelisleiloes.com.br,"Apto nº 403 - 55,99m² - c/ Vaga de garagem - Natal/RN",Natal,RN,"2.000,00",10/06/2026,https://www.fidelisleiloes.com.br/fidelisleiloes/images/Fidelis.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856311778861348.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856471778861712.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856451778861555.pdf,https://www.fidelisleiloes.com.br/leilao/index/leilao_id/94241/lote/199824
Edeylson Peixoto Fidelis,JUCEP/PB,https://www.fidelisleiloes.com.br,"Apto nº 602 - 55,99m² - c/ Vaga de garagem - Natal/RN",Natal,RN,"2.000,00",10/06/2026,https://www.fidelisleiloes.com.br/fidelisleiloes/images/Fidelis.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856321778861358.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856481778861716.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856621778863009.pdf,https://www.fidelisleiloes.com.br/leilao/index/leilao_id/94241/lote/199827
Edeylson Peixoto Fidelis,JUCEP/PB,https://www.fidelisleiloes.com.br,"Apto nº 604 - 55,37m² - c/ Vaga de garagem - Natal/RN",Natal,RN,"2.000,00",10/06/2026,https://www.fidelisleiloes.com.br/fidelisleiloes/images/Fidelis.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856351778861366.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856491778861723.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856631778863074.pdf,https://www.fidelisleiloes.com.br/leilao/index/leilao_id/94241/lote/199828
