leiloeiro,junta,site,titulo,cidade,uf,preco,data_leilao,imagem,anexos,url
Cassiano Ricardo Dall'Ago e Silva,JUCEPE/PE,https://www.cassianoleiloes.com.br,"Casa residencial, edificada em terreno próprio, com área de 128m², situado na Rua do Arame, Chã da Jaqueira, Bebedouro, Maceió/AL",Maceió,AL,"75.000,00",30/10/2026,https://www.cassianoleiloes.com.br/site/images/logo-header.png?modified=1781035595,https://d3lam62hkhwu6k.cloudfront.net/bens/0000000438/folder-69b1b1b8bc06c.PDF,https://www.cassianoleiloes.com.br/item/150/detalhes?page=1
Cassiano Ricardo Dall'Ago e Silva,JUCEPE/PE,https://www.cassianoleiloes.com.br,"Prédio sobrado, situado na Rua Dom Antônio Brandão, nº 21, Mata Grande/AL",Mata Grande,AL,"650.000,00",07/08/2026,https://www.cassianoleiloes.com.br/site/images/logo-header.png?modified=1781035522,https://d3lam62hkhwu6k.cloudfront.net/bens/0000000441/folder-69b1b1e21caa2.pdf,https://www.cassianoleiloes.com.br/item/153/detalhes?page=1
Cassiano Ricardo Dall'Ago e Silva,JUCEPE/PE,https://www.cassianoleiloes.com.br,"Imóvel, situado na Rua Eustáquio Malta, nº 33, Mata Grande/AL",Mata Grande,AL,"350.000,00",07/08/2026,https://www.cassianoleiloes.com.br/site/images/logo-header.png?modified=1781035595,https://d3lam62hkhwu6k.cloudfront.net/bens/0000000442/folder-69b1b1fc8f525.pdf,https://www.cassianoleiloes.com.br/item/154/detalhes?page=1
Cassiano Ricardo Dall'Ago e Silva,JUCEPE/PE,https://www.cassianoleiloes.com.br,"Sala, nº 312, com uma área útil de 55,61m², do Edifício Avenue Center, situado na Av. da Paz, nº 1388, Centro, Maceió – AL",Maceió,AL,"270.000,00",13/06/2026,https://www.cassianoleiloes.com.br/site/images/logo-header.png?modified=1781035551,https://d3lam62hkhwu6k.cloudfront.net/bens/0000001390/folder-6a046ae4114b8.PDF,https://www.cassianoleiloes.com.br/item/419/detalhes?page=1
Cassiano Ricardo Dall'Ago e Silva,JUCEPE/PE,https://www.cassianoleiloes.com.br,"Terreno, com uma área de 2.720,00m², com edificação de um prédio com dois pavimentos, situado na Av. Coronel Farias, s/n, Capiatã, Arapiraca/AL",Arapiraca,AL,"4.500.000,00",10/06/2026,https://www.cassianoleiloes.com.br/site/images/logo-header.png?modified=1781035522,https://d3lam62hkhwu6k.cloudfront.net/bens/0000001422/folder-6a0602ffcd6da.pdf,https://www.cassianoleiloes.com.br/item/429/detalhes?page=1
Cassiano Ricardo Dall'Ago e Silva,JUCEPE/PE,https://www.cassianoleiloes.com.br,"Imóvel denominado Sítio Escuta, com área de 1,20 hectares e suas benfeitorias, situado no município de Major Izidoro/AL",Major Izidoro,AL,"278.656,00",17/06/2026,https://www.cassianoleiloes.com.br/site/images/logo-header.png?modified=1781035595,https://d3lam62hkhwu6k.cloudfront.net/bens/0000001487/folder-6a108b655a612.pdf,https://www.cassianoleiloes.com.br/item/473/detalhes?page=1
Cassiano Ricardo Dall'Ago e Silva,JUCEPE/PE,https://www.cassianoleiloes.com.br,"Imóvel industrial, com área total de 19.234,44m², Guaribas, Distrito Industrial de Arapiraca/AL",Arapiraca,AL,"3.427.253,00",24/06/2026,https://www.cassianoleiloes.com.br/site/images/logo-header.png?modified=1781035565,https://d3lam62hkhwu6k.cloudfront.net/bens/0000001552/folder-6a1d5836a01d5.pdf,https://www.cassianoleiloes.com.br/item/552/detalhes?page=1
Cassiano Ricardo Dall'Ago e Silva,JUCEPE/PE,https://www.cassianoleiloes.com.br,"Imóvel rural, denominado Fazenda Baraúna, com área de 3005,00 hectares, município de Barra/BA",Barra,BA,"1.524.526,65",23/08/2026,https://www.cassianoleiloes.com.br/site/images/logo-header.png?modified=1781035609,https://d3lam62hkhwu6k.cloudfront.net/bens/0000000365/folder-69b1c86a56552.pdf,https://www.cassianoleiloes.com.br/item/125/detalhes?page=1
Cassiano Ricardo Dall'Ago e Silva,JUCEPE/PE,https://www.cassianoleiloes.com.br,"Terreno e benfeitoria, situado na Rua Artur Neiva, nº 73, Queimadinha, Feira de Santana/BA",Santana,BA,"275.000,00",16/08/2026,https://www.cassianoleiloes.com.br/site/images/logo-header.png?modified=1781035624,https://d3lam62hkhwu6k.cloudfront.net/bens/0000000366/folder-69b1c8720770a.PDF,https://www.cassianoleiloes.com.br/item/126/detalhes?page=1
Cassiano Ricardo Dall'Ago e Silva,JUCEPE/PE,https://www.cassianoleiloes.com.br,"Imóvel denominado Fazenda Irapuá, com área total de 1.876,00 hectares, no lugar Tabocal, zona rural de Santa Rita de Cássia/BA",Cássia,BA,"5.738.134,46",26/08/2026,https://www.cassianoleiloes.com.br/site/images/logo-header.png?modified=1781035508,https://d3lam62hkhwu6k.cloudfront.net/bens/0000000367/folder-69b1c87ccfb9a.PDF,https://www.cassianoleiloes.com.br/item/127/detalhes?page=1
