leiloeiro,junta,site,titulo,cidade,uf,preco,data_leilao,imagem,anexos,url
Ítalo Trindade Moura,JUCEPI/PI,https://www.italoleiloes.com,TRIBUNAL DE JUSTIÇA DO PIAUÍ- 4ºVARA DOS FEITOS DA FAZENDA PÚBLICA DA COMARCA DE TERESINA,Teresina,PI,"80.000,00",29/06/2026,https://b89ea026e9499496.cdn.gocache.net/leiloes/000000-6a197f5c340ea.jpg,,https://www.italoleiloes.com/leilao/3240/lotes
Ítalo Trindade Moura,JUCEPI/PI,https://www.italoleiloes.com,TRIBUNAL DE JUSTIÇA DO PIAUÍ- 4ºVARA DOS FEITOS DA FAZENDA PÚBLICA DA COMARCA DE TERESINA,Teresina,PI,"80.000,00",01/07/2026,https://b89ea026e9499496.cdn.gocache.net/leiloes/000000-6a1da9df35c43.jpg,,https://www.italoleiloes.com/leilao/3242/lotes
Ítalo Trindade Moura,JUCEPI/PI,https://www.italoleiloes.com,TERRENO EM PATOS DO PIAUÍ,Piauí,PI,"10.000,00",12/06/2026,https://www.italoleiloes.com/site/images/logo-header.png?modified=1781035551,https://b89ea026e9499496.cdn.gocache.net/leiloes/0000003222/arquivos/edital-de-leilao-6a0cceff80726.pdf; https://b89ea026e9499496.cdn.gocache.net/leiloes/0000003222/arquivos/auto-de-penhora-6a0ccf09d13bb.pdf; https://b89ea026e9499496.cdn.gocache.net/leiloes/0000003222/arquivos/certidao-inteiro-teor-6a0ccf181749d.pdf; https://b89ea026e9499496.cdn.gocache.net/leiloes/0000003222/arquivos/arquivo-fotos-6a0ccf269022e.pdf,https://www.italoleiloes.com/item/7465/detalhes?page=1
José David Gonçalves de Melo,JUCEPI/PI,https://www.jdleiloes.com.br,Terreno - Bairro Indianópolis - Caruaru/PE,Caruaru,PE,"2.000,00",13/07/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/jdleiloes/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1777054732.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1777054797.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1777054818.pdf,https://www.jdleiloes.com.br/leilao/index/leilao_id/37755/lote/134154
José David Gonçalves de Melo,JUCEPI/PI,https://www.jdleiloes.com.br,Sala 508 c/ 41m² - Recife/PE,Recife,PE,"1.000,00",13/07/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/jdleiloes/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776880296.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776880314.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776880336.pdf,https://www.jdleiloes.com.br/leilao/index/leilao_id/37755/lote/134167
José David Gonçalves de Melo,JUCEPI/PI,https://www.jdleiloes.com.br,"Chácara c/ 77.202,93 m² - Galpão - Casa - Indaiatuba/SP",Indaiatuba,SP,"30.000,00",13/07/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/jdleiloes/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776883066.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776883139.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776883160.pdf,https://www.jdleiloes.com.br/leilao/index/leilao_id/37755/lote/134184
José David Gonçalves de Melo,JUCEPI/PI,https://www.jdleiloes.com.br,"Apartamento 302 c/ 155,71m² - Recife/PE",Recife,PE,"2.000,00",13/07/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/jdleiloes/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776887785.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776887801.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776887819.pdf,https://www.jdleiloes.com.br/leilao/index/leilao_id/37755/lote/134233
José David Gonçalves de Melo,JUCEPI/PI,https://www.jdleiloes.com.br,Apartamento 1002 - Bairro Torre - Recife/PE,Recife,PE,"2.000,00",13/07/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/jdleiloes/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776951951.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776951992.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776951966.pdf,https://www.jdleiloes.com.br/leilao/index/leilao_id/37755/lote/134234
José David Gonçalves de Melo,JUCEPI/PI,https://www.jdleiloes.com.br,"Casa - 2 Pavs - 161,14m² - Paulista/PE",Paulista,PE,"2.000,00",13/07/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/jdleiloes/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776942521.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776942482.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776942502.pdf,https://www.jdleiloes.com.br/leilao/index/leilao_id/37755/lote/134242
José David Gonçalves de Melo,JUCEPI/PI,https://www.jdleiloes.com.br,"Casa - Terreno c/ 330,00m² - Olinda/PE",Olinda,PE,"2.000,00",13/07/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/jdleiloes/layout/logo-header.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776943280.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776943307.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1776943327.pdf,https://www.jdleiloes.com.br/leilao/index/leilao_id/37755/lote/134243
