leiloeiro,junta,site,titulo,cidade,uf,preco,data_leilao,imagem,anexos,url
Edeylson Peixoto Fidelis,JUCERN/RN,https://www.fidelisleiloes.com.br,"JUSTIÇA ESTADUAL DE BARAÚNA/RN - JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA",Natal,RN,"3.800,00",15/06/2026,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/banner_leilao/36480_17743813791.jpg,,https://www.fidelisleiloes.com.br/leilao/index/leilao_id/95024/lote/201740
Edeylson Peixoto Fidelis,JUCERN/RN,https://www.fidelisleiloes.com.br,"Apto nº 403 - 55,99m² - c/ Vaga de garagem - Natal/RN",Natal,RN,"2.000,00",10/06/2026,https://www.fidelisleiloes.com.br/fidelisleiloes/images/Fidelis.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856311778861348.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856471778861712.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856451778861555.pdf,https://www.fidelisleiloes.com.br/leilao/index/leilao_id/94241/lote/199824
Edeylson Peixoto Fidelis,JUCERN/RN,https://www.fidelisleiloes.com.br,"Apto nº 602 - 55,99m² - c/ Vaga de garagem - Natal/RN",Natal,RN,"2.000,00",10/06/2026,https://www.fidelisleiloes.com.br/fidelisleiloes/images/Fidelis.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856321778861358.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856481778861716.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856621778863009.pdf,https://www.fidelisleiloes.com.br/leilao/index/leilao_id/94241/lote/199827
Edeylson Peixoto Fidelis,JUCERN/RN,https://www.fidelisleiloes.com.br,"Apto nº 604 - 55,37m² - c/ Vaga de garagem - Natal/RN",Natal,RN,"2.000,00",10/06/2026,https://www.fidelisleiloes.com.br/fidelisleiloes/images/Fidelis.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856351778861366.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856491778861723.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856631778863074.pdf,https://www.fidelisleiloes.com.br/leilao/index/leilao_id/94241/lote/199828
Edeylson Peixoto Fidelis,JUCERN/RN,https://www.fidelisleiloes.com.br,"Apto nº 902 - 55,99m² - c/ Vaga de garagem - Natal/RN",Natal,RN,"2.000,00",10/06/2026,https://www.fidelisleiloes.com.br/fidelisleiloes/images/Fidelis.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856361778861377.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856501778861728.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856641778863117.pdf,https://www.fidelisleiloes.com.br/leilao/index/leilao_id/94241/lote/199834
Edeylson Peixoto Fidelis,JUCERN/RN,https://www.fidelisleiloes.com.br,"Apto nº 1002 - 55,99m² - c/ Vaga de garagem - Natal/RN",Natal,RN,"2.000,00",10/06/2026,https://www.fidelisleiloes.com.br/fidelisleiloes/images/Fidelis.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856371778861388.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856511778861732.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3856651778863144.pdf,https://www.fidelisleiloes.com.br/leilao/index/leilao_id/94241/lote/199835
Edeylson Peixoto Fidelis,JUCERN/RN,https://www.fidelisleiloes.com.br,"Sítio c/ 03 partes de terras c/ 96,9 ha - Afonso Bezerra/RN",Afonso Bezerra,RN,"500,00",12/06/2026,https://www.fidelisleiloes.com.br/fidelisleiloes/images/Fidelis.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3863421779106291.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1777470864.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1777470853.pdf,https://www.fidelisleiloes.com.br/leilao/index/leilao_id/38135/lote/134994
Edeylson Peixoto Fidelis,JUCERN/RN,https://www.fidelisleiloes.com.br,Casa - Terreno c/ 125m² - Sítio Novo/RN,Sítio Novo,RN,"500,00",12/06/2026,https://www.fidelisleiloes.com.br/fidelisleiloes/images/Fidelis.png,https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/core/aviso_cookies.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/3863421779106291.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1777467180.pdf; https://s3-sa-east-1.amazonaws.com/906de634c48fb7d34136160b4c353ae4/public/anexo/1777467170.pdf,https://www.fidelisleiloes.com.br/leilao/index/leilao_id/38135/lote/135004
Stella Araujo Zanatta,JUCERN/RN,https://www.leiloesrn.com.br,"Sala 302, Comercial, Edifício Centro das Profissões Liberais, Av. Afonso Pena, 3900, Bairro Cruzeiro, Belo Horizonte/MG",Belo Horizonte,MG,,11/06/2026,https://dnfdtiz0a1wxs.cloudfront.net/leiloes/001455-68ada30acf8ff.jpg,,https://www.leiloesrn.com.br/leilao/1455/lotes
Stella Araujo Zanatta,JUCERN/RN,https://www.leiloesrn.com.br,"Prédio comercial com três pavimentos, Avenida Joaquim Nabuco, no 161, Pesqueira/PE",Pesqueira,PE,,11/06/2026,https://dnfdtiz0a1wxs.cloudfront.net/comitentes/000000-procuradoria-da-fazenda-nacional-65dfb9d815b8c.png,,https://www.leiloesrn.com.br/leilao/1772/lotes
