leiloeiro,junta,site,titulo,cidade,uf,preco,data_leilao,imagem,anexos,url
Jose Ivan de Souza Rabelo,JUCESE/SE,https://www.realizaleiloes.com.br,Prédio térreo e respectivo terreno,Aracaju,SE,"660.000,00",19/06/2026,https://www.realizaleiloes.com.br/site/images/logo-header.png?modified=1781035537,https://www.realizaleiloes.com.br/item/7209/detalhes?page=1,https://www.realizaleiloes.com.br/item/7209/detalhes?page=1
Jose Ivan de Souza Rabelo,JUCESE/SE,https://www.realizaleiloes.com.br,UMA ÁREA DE TERRA,Itabaiana,SE,"600.000,00",19/06/2026,https://www.realizaleiloes.com.br/site/images/logo-header.png?modified=1781035565,https://www.realizaleiloes.com.br/item/7211/detalhes?page=1,https://www.realizaleiloes.com.br/item/7211/detalhes?page=1
Jose Ivan de Souza Rabelo,JUCESE/SE,https://www.realizaleiloes.com.br,Prédio térreo e respectivo terreno,Aracaju,SE,"660.000,00",19/06/2026,https://www.realizaleiloes.com.br/site/images/logo-header.png?modified=1781035508,https://www.realizaleiloes.com.br/item/7230/detalhes?page=1,https://www.realizaleiloes.com.br/item/7230/detalhes?page=1
Jose Ivan de Souza Rabelo,JUCESE/SE,https://www.realizaleiloes.com.br,UMA ÁREA DE TERRA,Itabaiana,SE,"600.000,00",19/06/2026,https://www.realizaleiloes.com.br/site/images/logo-header.png?modified=1781035565,https://www.realizaleiloes.com.br/item/7232/detalhes?page=1,https://www.realizaleiloes.com.br/item/7232/detalhes?page=1
Carlos Vinicius de Carvalho Mascarenhas,JUCESE/SE,https://www.rjleiloes.com.br,"APARTAMENTO COM 3 QUARTOS NA AV. DOM JOÃO VI, BROTAS, SALVADOR/BA",Salvador,BA,"337.200,00",10/06/2026,https://www.facebook.com/tr?id=337602640050210&ev=PageView&noscript=1,https://7d1a502999570f38.cdn.gocache.net/bens/0000062761/matricula-67b783fb165dd.pdf,https://www.rjleiloes.com.br/item/71165/detalhes?page=1
Carlos Vinicius de Carvalho Mascarenhas,JUCESE/SE,https://www.rjleiloes.com.br,UM APARTAMENTO RESIDENCIAL SITUADO NA AVENIDA ACRÍSIO CRUZ,Aracaju,SE,"224.000,00",15/06/2026,https://www.facebook.com/tr?id=337602640050210&ev=PageView&noscript=1,https://www.rjleiloes.com.br/item/82632/detalhes?page=1,https://www.rjleiloes.com.br/item/82632/detalhes?page=1
Carlos Vinicius de Carvalho Mascarenhas,JUCESE/SE,https://www.rjleiloes.com.br,PAVIMENTO TÉRREO DE PRÉDIO NA RUA LARANJEIRAS - ARACAJU/SE,Aracaju,SE,"660.000,00",19/06/2026,https://www.facebook.com/tr?id=337602640050210&ev=PageView&noscript=1,https://www.rjleiloes.com.br/item/82543/detalhes?page=1,https://www.rjleiloes.com.br/item/82543/detalhes?page=1
Carlos Vinicius de Carvalho Mascarenhas,JUCESE/SE,https://www.rjleiloes.com.br,"IMÓVEL COM 6.567,97M², POVOADO AREIA BRANCA, ARACAJU/SE",Aracaju,SE,"2.800.000,00",19/06/2026,https://www.facebook.com/tr?id=337602640050210&ev=PageView&noscript=1,https://www.rjleiloes.com.br/item/82544/detalhes?page=1,https://www.rjleiloes.com.br/item/82544/detalhes?page=1
Carlos Vinicius de Carvalho Mascarenhas,JUCESE/SE,https://www.rjleiloes.com.br,"TERRENO COM 2.100,00M2 EM ITABAIANA/SE",Itabaiana,SE,"600.000,00",19/06/2026,https://www.facebook.com/tr?id=337602640050210&ev=PageView&noscript=1,https://www.rjleiloes.com.br/item/82545/detalhes?page=1,https://www.rjleiloes.com.br/item/82545/detalhes?page=1
Valerio Cesar de Azevedo Deda,JUCESE/SE,https://www.lancese.com.br,Data: 03/07/2026 (sexta-feira) Primeiro lote a partir das: 09:30 IMÓVEL 1600 M² - BAIRRO ENCOBERTA - MURIAÉ/MG,Aracaju,SE,,03/07/2026,,,https://www.lancese.com.br/leilao/12434/lotes
Valerio Cesar de Azevedo Deda,JUCESE/SE,https://www.lancese.com.br,SALA - PAVIMENTO SUPERIOR - BAIRRO SIQUEIRA CAMPOS - ARACAJU/SE,Aracaju,SE,"70.000,00",16/06/2026,https://www.facebook.com/tr?id=8057309514384354&ev=PageView&noscript=1,https://www.lancese.com.br/item/54798/detalhes?page=1,https://www.lancese.com.br/item/54798/detalhes?page=1
Valerio Cesar de Azevedo Deda,JUCESE/SE,https://www.lancese.com.br,APARTAMENTO - EDF. ANTÚRIO CONDOMÍNIO RESERVA DAS FLORES - BAIRRO JABOTIANA - ARACAJU/SE,Aracaju,SE,"217.000,00",17/06/2026,https://www.facebook.com/tr?id=8057309514384354&ev=PageView&noscript=1,https://www.lancese.com.br/item/54833/detalhes?page=1,https://www.lancese.com.br/item/54833/detalhes?page=1
Valerio Cesar de Azevedo Deda,JUCESE/SE,https://www.lancese.com.br,APARTAMENTO - CONDOMÍNIO RESIDENCIAL ALAMEDAS DE ARACAJU - BAIRRO INÁCIO BARBOSA - ARACAJU/SE,Aracaju,SE,"152.000,00",22/06/2026,https://www.facebook.com/tr?id=8057309514384354&ev=PageView&noscript=1,https://www.lancese.com.br/item/54887/detalhes?page=1,https://www.lancese.com.br/item/54887/detalhes?page=1
Valerio Cesar de Azevedo Deda,JUCESE/SE,https://www.lancese.com.br,APARTAMENTO - CONDOMÍNIO RESIDENCIAL DOCE VIDA BOSQUE - BAIRRO ROSA ELZE - SÃO CRISTÓVÃO/SE,São Cristóvão,SE,"115.500,00",22/06/2026,https://www.facebook.com/tr?id=8057309514384354&ev=PageView&noscript=1,https://www.lancese.com.br/item/54890/detalhes?page=1,https://www.lancese.com.br/item/54890/detalhes?page=1
Valerio Cesar de Azevedo Deda,JUCESE/SE,https://www.lancese.com.br,IMÓVEL 1600 M² - BAIRRO ENCOBERTA - MURIAÉ/MG,Muriaé,MG,"140.000,00",03/07/2026,https://www.facebook.com/tr?id=8057309514384354&ev=PageView&noscript=1,https://www.lancese.com.br/item/54393/detalhes?page=1,https://www.lancese.com.br/item/54393/detalhes?page=1
Valerio Cesar de Azevedo Deda,JUCESE/SE,https://www.lancese.com.br,APARTAMENTO - CONDOMÍNIO ENTRE RIOS MAIS VIVER CONDOMÍNIO CLUBE - BAIRRO FERNANDO COLLOR - NOSSA SEN,Socorro,SE,"60.000,00",06/07/2026,https://www.facebook.com/tr?id=8057309514384354&ev=PageView&noscript=1,https://www.lancese.com.br/item/52961/detalhes?page=1,https://www.lancese.com.br/item/52961/detalhes?page=1
Valerio Cesar de Azevedo Deda,JUCESE/SE,https://www.lancese.com.br,APARTAMENTO - CONDOMÍNIO RESIDENCIAL “VÊNUS” - BAIRRO GRAGERU - ARACAJU/SE,Aracaju,SE,"280.000,00",09/07/2026,https://www.facebook.com/tr?id=8057309514384354&ev=PageView&noscript=1,https://www.lancese.com.br/item/54302/detalhes?page=1,https://www.lancese.com.br/item/54302/detalhes?page=1
Valerio Cesar de Azevedo Deda,JUCESE/SE,https://www.lancese.com.br,PRÉDIO - BAIRRO GETÚLIO VARGAS - ARACAJU/SE,Aracaju,SE,"660.000,00",19/06/2026,https://www.facebook.com/tr?id=8057309514384354&ev=PageView&noscript=1,https://www.lancese.com.br/item/54306/detalhes?page=1,https://www.lancese.com.br/item/54306/detalhes?page=1
Valerio Cesar de Azevedo Deda,JUCESE/SE,https://www.lancese.com.br,APARTAMENTO - CONDOMÍNIO RESIDENCIAL ALAMEDAS DE ARACAJU - BAIRRO INÁCIO BARBOSA - ARACAJU/SE,Aracaju,SE,"152.000,00",22/06/2026,https://www.facebook.com/tr?id=8057309514384354&ev=PageView&noscript=1,https://lancese.com.br/item/54887/detalhes?page=1,https://lancese.com.br/item/54887/detalhes?page=1
Valerio Cesar de Azevedo Deda,JUCESE/SE,https://www.lancese.com.br,APARTAMENTO - CONDOMÍNIO RESIDENCIAL DOCE VIDA BOSQUE - BAIRRO ROSA ELZE - SÃO CRISTÓVÃO/SE,São Cristóvão,SE,"115.500,00",22/06/2026,https://www.facebook.com/tr?id=8057309514384354&ev=PageView&noscript=1,https://lancese.com.br/item/54890/detalhes?page=1,https://lancese.com.br/item/54890/detalhes?page=1
Valerio Cesar de Azevedo Deda,JUCESE/SE,https://www.lancese.com.br,APARTAMENTO - RESIDENCIAL ENCANTOS DO NORTE - BAIRRO SOLEDADE - ARACAJU/SE,Aracaju,SE,"72.500,00",11/06/2026,https://www.facebook.com/tr?id=8057309514384354&ev=PageView&noscript=1,https://lancese.com.br/item/54041/detalhes?page=1,https://lancese.com.br/item/54041/detalhes?page=1
Valerio Cesar de Azevedo Deda,JUCESE/SE,https://www.lancese.com.br,SALA - PAVIMENTO SUPERIOR - BAIRRO SIQUEIRA CAMPOS - ARACAJU/SE,Aracaju,SE,"70.000,00",16/06/2026,https://www.facebook.com/tr?id=8057309514384354&ev=PageView&noscript=1,https://lancese.com.br/item/54798/detalhes?page=1,https://lancese.com.br/item/54798/detalhes?page=1
Cristiane de Almeida Rabelo Gois,JUCESE/SE,https://www.argleiloes.com.br,Prédio térreo e respectivo terreno,Aracaju,SE,"660.000,00",19/06/2026,https://www.argleiloes.com.br/site/images/logo-header.png?modified=1781035624,https://www.argleiloes.com.br/item/6012/detalhes?page=1,https://www.argleiloes.com.br/item/6012/detalhes?page=1
Cristiane de Almeida Rabelo Gois,JUCESE/SE,https://www.argleiloes.com.br,UMA ÁREA DE TERRA,Itabaiana,SE,"600.000,00",19/06/2026,https://www.argleiloes.com.br/site/images/logo-header.png?modified=1781035522,https://www.argleiloes.com.br/item/6014/detalhes?page=1,https://www.argleiloes.com.br/item/6014/detalhes?page=1
Daniel Elias Garcia,JUCESE/SE,https://www.dgleiloes.com.br,Sala Comercial,Florianópolis,SC,"588.000,00",06/07/2026,https://www.facebook.com/tr?id=1276372359398047&ev=PageView&noscript=1,https://danielgarcialeiloes.com.br/item/76684/detalhes?page=1,https://danielgarcialeiloes.com.br/item/76684/detalhes?page=1
Daniel Elias Garcia,JUCESE/SE,https://www.dgleiloes.com.br,Sala Comercial,Florianópolis,SC,"451.500,00",06/07/2026,https://www.facebook.com/tr?id=1276372359398047&ev=PageView&noscript=1,https://danielgarcialeiloes.com.br/item/76685/detalhes?page=1,https://danielgarcialeiloes.com.br/item/76685/detalhes?page=1
Daniel Elias Garcia,JUCESE/SE,https://www.dgleiloes.com.br,Sala Comercial,Chapecó,SC,"413.000,00",06/07/2026,https://www.facebook.com/tr?id=1276372359398047&ev=PageView&noscript=1,https://danielgarcialeiloes.com.br/item/76686/detalhes?page=1,https://danielgarcialeiloes.com.br/item/76686/detalhes?page=1
Daniel Elias Garcia,JUCESE/SE,https://www.dgleiloes.com.br,Sala Comercial,Joinville,SC,"199.500,00",06/07/2026,https://www.facebook.com/tr?id=1276372359398047&ev=PageView&noscript=1,https://danielgarcialeiloes.com.br/item/76687/detalhes?page=1,https://danielgarcialeiloes.com.br/item/76687/detalhes?page=1
Daniel Elias Garcia,JUCESE/SE,https://www.dgleiloes.com.br,Sala Comercial e Vaga de Garagem,Joinville,SC,"199.500,00",06/07/2026,https://www.facebook.com/tr?id=1276372359398047&ev=PageView&noscript=1,https://danielgarcialeiloes.com.br/item/76688/detalhes?page=1,https://danielgarcialeiloes.com.br/item/76688/detalhes?page=1
