leiloeiro,junta,site,titulo,descricao,endereco,cidade,uf,lance_inicial,avaliacao,data_leilao,url,tipo,imagem,anexos
Alexsander Pretti Domingos,TRT3/JUCEMG,https://www.universodosleiloes.com.br,"Veículo, máquinas e equipamentos agrícola Data: 16/06/2026 (terça-feira) Primeiro lote a p","Veículo, máquinas e equipamentos agrícola Data: 16/06/2026 (terça-feira) Primeiro lote a partir das: 15:00 Online Em Andamento",,Colatina,ES,,,16/06/2026,https://mercado.bomvalor.com.br/universodosleiloes/alexsander-pretti-domingos/veiculo-maquinas-e-equipamentos-agricola-34821,imovel,https://d1jouugb6ujnuq.cloudfront.net/leiloes/000132-6a070ce6c08ce.jpg,
Alexsander Pretti Domingos,TRT3/JUCEMG,https://www.universodosleiloes.com.br,VW Gol MPI – 2022/2023 Data: 18/06/2026 (quinta-feira) Primeiro lote a partir das: 11:00 O,VW Gol MPI – 2022/2023 Data: 18/06/2026 (quinta-feira) Primeiro lote a partir das: 11:00 Online Em Andamento,,Colatina,ES,,,18/06/2026,https://mercado.bomvalor.com.br/universodosleiloes/alexsander-pretti-domingos/veiculos/suv/vw-gol-mpi-2022-2023-121322,imovel,https://d1jouugb6ujnuq.cloudfront.net/leiloes/000139-6a203328d56d3.jpg,
Alexsander Pretti Domingos,TRT3/JUCEMG,https://www.universodosleiloes.com.br,Veículos e equipamentos Data: 19/06/2026 (sexta-feira) Primeiro lote a partir das: 15:00 O,Veículos e equipamentos Data: 19/06/2026 (sexta-feira) Primeiro lote a partir das: 15:00 Online Em Andamento,,Colatina,ES,,,19/06/2026,https://mercado.bomvalor.com.br/universodosleiloes/alexsander-pretti-domingos/veiculos-e-equipamentos-34940,imovel,https://d1jouugb6ujnuq.cloudfront.net/leiloes/000138-6a26ee6d687ef.jpg,
Alexsander Pretti Domingos,TRT3/JUCEMG,https://www.universodosleiloes.com.br,Caminhões Fora de Estrada Caterpillar Data: 25/06/2026 (quinta-feira) Primeiro lote a part,Caminhões Fora de Estrada Caterpillar Data: 25/06/2026 (quinta-feira) Primeiro lote a partir das: 15:00 Online Em Andamento,,Colatina,ES,,,25/06/2026,https://mercado.bomvalor.com.br/universodosleiloes/alexsander-pretti-domingos/caminhoes-fora-de-estrada-caterpillar-35506,imovel,https://d1jouugb6ujnuq.cloudfront.net/leiloes/000137-6a26ef229a941.jpg,
Angela Saraiva Portes Souza,TRT3/JUCEMG,https://www.saraivaleiloes.com.br,EM BREVE,COD. 477 / 44/2025 Em breve EM BREVE Somente online Leilão A data será disponibilizada em breve 0 0 WhatsApp Facebook Twitter E-mail 50% desconto COD. 545 / 31/2026 90 lotes Aberto para lances IMÓVEIS | VEÍCULOS | DIVERSOS Somente online Leilão Data do encerramento 10/06/2026 A partir das 09:00 Reset Data do encerramento 10/06/2026 A partir das 09:00 0 15 WhatsApp Facebook Twitter E-mail COD. 546 / 32/2026 3 lotes Aberto para lances IMÓVEIS | VEÍCULOS | DIVERSOS Somente online 1º Leilão Data do ,,Belo Horizonte,MG,,,10/06/2026,https://www.saraivaleiloes.com.br/eventos/leilao/477/em-breve/lote,imovel,https://static.suporteleiloes.com.br/saraivaleiloescombr/leiloes/477/68c32cb6334b9-68c32cb63803d.jpg,
Carla Karine Santos Agostinho,TRT3/JUCEMG,https://www.purcenaleiloes.com.br,TERRENOS NO RESIDENCIAL TEIXEIRA e BAIRRO VILA BETÂNIA – ALFENAS/MG 1º Leilão: 10/06/2026,TERRENOS NO RESIDENCIAL TEIXEIRA e BAIRRO VILA BETÂNIA – ALFENAS/MG 1º Leilão: 10/06/2026 às 11:00 PÚBLICO ADMINISTRATIVO Online Em Andamento,,Belo Horizonte,MG,,,10/06/2026,https://www.purcenaleiloes.com.br/leilao/776/lotes,imovel,https://d3cxxr42bgo97z.cloudfront.net/leiloes/000776-6a170a11797a8,
Carla Karine Santos Agostinho,TRT3/JUCEMG,https://www.purcenaleiloes.com.br,PREFEITURA MUNICIPAL DE PERDIGÃO/MG Data: 29/06/2026 (segunda-feira) Primeiro lote a parti,PREFEITURA MUNICIPAL DE PERDIGÃO/MG Data: 29/06/2026 (segunda-feira) Primeiro lote a partir das: 09:00 Terrenos I Carros I Ônibus I Sucata de Luminárias I Sucatão PÚBLICO ADMINISTRATIVO Online Em Andamento,,Belo Horizonte,MG,,,29/06/2026,https://www.purcenaleiloes.com.br/leilao/777/lotes,imovel,https://d3cxxr42bgo97z.cloudfront.net/leiloes/000777-6a1df14bbe2f9.jpg,
Carlos Augusto Ribeiro Lima,TRT3/JUCEMG,https://infinityleiloes.com.br,"Apartamento na Rua das Paineiras, Águas Claras/DF 1º Leilão: 16/06/2026 às 12:10 770.000,0","Apartamento na Rua das Paineiras, Águas Claras/DF 1º Leilão: 16/06/2026 às 12:10 770.000,00 2º Leilão: 19/06/2026 às 12:20 539.000,00 JUDICIAL Online Em Andamento",,Brasilia,DF,,,16/06/2026,https://infinityleiloes.com.br/leilao/600/lotes,imovel,https://d1pgfy83m2ajy2.cloudfront.net/leiloes/000000-6a0216ec7af27.JPG,
Carlos Augusto Ribeiro Lima,TRT3/JUCEMG,https://infinityleiloes.com.br,Mercado Bom Valor Data: 01/12/2026 (terça-feira) Primeiro lote a partir das: 12:00 Online,Mercado Bom Valor Data: 01/12/2026 (terça-feira) Primeiro lote a partir das: 12:00 Online Encerrado,,Brasilia,DF,,,01/12/2026,https://mercado.bomvalor.com.br/infinityleiloes,imovel,https://d1pgfy83m2ajy2.cloudfront.net/leiloes/000000-664b684c20bcb.JPG,
Caroline de Sousa Ribas,TRT3/JUCEMG,https://www.liderleiloes.com.br,"Carros, Utilitários, Motos, Ônibus, Caminhões, Retroescavadeira, Pneus e Bens Diversos.","COD. 170 / 21/2026 48 lotes Aberto para lances Carros, Utilitários, Motos, Ônibus, Caminhões, Retroescavadeira, Pneus e Bens Diversos. Somente online Leilão Data do encerramento 10/06/2026 A partir das 10:00 Reset Data do encerramento 10/06/2026 A partir das 10:00 64466 147 5 375 WhatsApp Facebook Twitter E-mail COD. 164 / 15/2026 Aberto para lances Imóvel Comercial com 1.050,00 m² de área de terreno e 1.460,00 m² de área construída – Jardim Valéria Somente online Leilão Data do encerramento 12/",,Maua,SP,,,10/06/2026,https://www.liderleiloes.com.br/eventos/leilao/170/carros-utilitarios-motos-onibus-caminhoes-retroescavadeira-pneus-e-bens-diversos,imovel,https://static.suporteleiloes.com.br/liderleiloescombr/leiloes/170/6a032ffd6e30b-6a032ffd79fb2.jpg,
Cesar Augusto Bagatini,TRT3/JUCEMG,https://www.leiloesfederal.com.br,TJDFT - 0717991-47 - Vara Cível de Águas Claras/DF APARTAMENTOS 30% DE DESCONTO BRASILIA -,"TJDFT - 0717991-47 - Vara Cível de Águas Claras/DF APARTAMENTOS 30% DE DESCONTO BRASILIA - DF Cancelado - Proc. suspenso para tentativa de acordo Leilão: 307 Data 11/06/2026 às 14:20:00 Lance Inicial R$ 250.000,00 ONLINE ABERTO",,Brasilia,DF,"250.000,00",,11/06/2026,https://www.leiloesfederal.com.br#carousel-364,imovel,https://www.leiloesfederal.com.br//arquivos/bem_foto/0296476001776971018.png,
