id_leiloeiro,leiloeiro_nome,site,total
698,Caixa Econômica Federal,https://venda-imoveis.caixa.gov.br,4783
27,,,363
287,,,200
413,Portal Zuk,https://www.leeilon.com.br,190
29,Gestor de Leilões,https://gestordeleiloes.com.br,178
505,Aragão Leilões,https://www.aragaoleiloes.com.br,168
492,,,150
684,,,142
56,Comprei,https://comprei.pgfn.gov.br,111
134,Grupo Lance,https://www.grupolance.com.br,84
314,Pestana Leilões,https://www.leeilon.com.br,69
55,Central Sul de Leilões,https://www.centralsuldeleiloes.com.br,61
286,Mega Leilões,https://www.megaleiloes.com.br,60
285,Líder Leilões,https://www.liderleiloes.com.br,57
520,,,53
375,Joyce Ribeiro Leilões,https://www.jrleiloes.com.br,49
86,,,48
689,,,41
538,Leilões Ceruli,https://www.leiloesceruli.com.br,34
93,Destak Leilões,https://www.destakleiloes.com.br,33
137,Je Leilões,https://www.jeleiloes.com.br,33
85,Portal Bayit,https://www.portalbayit.com.br,32
614,Santander,https://www.leeilon.com.br,32
469,Muller Leilões,https://www.mullerleiloes.com.br,31
10,Alfa Leilões,https://www.alfaleiloes.com,29
50,Biasi Leilões,https://www.leeilon.com.br,27
695,Topo Leilões,https://topoleiloes.com.br,26
657,Leilão Brasil,https://www.leilaobrasil.com.br,24
352,Alvaro Leilões,https://www.alvaroleiloes.com.br,23
258,Leilão VIP,https://www.leeilon.com.br,22
524,Gold Leilões,https://www.leiloesgold.com.br,22
9,Picelli Leilões,https://www.picellileiloes.com.br,22
51,,,22
6,Big Leilão,https://www.bigleilao.com.br,21
357,Carlo Ferrari Leiloes,https://www.carloferrarileiloes.com.br,20
142,Lance no Leilão,https://www.leeilon.com.br,20
596,Kron Leilões,https://www.superbid.net,20
140,,,19
312,Nakakogue Leilões,https://www.nakakogueleiloes.com.br,19
32,,,17
298,Frederico Krausegg Leilões,https://www.fredericoleiloes.com.br,17
683,,,16
398,,,16
763,Francisco Freitas Leilões,https://www.franciscofreitasleiloes.com.br,16
135,Hasta Pública,https://www.hastapublica.com.br,15
145,Leiloeiro Público,https://www.leeilon.com.br,14
127,Fidalgo Leilões,https://www.leeilon.com.br,13
128,Frazão Leilões,https://www.leeilon.com.br,13
59,,,13
331,Rocha Leilões,https://www.rochaleiloes.com.br,13
693,Luthero Leilões,https://www.lutheroleiloes.com.br,13
418,Sato Leilões,https://www.leeilon.com.br,13
313,,,13
393,,,12
658,Valero Leilões,https://www.valeroleiloes.com.br,12
419,Schulmann Leiloes,https://www.leeilon.com.br,12
138,Jorge Brasil Leilões,https://www.jorgebrasil.lel.br,12
112,Taba Leilões,https://www.leeilon.com.br,12
673,Leilões JA,https://www.leiloesja.com.br,12
136,,,11
433,Isaias Leilões,https://isaiasleiloes.com.br,11
371,Hidirlene Duszeiko Leiloes,https://www.hdleiloes.com.br,10
536,,,10
472,Cargnelutti Leilões,https://www.cargneluttileiloes.com.br,10
634,Mario Ricart Leiloeiro,https://www.ricartleiloes.com.br,9
284,,,9
96,Atrio Leilões,https://www.atrioleiloes.com.br,9
428,Arena Leilão,https://www.arenaleilao.com.br,9
506,Alemão Leiloeiro,https://www.alemaoleiloeiro.com.br,9
760,Sumaré Leilões,https://www.sumareleiloes.com.br,9
554,Alberto Macedo Leilões,https://www.superbid.net,9
102,Legis Leilões,https://www.legisleiloes.com.br,8
90,,,8
526,,,8
117,Viva Leilões,https://www.vivaleiloes.com.br,8
233,Scotto Leilões,https://www.leeilon.com.br,8
447,,,7
535,Bronzatto Leilões,https://www.bronzattoleiloes.com.br,7
613,Rmoysés Leilões,https://www.superbid.net,7
103,,,7
370,Giordano Leiloes,https://www.giordanoleiloes.com.br,7
288,Milan Leilões,https://milanleiloes.com.br,7
436,,,7
416,Rymer Leilões,https://www.rymerleiloes.com.br,7
99,Franco Leiloes,https://www.leeilon.com.br,7
351,,,7
701,Cláudio Reis Leilões,https://www.crleiloes.com.br,7
477,Vegas Leilões,https://www.vegasleiloes.com.br,6
363,,,6
655,Gustavo Leiloeiro,https://www.gustavoleiloeiro.com.br,6
669,,,6
319,,,6
378,,,6
123,,,6
388,,,6
129,Freitas Leilões,https://www.leeilon.com.br,6
110,Pro-Jud Leilões,https://www.projudleiloes.com.br,6
144,Leiloaria Smart,https://www.leeilon.com.br,6
592,Jorge Marco Leilões,https://www.superbid.net,5
633,,,5
94,,,5
108,,,5
459,MGLeilões-RS,https://www.mgleiloes-rs.com.br,5
389,Rio Leiloes,https://www.rioleiloes.com.br,5
653,Marco Antônio Leiloeiro,https://www.marcoantonioleiloeiro.com.br,5
697,Web Leilões,https://www.leeilon.com.br,5
439,Lance VIP,https://www.lancevip.com.br,5
207,Eduardo Vivian,https://www.leeilon.com.br,5
193,Hasta Pública Leilões,https://www.leeilon.com.br,5
425,,,5
256,Renovar Leilões,https://www.leeilon.com.br,4
465,,,4
11,Aline Marques Leiloeira,https://www.alinemarquesleiloeira.lel.br,4
36,,,4
400,,,4
420,Simon Leilões,https://www.simonleiloes.com.br,4
295,Alexandre Costa Leilões,https://www.alexandrecostaleiloes.com.br,4
130,Globo Leilões,https://globoleiloes.com.br,4
467,Moraes Leilões,https://www.moraesleiloes.com.br,4
356,,,4
115,Vendas Judiciais,https://www.leeilon.com.br,4
659,Saraiva Leilões,https://www.saraivaleiloes.com.br,4
75,Up Leilão,https://www.upleilao.com.br,4
374,Jose Rodovalho Leiloes,https://www.joserodovalholeiloes.com.br,4
197,Valdinei Silveira Leilões,https://www.leeilon.com.br,4
2,Leilões Monteiro,https://www.leiloesmonteiro.com.br,4
581,Duarte Leilões,https://www.superbid.net,3
373,JD Leiloes,https://www.jdleiloes.com.br,3
302,Ricardo Correa Leilões,https://www.ricardocorrealeiloes.com.br,3
476,,,3
266,,,3
500,Victor Dorta Leilões,https://www.victordortaleiloes.com.br,3
57,Cristiano Escola Leilões,https://www.leeilon.com.br,3
672,Portella Leilões,https://www.portellaleiloes.com.br,3
52,,,3
564,,,3
81,Sicoob Vale do Vinho,https://leiloes.sicoobvaledovinho.coop.br,3
711,,,3
35,Damiani Leilões,https://damianileiloes.com.br,3
255,Raupp Leilões,https://www.leeilon.com.br,3
131,GP Leilões,https://www.leeilon.com.br,3
525,,,3
205,Vidal Leilões,https://www.leeilon.com.br,3
126,Faro Online,https://www.faroonline.com.br,3
54,Central Judicial,https://www.centraljudicial.com.br,3
241,Szortyka Leilões,https://www.leeilon.com.br,2
