id,titulo,descricao,url_original,tipo_imovel,tipo_leilao,valor_avaliacao,valor_minimo,desconto_percentual,cidade,estado,bairro,endereco_completo,area_total,area_util,quartos,data_primeiro_leilao,data_segundo_leilao,imagem_principal,leiloeiro,score_oportunidade,criado_em,site_certificado
146820,"R$ 61.000,00",,https://www.guariglialeiloes.com.br/licitante/login?url_target=https%3A%2F%2Fwww.guariglialeiloes.com.br%2Fitem%2F99196%2Fdetalhes,TERRENO,EXTRAJUDICIAL,3050.00,61000.00,,Sao Paulo,SP,,"Segunda a Sexta das 08:00 às 18:00 Rua Vereador Geraldo Nogueira da Silva, 3501 - Bairro do Grama Caçapava / SP - CEP: 12286-285 (Rodovia Presidente Dutra Km 132 SP/RJ) 12 3654-1000 [email protected]",,,,2026-05-29 00:00:00,,https://cdn.guariglialeiloes.com.br/comitentes/000009-acfi-aymore-cred-financ-e-invest-sa-5ad634537ae08.png,OFICIAL Antonio Luiz Guariglia,,2026-06-01 22:38:03.542353,Guariglia Leiloes
146818,"R$ 50.000,00",,https://www.guariglialeiloes.com.br/licitante/login?url_target=https%3A%2F%2Fwww.guariglialeiloes.com.br%2Fitem%2F99193%2Fdetalhes,TERRENO,EXTRAJUDICIAL,2500.00,50000.00,,Minas,MG,,"Segunda a Sexta das 08:00 às 18:00 Rua Vereador Geraldo Nogueira da Silva, 3501 - Bairro do Grama Caçapava / SP - CEP: 12286-285 (Rodovia Presidente Dutra Km 132 SP/RJ) 12 3654-1000 [email protected]",,,,2026-06-01 00:00:00,,https://cdn.guariglialeiloes.com.br/comitentes/000009-acfi-aymore-cred-financ-e-invest-sa-5ad634537ae08.png,OFICIAL Antonio Luiz Guariglia,,2026-06-01 22:38:03.542353,Guariglia Leiloes
146809,"Lance Inicial: R$ 50.000,00",,https://www.guariglialeiloes.com.br/item/99249/detalhes,OUTRO,EXTRAJUDICIAL,,50000.00,,,SP,,"Segunda a Sexta das 08:00 às 18:00 Rua Vereador Geraldo Nogueira da Silva, 3501 - Bairro do Grama Caçapava / SP - CEP: 12286-285 (Rodovia Presidente Dutra Km 132 SP/RJ) 12 3654-1000 [email protected]",,,,2026-06-03 00:00:00,,https://cdn.guariglialeiloes.com.br/watermark/bens/0000086185/bnj3davetuygwwi7exhjhzgmvfv9tr.jpg,OFICIAL,,2026-06-01 22:38:03.542353,Guariglia Leiloes
146821,"R$ 50.000,00",,https://www.guariglialeiloes.com.br/licitante/login?url_target=https%3A%2F%2Fwww.guariglialeiloes.com.br%2Fitem%2F99249%2Fdetalhes,OUTRO,EXTRAJUDICIAL,2500.00,50000.00,,,SE,,"Segunda a Sexta das 08:00 às 18:00 Rua Vereador Geraldo Nogueira da Silva, 3501 - Bairro do Grama Caçapava / SP - CEP: 12286-285 (Rodovia Presidente Dutra Km 132 SP/RJ) 12 3654-1000 [email protected]",,,,,,https://cdn.guariglialeiloes.com.br/comitentes/000017-bradesco-financiamentos-sa-5c07f5a1f15db.png,OFICIAL Antonio Luiz Guariglia,,2026-06-01 22:38:03.542353,Guariglia Leiloes
146810,"Lance Inicial: R$ 45.000,00",,https://www.guariglialeiloes.com.br/item/99268/detalhes,OUTRO,EXTRAJUDICIAL,,45000.00,,,SP,,"Segunda a Sexta das 08:00 às 18:00 Rua Vereador Geraldo Nogueira da Silva, 3501 - Bairro do Grama Caçapava / SP - CEP: 12286-285 (Rodovia Presidente Dutra Km 132 SP/RJ) 12 3654-1000 [email protected]",,,,2026-06-03 00:00:00,,https://cdn.guariglialeiloes.com.br/watermark/bens/0000085160/syzkznirhsyrljcj4inudjz6qcz25d.jpg,OFICIAL,,2026-06-01 22:38:03.542353,Guariglia Leiloes
146822,"R$ 45.000,00",,https://www.guariglialeiloes.com.br/licitante/login?url_target=https%3A%2F%2Fwww.guariglialeiloes.com.br%2Fitem%2F99268%2Fdetalhes,TERRENO,EXTRAJUDICIAL,2250.00,45000.00,,,SE,,"Segunda a Sexta das 08:00 às 18:00 Rua Vereador Geraldo Nogueira da Silva, 3501 - Bairro do Grama Caçapava / SP - CEP: 12286-285 (Rodovia Presidente Dutra Km 132 SP/RJ) 12 3654-1000 [email protected]",,,,,,https://cdn.guariglialeiloes.com.br/comitentes/000000-banco-pan-sa-5e28482df16b4.png,OFICIAL Antonio Luiz Guariglia,,2026-06-01 22:38:03.542353,Guariglia Leiloes
146817,"R$ 37.500,00",,https://www.guariglialeiloes.com.br/licitante/login?url_target=https%3A%2F%2Fwww.guariglialeiloes.com.br%2Fitem%2F99252%2Fdetalhes,OUTRO,EXTRAJUDICIAL,1875.00,37500.00,,Bragança Paulista,SP,,"Segunda a Sexta das 08:00 às 18:00 Rua Vereador Geraldo Nogueira da Silva, 3501 - Bairro do Grama Caçapava / SP - CEP: 12286-285 (Rodovia Presidente Dutra Km 132 SP/RJ) 12 3654-1000 [email protected]",,,,2026-05-29 00:00:00,,https://cdn.guariglialeiloes.com.br/comitentes/000017-bradesco-financiamentos-sa-5c07f5a1f15db.png,OFICIAL Antonio Luiz Guariglia,,2026-06-01 22:38:03.542353,Guariglia Leiloes
146816,"R$ 37.500,00",,https://www.guariglialeiloes.com.br/item/99252/detalhes,OUTRO,EXTRAJUDICIAL,1875.00,37500.00,,Bragança Paulista,SP,,"Segunda a Sexta das 08:00 às 18:00 Rua Vereador Geraldo Nogueira da Silva, 3501 - Bairro do Grama Caçapava / SP - CEP: 12286-285 (Rodovia Presidente Dutra Km 132 SP/RJ) 12 3654-1000 [email protected]",,,,2026-05-29 00:00:00,,https://cdn.guariglialeiloes.com.br/leiloes/000000-69fa551231732.gif,OFICIAL,,2026-06-01 22:38:03.542353,Guariglia Leiloes
146814,"R$ 31.500,00",,https://www.guariglialeiloes.com.br/licitante/login?url_target=https%3A%2F%2Fwww.guariglialeiloes.com.br%2Fitem%2F99191%2Fdetalhes,OUTRO,EXTRAJUDICIAL,1575.00,31500.00,,Taubaté,SP,,"Segunda a Sexta das 08:00 às 18:00 Rua Vereador Geraldo Nogueira da Silva, 3501 - Bairro do Grama Caçapava / SP - CEP: 12286-285 (Rodovia Presidente Dutra Km 132 SP/RJ) 12 3654-1000 [email protected]",,,,2026-05-30 00:00:00,,https://cdn.guariglialeiloes.com.br/comitentes/000009-acfi-aymore-cred-financ-e-invest-sa-5ad634537ae08.png,OFICIAL Antonio Luiz Guariglia,,2026-06-01 22:38:03.542353,Guariglia Leiloes
146815,"Online & Presencial 03/Jun/2026 09:00 LANCE INICIAL: R$ 30.000,00",,https://www.guariglialeiloes.com.br/leilao/798/lotes,OUTRO,EXTRAJUDICIAL,,30000.00,,,SP,,"Segunda a Sexta das 08:00 às 18:00 Rua Vereador Geraldo Nogueira da Silva, 3501 - Bairro do Grama Caçapava / SP - CEP: 12286-285 (Rodovia Presidente Dutra Km 132 SP/RJ) 12 3654-1000 [email protected]",,,,2026-06-03 00:00:00,,https://cdn.guariglialeiloes.com.br/comitentes/000009-acfi-aymore-cred-financ-e-invest-sa-5ad634537ae08.png,OFICIAL,,2026-06-01 22:38:03.542353,Guariglia Leiloes
