nome,site,cidade,uf,junta,matricula
ISALDO SOBRAL E SILVA,https://www.portaldosleiloes.com.br,Pilar,AL,JUCEAL/AL,04/1985
OSMAN SOBRAL E SILVA,https://www.leiloesfreire.com.br,Maceió,AL,JUCEAL/AL,006
FERNANDO GUSTAVO ALENCAR DE ALBUQUERQUE LINS,http://www.albuquerquelins.com.br,Maceió,AL,JUCEAL/AL,013
OLDICÉA SOBRAL E SILVA DE ALBUQUERQUE,https://www.leiloesfreire.com.br,Maceió,AL,JUCEAL/AL,014
CARLOS ADRIANO SOLANO DOS SANTOS PINHO,https://www.vipleiloes.com.br,Maceió,AL,JUCEAL/AL,015
ADILSON BENTO DE ARAÚJO,https://www.abaleiloes.com.br,Maceió,AL,JUCEAL/AL,016
CRISTIANE BARROS DA MOTA BALBINO,https://www.lancecertoleiloes.com.br,Maceió,AL,JUCEAL/AL,018/2018
ALEXANDRE ALMEIDA DE SOUZA E SILVA,https://www.leiloesfreire.com.br,Maceió,AL,JUCEAL/AL,2057
ALEX WILLIN HOPPE,https://www.hoppeleiloes.com.br,Canoinhas,SC,JUCEAL/AL,01/2021
RUDIVAL ALMEIDA GOMES JUNIOR,https://www.rjleiloes.com.br,Salvador,BA,JUCEAL/AL,03/2022
DANIEL ELIAS GARCIA,https://www.danielgarcialeiloes.com.br,Maceió,AL,JUCEAL/AL,01/2022
DIOGO MATTOS DIAS MARTINS,https://www.inovaleilao.com.br,Recife,PE,JUCEAL/AL,02/2023
LUCAS KURY DIAS MARTINS,https://www.inovaleilao.com.br,Recife,PE,JUCEAL/AL,01/2023
DOUGLAS RICHER E SILVA NASCIMENTO,https://www.portaldosleiloes.com.br,Pilar,AL,JUCEAL/AL,03/2023
DAVI BORGES DE AQUINO,https://alfaleiloes.com,São Paulo,SP,JUCEAL/AL,04/2023
FRANCISCO JONNATHAN SANTOS FREITAS,https://www.franciscofreitasleiloes.com.br,Fortaleza,CE,JUCEAL/AL,02/2024
FERNANDO CAETANO MOREIRA FILHO,https://www.mgl.com.br,Contagem,MG,JUCEAL/AL,04/2024
LUCAS RAFAEL ANTUNES MOREIRA,https://www.mgl.com.br,Belo Horizonte,MG,JUCEAL/AL,05/2024
JONAS GABRIEL ANTUNES MOREIRA,https://www.mgl.com.br,Pará de Minas,MG,JUCEAL/AL,03/2024
MAYSALA SOARES DE SOUZA PEIXOTO,https://www.bravoleiloes.com.br,Goiânia,GO,JUCEAL/AL,081124
DENYS PYERRE DE OLIVEIRA,https://www.leje.com.br,Barueri,SP,JUCEAL/AL,060125
IRANI FLORES,https://www.leilaobrasil.com.br,São Paulo,SP,JUCEAL/AL,210525
MURILO GONÇALVES RAMOS,https://www.mgrleiloes.com.br,Goiânia,GO,JUCEAL/AL,100625
LAIZA MACHADO DE OLIVEIRA ADRI,http://www.adrileiloes.com.br,Campo Grande,MS,JUCEAL/AL,170725
ADELANE PEDROZO FERREIRA,http://www.adelanepedrozoleiloes.com.br,Aracaju,SE,JUCEAL/AL,140825
ARTHUR FERREIRA NUNES,https://www.nordesteleiloes.com.br,São Paulo,SP,JUCEAL/AL,090126
MARIA CATARINA LINHARES FEIJAO VILLA REAL ARAUJO,https://www.nasarleiloes.com.br,Fortaleza,CE,JUCEAL/AL,220126
IVANA MONTENEGRO CASTELO BRANCO ROCHA,https://www.patiorochaleiloes.com.br,Maceió,AL,JUCEAL/AL,200226
