nome,site,cidade,uf,junta,matricula
Daniel Elias Garcia,https://www.dgleiloes.com.br,Macapá,AP,JUCAP/AP,15/2021
José Carlos Zingra,https://www.curiauleiloes.com.br,Macapá,AP,JUCAP/AP,09/2017
Jaciara de Souza Coutinho Ferreira,,Macapá,AP,JUCAP/AP,05/1992
Luciano Marangoni,https://www.marangonileiloes.com.br,Curitiba,PR,JUCAP/AP,24/2025
Carlos Roberto Fantinatto,https://www.fantinattoleiloes.com.br,Macapá,AP,JUCAP/AP,06/2002
Hugo Moreira Pimenta,https://www.moreirapimenta.com.br,Manaus,AM,JUCAP/AP,12/2021
Sidney Canezin,https://www.canezinleiloes.com.br,Macapá,AP,JUCAP/AP,07/2003
Alex Willian Hoppe,https://www.hoppeleiloes.com.br,Canoinhas,SC,JUCAP/AP,13/2021
Rafael Galvani Ferreira,https://www.galvanileiloes.com.br,Tucumã,PA,JUCAP/AP,10/2021
Wesley Silva Ramos,https://www.wrleiloes.com.br,Macapá,AP,JUCAP/AP,16/2022
Sandro de Oliveira,https://www.norteleiloes.com.br,Macapá,AP,JUCAP/AP,14/2021
Wirna Campos Cardoso,https://www.vipleiloes.com.br,Belém,PA,JUCAP/AP,17/2022
Henrique Reis de Oliveira Borba,,Belo Horizonte,MG,JUCAP/AP,18/2022
Daniel Ribas Rosa Frahm,,Guarapuava,PR,JUCAP/AP,28/2025
Fernando Caetano Moreira Filho,https://www.fernandoleiloeiro.com.br,Contagem,MG,JUCAP/AP,23/2024
Jonas Gabriel Antunes Moreira,https://www.mgl.com.br,Pará de Minas,MG,JUCAP/AP,21/2024
Leonardo Simon Tobelem,https://www.maestroleiloes.com.br,Belém,PA,JUCAP/AP,26/2025
Lucas Rafael Antunes Moreira,https://www.mgl.com.br,Belo Horizonte,MG,JUCAP/AP,22/2024
