nome,site,cidade,uf,junta,matricula
Fernando Montenegro Castelo,https://www.montenegroleiloes.com.br,Fortaleza,CE,JUCEC/CE,01
Francisca Graca de Oliveira Medeiros,https://www.construbemleiloes.com.br,Fortaleza,CE,JUCEC/CE,02
Sandra Maria Penha Araujo,,Fortaleza,CE,JUCEC/CE,04
Joao Lopes Cavalcante,https://www.lopesleiloes.net.br,Fortaleza,CE,JUCEC/CE,10
Marcio Morais Correia Goncalves,,Fortaleza,CE,JUCEC/CE,11
Celso Alves Cunha,https://www.celsocunhaleiloes.com.br,Fortaleza,CE,JUCEC/CE,13
Willian Augusto Ferreira de Araujo,https://www.willianleiloes.com.br,Fortaleza,CE,JUCEC/CE,17
Francisco das Chagas Pereira Junior,https://www.pereiraleiloesce.com.br,Fortaleza,CE,JUCEC/CE,18
Sergio Luis Juca Bezerra,,Fortaleza,CE,JUCEC/CE,19
Silvio Cesar Maraschi,https://www.hastapublica.com.br,Fortaleza,CE,JUCEC/CE,20
Daniela de Souza Castelo,https://www.montenegroleiloes.com.br,Fortaleza,CE,JUCEC/CE,23
Georgia de Souza Castelo,https://www.montenegroleiloes.com.br,Fortaleza,CE,JUCEC/CE,24
Marinete Alves de Brito Oliveira,,Crato,CE,JUCEC/CE,25
Francisco Jonnathan Santos Freitas,https://www.nortenordesteleiloes.com.br,Fortaleza,CE,JUCEC/CE,26
Eduardo Sydney Bezerra de Girao,,Fortaleza,CE,JUCEC/CE,27
Saulo Barbosa Catao Segundo,https://www.lancecertoleiloes.com.br,Fortaleza,CE,JUCEC/CE,28
Denys Pyerre de Oliveira,https://www.leje.com.br,Quixelo,CE,JUCEC/CE,29
Ives Harrison Nasar dos Santos,https://www.nasarleiloes.com.br,Fortaleza,CE,JUCEC/CE,30
Erico Sobral Soares,https://www.vipleiloes.com.br,Fortaleza,CE,JUCEC/CE,31
Hugo Moreira Pimenta,https://www.moreirapimenta.bl.br,Manaus,AM,JUCEC/CE,33
Alex William Hoppe,https://www.hoppeleiloes.com.br,Canoinhas,SC,JUCEC/CE,34
Eduardo Vinicius Fleury Lobo,https://www.leilomaster.com.br,Aquiraz,CE,JUCEC/CE,36
Conceicao Maria Fixer,https://www.mariafixerleiloes.com.br,Campo Grande,MS,JUCEC/CE,37
Bhruna Christine Sales,,Fortaleza,CE,JUCEC/CE,38
Joao Paulo Ferreira,https://www.montenegroleiloes.com.br,Fortaleza,CE,JUCEC/CE,39
Josecelli Kildare Fraga Gomes,https://www.kildareleiloes.com.br,Salvador,BA,JUCEC/CE,40
Rudival Almeida Gomes Junior,https://www.rjleiloes.com.br,Salvador,BA,JUCEC/CE,41
Mateus Nascimento Guerra,,Recife,PE,JUCEC/CE,42
Daniel Elias Garcia,https://www.danielgarcialeiloes.com.br,Fortaleza,CE,JUCEC/CE,43
Davi Borges de Aquino,https://www.alfaleiloes.com,Sao Paulo,SP,JUCEC/CE,44
Marcelo Valland,https://www.pactoleiloes.com.br,Aquiraz,CE,JUCEC/CE,45
Luiz Eduardo Gomes,,Ribeirao Preto,SP,JUCEC/CE,47
Carlos Augusto Ribeiro Lima,https://www.infinityleiloes.com.br,Brasilia,DF,JUCEC/CE,48
Gustavo Moretto Guimaraes de Oliveira,https://www.gustavomorettoleiloeiro.com.br,Sumare,SP,JUCEC/CE,51
Jonas Gabriel Antunes Moreira,https://www.mgl.com.br,Para de Minas,MG,JUCEC/CE,52
Fernando Caetano Moreira Filho,https://www.fernandoleiloeiro.com.br,Contagem,MG,JUCEC/CE,53
Sandro de Oliveira,,Fortaleza,CE,JUCEC/CE,54
Lucas Rafael Antunes Moreira,https://www.mgl.com.br,Belo Horizonte,MG,JUCEC/CE,55
Filipe Pedro de Araujo,,Natal,RN,JUCEC/CE,56
Marco Tulio Montenegro Cavalcanti Dias,https://www.lancecertoleiloes.com.br,Bayeux,PB,JUCEC/CE,57
Renato Schlobach Moyses,https://www.rmoyses.com.br,Guararema,SP,JUCEC/CE,58
Daniel Melo Cruz,https://www.grupolance.com.br,Guaruja,SP,JUCEC/CE,59
Regilane de Alencar Monteiro,https://www.construbemleiloes.com.br,Fortaleza,CE,JUCEC/CE,60
Fabio Prando Fagundes Goes,,Cotia,SP,JUCEC/CE,61
Guilherme Lopes de Souza,,Itajuba,MG,JUCEC/CE,63
Irani Flores,https://www.leilaobrasil.com.br,Sao Paulo,SP,JUCEC/CE,65
Rodrigo Aparecido Rigolon da Silva,https://www.rigolonleiloes.com.br,Araraquara,SP,JUCEC/CE,66
Mauricio Jose de Sousa Costa,https://www.mjleiloes.com.br,Sumare,SP,JUCEC/CE,69
Arthur Ferreira Nunes,https://arthurnunes.leilao.br,Sao Paulo,SP,JUCEC/CE,71
Romulo Cezar Viana de Lima Junior,,Caucaia,CE,JUCEC/CE,72
Paulo Marcelo Silva Almeida,https://www.upleilao.com.br,Guarulhos,SP,JUCEC/CE,73
Ivana Montenegro Castelo Branco Rocha,https://www.patiorochaleiloes.com.br,Fortaleza,CE,JUCEC/CE,74
Murilo Goncalves Ramos,https://www.mgrleiloes.com.br,Goiania,GO,JUCEC/CE,76
William Marden Pereira Machado,https://www.otonirodriguesadvogados.com.br,Juazeiro do Norte,CE,JUCEC/CE,77
