nome,site,cidade,uf,junta,matricula
Wesley Durval Palhais Alves Pereira,,São Luís,MA,JUCEMA/MA,011/1996
Vicente de Paulo Albuquerque Costa Filho,https://www.vipleiloes.com.br,São Luís,MA,JUCEMA/MA,012/1996
Hetury Wladimir Palhais Alves Pereira,,São Luís,MA,JUCEMA/MA,013/1997
Dalton Luis de Moraes Leal,https://www.lealleiloes.com.br,São Luís,MA,JUCEMA/MA,014/1998
José Henrique de Moura Ferro Frazão,,São Luís,MA,JUCEMA/MA,015/1998
Francisco de Assis Costa Aranha,https://www.leilaovip.com.br,São José de Ribamar,MA,JUCEMA/MA,016/2001
Gustavo Martins Rocha,https://www.grleiloes.com,São Luís,MA,JUCEMA/MA,017/2006
Pedro Hypolito de Azevedo Filgueiras,,São Luís,MA,JUCEMA/MA,018/2010
Leonardo Machado Ribeiro Gonçalves,,São Luís,MA,JUCEMA/MA,019/2013
Marina Lima Frazão,,São Luís,MA,JUCEMA/MA,021/2014
Taís Priscila Rodrigues da Silva,,São José de Ribamar,MA,JUCEMA/MA,022/2016
Daniel Cerqueira Mendonça,,São Luís,MA,JUCEMA/MA,023/2019
Ana Cláudia Scarpim,,Caxias,MA,JUCEMA/MA,024/2019
Thales Brandão Feitosa de Sousa,,São Luís,MA,JUCEMA/MA,025/2020
Marco Antonio Barbosa de Oliveira Junior,https://www.marcoantonioleiloeiro.com.br,São Luís,MA,JUCEMA/MA,026/2020
Sandro de Oliveira,https://www.norteleiloes.com.br,Belém,PA,JUCEMA/MA,027/2021
Alex Willian Hoppe,https://www.hoppeleiloes.com.br,Canoinhas,SC,JUCEMA/MA,028/2021
Conceição Maria Fixer,https://www.mariafixerleiloes.com.br,Campo Grande,MS,JUCEMA/MA,029/2021
Davi Borges Aquino,https://www.alfaleiloes.com,São Paulo,SP,JUCEMA/MA,
Francisco Jonnathan Santos Freitas,https://franciscofreitasleiloes.com.br,Fortaleza,CE,JUCEMA/MA,
Victor Oliveira Dorta,https://www.victordortaleiloes.com.br,Palmas,TO,JUCEMA/MA,
Fernando Caetano Moreira Filho,https://www.fernandoleiloeiro.com.br,Divinópolis,MG,JUCEMA/MA,
Erico Sobral Soares,https://www.vipleiloes.com.br,São Luís,MA,JUCEMA/MA,
Wirna Campos Cardoso,https://www.vipleiloes.com.br,São Luís,MA,JUCEMA/MA,
Tassiana Menezes de Mello,,São Luís,MA,JUCEMA/MA,
Rodrigo Aparecido Rigolon da Silva,https://www.rigolonleiloes.com.br,Santa Inês,MA,JUCEMA/MA,
Ana Claudia Blasczyk,https://www.planaltoleiloes.com.br,Campo Grande,MS,JUCEMA/MA,
Irani Flores,https://www.leilaobrasil.com.br,São Paulo,SP,JUCEMA/MA,
