nome,site,cidade,uf,junta,matricula
Getúlio Boadana,,Belém,PA,JUCEPA/PA,02/85
Célia Maria Campos Cardoso,https://www.vipleiloes.com.br,Belém,PA,JUCEPA/PA,01/88
Aldenor de Souza Bohadana,,Belém,PA,JUCEPA/PA,02/89
Dorival Gomes Pinheiro,,Belém,PA,JUCEPA/PA,20000055227
Ana Alice Freitas de Souza,,Belém,PA,JUCEPA/PA,20000084685
João Neves Neto,,Belém,PA,JUCEPA/PA,20040467163
Pericles Weber de Almeida,,Belém,PA,JUCEPA/PA,20050043986
Lúcia Amélia Coutinho Tobelem,https://www.maestroleiloes.com.br,Belém,PA,JUCEPA/PA,20050350552
Odenerza Maria Progenio de Souza,,Belém,PA,JUCEPA/PA,20050461508
Sandro de Oliveira,https://www.norteleiloes.com.br,Benevides,PA,JUCEPA/PA,20070555214
Leonardo Simon Tobelem,https://www.maestroleiloes.com.br,Belém,PA,JUCEPA/PA,20080279805
David Marcos Tobelem,,Belém,PA,JUCEPA/PA,20080609627
Paulo Sergio Torres Lourenço,,Belém,PA,JUCEPA/PA,20090777271
Felipe Guimarães Carrijo,https://www.leilo.com.br,Benevides,PA,JUCEPA/PA,20110613740
Armando Grello Cabral,,Belém,PA,JUCEPA/PA,20120178486
Dereck Bentes Donis,,Belém,PA,JUCEPA/PA,20130366188
Maximo Moura Lima,,Belém,PA,JUCEPA/PA,20132207184
Helisson Silva Souza Maia,,Belém,PA,JUCEPA/PA,20150059426
Wirna Campos Cardoso,https://www.wirnacampos.com.br,Belém,PA,JUCEPA/PA,20150290314
Daniel Benarroch Barcessat,,Belém,PA,JUCEPA/PA,20150321740
Edilene Nazaré Silva,,Belém,PA,JUCEPA/PA,20160067480
José Araken Pamplona Barros,,Belém,PA,JUCEPA/PA,20170212670
Arthur Souto Cabral Neto,,Ananindeua,PA,JUCEPA/PA,20195428064
Alex Willian Hoppe,https://www.hoppeleiloes.com.br,Canoinhas,SC,JUCEPA/PA,20203743369
Rafael Galvani Ferreira,https://www.galvanileiloes.com.br,Maringá,PR,JUCEPA/PA,20210000074
Daniel Elias Garcia,https://www.danielgarcialeiloes.com.br,Belém,PA,JUCEPA/PA,20220001421
Marcos Wladimir Dulnik,https://www.leiloesmwd.com.br,Palmas,TO,JUCEPA/PA,20225243237
Luciano Resende Rodrigues,https://www.lancecertoleiloes.com.br,Recife,PE,JUCEPA/PA,222003960
Davi Borges de Aquino,https://alfaleiloes.com,Belém,PA,JUCEPA/PA,232006415
Francisco Jonnathan Santos Freitas,https://www.franciscofreitasleiloes.com.br,Fortaleza,CE,JUCEPA/PA,232006784
Cristiane Borguetti Moraes Lopes,https://www.lanceja.com.br,Santo André,SP,JUCEPA/PA,232007055
José Antônio Rodovalho Junior,https://www.joserodovalholeiloes.com.br,Uberlândia,MG,JUCEPA/PA,232006873
Victor Oliveira Dorta,https://www.victordortaleiloes.com.br,Palmas,TO,JUCEPA/PA,232006210
Celso Alves Cunha,https://celsocunhaleiloes.com.br,Fortaleza,CE,JUCEPA/PA,232007187
Renato Guedes Rocha,https://www.rioleiloes.com.br,Niterói,RJ,JUCEPA/PA,232008302
Lucyanna Miranda da Silva,https://www.lmleiloes.com.br,Belém,PA,JUCEPA/PA,232291390
Ramon de Souza Prado,,Jacundá,PA,JUCEPA/PA,246929707
Lucas Rafael Antunes Moreira,https://www.lucasleiloeiro.com.br,Belo Horizonte,MG,JUCEPA/PA,245868640
Jonas Gabriel Antunes Moreira,https://www.jonasleiloerio.com.br,Pará de Minas,MG,JUCEPA/PA,245868569
Davison Felipe de Azevedo Barros,,Marituba,PA,JUCEPA/PA,245808736
Luiz Barbosa de Lima Junior,https://www.lbleiloes.com.br,Londrina,PR,JUCEPA/PA,245691723
Carlos da Silva Oliveira,,Dom Eliseu,PA,JUCEPA/PA,245833005
Fernando Caetano Moreira Filho,https://www.fernandoleiloeiro.com.br,Contagem,MG,JUCEPA/PA,245868852
Lucas Vasconcelos Chagas,,Belém,PA,JUCEPA/PA,259922013
Érico Sobral Soares,,Fortaleza,CE,JUCEPA/PA,259169676
Fábio Prando Fagundes Góes,https://www.apiceleiloes.com,Cotia,SP,JUCEPA/PA,259197157
Edivan Ribeiro dos Santos,,Marabá,PA,JUCEPA/PA,258468165
Ana Laura de Souza Pires,https://soliduSleiloes.com.br,Belém,PA,JUCEPA/PA,258241543
Leonardo Nunes Lobo,,Benevides,PA,JUCEPA/PA,258117311
Gleinda Cristina Chaves Cavalheri,,Santa Izabel do Pará,PA,JUCEPA/PA,258510447
Ronaldo Galvão do Nascimento,,Ananindeua,PA,JUCEPA/PA,258064340
Luzinete dos Santos,,Marituba,PA,JUCEPA/PA,269885790
Ícaro Alexandre Felfili Jardim,https://www.felfilileiloes.com.br,Sinop,MT,JUCEPA/PA,26700000005
