nome,site,cidade,uf,junta,matricula
Alexandre Ferreira Nunes,,João Pessoa,PB,JUCEP/PB,03/2005
Roberto Jacinto Pinho Junior,https://www.vipleiloes.com.br,Caruaru,PE,JUCEP/PB,06/2009
Cleber da Silva Melo,http://www.leiloespb.com.br,Bayeux,PB,JUCEP/PB,07/2013
Marco Túlio Montenegro Cavalcanti Dias,https://www.marcotulioleiloes.com.br,Bayeux,PB,JUCEP/PB,10/2014
José Andrea Magliano Filho,https://www.maglianoleiloes.com.br,João Pessoa,PB,JUCEP/PB,39/2023
José Gonçalves Abrantes Filho,https://www.abrantesleiloes.com,Pombal,PB,JUCEP/PB,11/2015
Miguel Alexandrino Monteiro Neto,https://www.leiloesmonteiro.com.br,Cabedelo,PB,JUCEP/PB,12/2015
Vinícius Vidal Lacerda,https://www.vlleiloes.com.br,João Pessoa,PB,JUCEP/PB,16/2018
Jéssica Queiroga Magliano,https://www.maglianoleiloes.com.br,João Pessoa,PB,JUCEP/PB,17/2019
Edeylson Peixoto Fidelis,https://www.fidelisleiloes.com.br,João Pessoa,PB,JUCEP/PB,22/2019
Samara Barbosa Araújo,https://www.colossoleiloes.com.br,João Pessoa,PB,JUCEP/PB,23/2019
Rudival Almeida Gomes Júnior,https://www.rjleiloes.com.br,Salvador,BA,JUCEP/PB,24/2021
Filipe Pedro de Araújo,,Natal,RN,JUCEP/PB,26/2021
Alessandra Cristine Aparecida de Carlos,https://www.alessandraleiloes.com.br,Campina Grande,PB,JUCEP/PB,28/2021
Erico Sobral Soares,https://www.vipleiloes.com.br,Fortaleza,CE,JUCEP/PB,29/2021
Igor Luiz Silva Oliveira,,João Pessoa,PB,JUCEP/PB,27/2021
Gervasio Vasconcelos de Albuquerque,https://www.albuquerqueleiloes.com.br,Araruna,PB,JUCEP/PB,30/2022
Davi Borges de Aquino,https://www.alfaleiloes.com,São Paulo,SP,JUCEP/PB,31/2022
Tatiana Gadelha de Paiva,https://www.atlanticoleiloes.com.br,João Pessoa,PB,JUCEP/PB,32/2022
Raphael Queiroga Magliano,https://www.maglianoleiloes.com.br,João Pessoa,PB,JUCEP/PB,35/2022
Daniel Elias Garcia,https://www.dgleiloes.com.br,Criciúma,SC,JUCEP/PB,36/2022
Murilo Gonçalves Ramos,https://www.mgrleiloes.com.br,Goiânia,GO,JUCEP/PB,37/2022
Davi Eduardo Paulim,,Mossoró,RN,JUCEP/PB,38/2023
Alex Willian Hoppe,https://www.hoppeleiloes.com.br,Canoinhas,SC,JUCEP/PB,40/2023
Danillo Hamesses Melo Cunha,,Cabedelo,PB,JUCEP/PB,41/2023
Celso Alves Cunha,,Fortaleza,CE,JUCEP/PB,42/2024
Anna Karoline Santos do Amaral,https://www.focoleiloes.com.br,João Pessoa,PB,JUCEP/PB,45/2025
Lucas Rafael Antunes Moreira,https://www.lucasleiloeiro.com.br,Belo Horizonte,MG,JUCEP/PB,47/2024
Fernando Caetano Moreira Filho,https://www.fernandoleiloeiro.com.br,Contagem,MG,JUCEP/PB,48/2024
Jonas Gabriel Antunes Moreira,https://www.jonasleiloeiro.com.br,Pará de Minas,MG,JUCEP/PB,49/2025
Bruno José Galvão Monteiro,,Cabedelo,PB,JUCEP/PB,50/2025
Irani Flores,https://www.leilaobrasil.com.br,São Paulo,SP,JUCEP/PB,51/2025
Rodrigo Aparecido Rigolon da Silva,https://www.rigolonleiloes.com.br,Araraquara,SP,JUCEP/PB,52/2025
Stefania Filgueira Xavier,,Cajazeiras,PB,JUCEP/PB,53/2025
Israel Cassiano Rodrigues Farias,https://www.tesouroleiloes.com.br,Campina Grande,PB,JUCEP/PB,54/2025
Josenildo Lima da Silva Souza,https://josenildolimaleiloeiro.com.br,Campina Grande,PB,JUCEP/PB,55/2025
Ives Harrisson Nasar dos Santos,https://www.nasarleiloes.com.br,Fortaleza,CE,JUCEP/PB,56/2025
Jussara Daniele de Medeiros,,Natal,RN,JUCEP/PB,57/2025
