nome,site,cidade,uf,junta,matricula
Cassiano Ricardo Dall'Ago e Silva,https://www.cassianoleiloes.com.br,Jaboatão dos Guararapes,PE,JUCEPE/PE,26700000323
César Augusto Aragão Pereira,https://www.aragaoleiloes.com.br,Recife,PE,JUCEPE/PE,26700000471
Daniel Cintra Zanella,https://leilaopernambuco.com.br/,Recife,PE,JUCEPE/PE,26700000374
Daniel Elias Garcia,https://www.danielgarcialeiloes.com.br,Recife,PE,JUCEPE/PE,26700001770
Diogo Mattos Dias Martins,https://www.inovaleilao.com.br,Recife,PE,JUCEPE/PE,26700000447
Edeylson Peixoto Fidelis,https://www.fidelisleiloes.com.br/,Recife,PE,JUCEPE/PE,26700002865
Flávia Pereira Bonna,https://leilaopernambuco.com.br/,Recife,PE,JUCEPE/PE,26700000587
Flávio Alexandre Alves da Costa e Silva,https://www.hastaleilao.com.br,Recife,PE,JUCEPE/PE,26700000463
Gustavo Henrique Valença de Melo,http://www.ghvmleiloes.com.br,Recife,PE,JUCEPE/PE,26700000412
José Antônio Rodovalho Júnior,https://www.joserodovalholeiloes.com.br/,Jaboatão dos Guararapes,PE,JUCEPE/PE,26700001834
José David Gonçalves de Melo,https://www.jdleiloes.com.br,Recife,PE,JUCEPE/PE,26700000731
Luciano Resende Rodrigues,https://www.lancecertoleiloes.com.br,Recife,PE,JUCEPE/PE,26700000226
Renato Gracie,https://www.gracieleiloes.com.br,Recife,PE,JUCEPE/PE,26700000358
Roberto Jacinto Pinho Júnior,http://www.leilaovip.com.br/,Caruaru,PE,JUCEPE/PE,26700000722
Rudival Almeida Gomes Junior,https://www.rjleiloes.com.br,Recife,PE,JUCEPE/PE,26700000404
Tânia Maria von Beckerath Grimaldi,http://www.taniagrimaldileiloes.com.br/,Recife,PE,JUCEPE/PE,26700000552
Ícaro Santos de Andrade Tenório,https://www.icarotenorioleiloes.com.br,Jaboatão dos Guararapes,PE,JUCEPE/PE,26700000684
Osman Sobral e Silva,https://www.leiloesfreire.com.br,Recife,PE,JUCEPE/PE,26700000285
Roberta Cristina Rezende de Albuquerque,https://www.lancecertoleiloes.com.br,Recife,PE,JUCEPE/PE,26700000439
Onildo de Morais Silva,https://www.leiloesfreire.com.br,Recife,PE,JUCEPE/PE,26700001664
Gervasio Vasconcelos de Albuquerque,https://www.albuquerqueleiloes.com.br,Recife,PE,JUCEPE/PE,26700000145
Gabriel Borja de Lima Freitas,https://www.leiloesbrasilpe.com.br,São José do Egito,PE,JUCEPE/PE,26700002946
Fernando Caetano Moreira Filho,https://www.fernandoleiloeiro.com.br,Recife,PE,JUCEPE/PE,26700001826
Marcus Vinicius Yoshimi Uebara,https://www.destakleiloes.com.br,Recife,PE,JUCEPE/PE,26700001850
Irani Flores,https://www.leilaobrasil.com.br,Recife,PE,JUCEPE/PE,26700001788
Aline Souza Flores,https://www.leilaobrasil.com.br,Recife,PE,JUCEPE/PE,26700001869
Renato Schlobach Moysés,https://www.rmoyses.com.br,Recife,PE,JUCEPE/PE,26700002881
Mauro Colodete,https://www.colodeteleiloes.com.br,Recife,PE,JUCEPE/PE,26700001761
Adriano Santos Venceslau da Silva,,Recife,PE,JUCEPE/PE,26700000234
Pedro Dantas Venceslau,,Vitória de Santo Antão,PE,JUCEPE/PE,26700000625
César Britto Martins,,Recife,PE,JUCEPE/PE,26700001656
Deyvison Danilo Reis Martins,,Moreno,PE,JUCEPE/PE,26700001681
Douglas Richer e Silva Nascimento,,Recife,PE,JUCEPE/PE,26700001672
Luiz Eduardo Gomes,,Recife,PE,JUCEPE/PE,26700001605
Raphael Esteves de Faria,,Recife,PE,JUCEPE/PE,26700001710
Erico Sobral Soares,,Paulista,PE,JUCEPE/PE,26700001753
Cristiane Barros da Mota Balbino,,Bom Conselho,PE,JUCEPE/PE,26700001796
Jonas Gabriel Antunes Moreira,,Recife,PE,JUCEPE/PE,26700001818
Lucas Rafael Antunes Moreira,,Recife,PE,JUCEPE/PE,26700001800
Carmem Regina Pontes Piedade,,Recife,PE,JUCEPE/PE,26700001877
Monique Souza e Silva,,São José do Egito,PE,JUCEPE/PE,26700002890
Antônio de Lisboa de Andrade,,Afogados da Ingazeira,PE,JUCEPE/PE,26700002920
Celso Alves Cunha,,Jaboatão dos Guararapes,PE,JUCEPE/PE,26700003004
Luis Otavio Marcolino Shinkawa,,Recife,PE,JUCEPE/PE,26700002997
Miriam Aparecida Trindade Gir,,Jaboatão dos Guararapes,PE,JUCEPE/PE,26700003020
David Henrique Barros da Mota Carvalho,,Recife,PE,JUCEPE/PE,26700003055
