nome,site,cidade,uf,junta,matricula
Suzana Conceição Medeiros de Carvalho,https://www.suzanacarvalholeiloes.com,Teresina,PI,JUCEPI/PI,04/1996
Ítalo Trindade Moura,https://www.italoleiloes.com,Teresina,PI,JUCEPI/PI,11/2006
Erico Sobral Soares,https://www.vipleiloes.com.br,Teresina,PI,JUCEPI/PI,15/2015
José David Gonçalves de Melo,https://www.jdleiloes.com.br,Recife,PE,JUCEPI/PI,18/2021
Alex Willian Hoppe,https://www.hoppeleiloes.com.br,Canoinhas,SC,JUCEPI/PI,19/2021
Sergio Roberto Nogueira Lima,,Teresina,PI,JUCEPI/PI,20/2021
Daniel Elias Garcia,https://www.dgleiloes.com.br,São Luís,MA,JUCEPI/PI,21/2021
Murilo Gonçalves Ramos,,Goiânia,GO,JUCEPI/PI,24/2023
Italo Trindade Moura Filho,,Teresina,PI,JUCEPI/PI,25/2023
Fernando Caetano Moreira Filho,https://www.fernandoleiloeiro.com.br,Goiânia,GO,JUCEPI/PI,28/2024
Jonas Gabriel Antunes Moreira,,Goiânia,GO,JUCEPI/PI,29/2024
Lucas Rafael Antunes Moreira,,Belo Horizonte,MG,JUCEPI/PI,30/2024
Dora Plat,https://www.portalzuk.com.br,São Paulo,SP,JUCEPI/PI,31/2024
Maurício José de Sousa Costa,https://www.mjleiloes.com.br,Sumaré,SP,JUCEPI/PI,32/2024
Rodrigo Aparecido Rigolon da Silva,https://www.rigolonleiloes.com.br,Araraquara,SP,JUCEPI/PI,33/2025
Paulo Cezar Rocha Teixeira,https://www.leiloesjudiciaisbahia.com.br,Salvador,BA,JUCEPI/PI,35/2025
Andrezza da Cruz Peron,,Maringá,PR,JUCEPI/PI,36/2025
Miguel Alexandrino Monteiro Neto,https://www.leiloesmonteiro.com.br,Cabedelo,PB,JUCEPI/PI,37/2026
Eduardo Sydney Bezerra de Girao,,Fortaleza,CE,JUCEPI/PI,38/2026
