nome,site,cidade,uf,junta
Deonizia Kiratch,https://www.deonizialeiloes.com.br,Porto Velho,RO,JUCER/RR-RO
MGL Leiloes (Fernando/Jonas/Lucas Moreira),https://www.mgl.com.br,Contagem,MG,JUCER/RR
Wesley Silva Ramos,https://www.wrleiloes.com.br,Boa Vista,RR,JUCER/RR
Mayco Silva dos Santos,https://www.maycosantos.lel.br,Boa Vista,RR,JUCER/RR
Hugo Moreira Pimenta,https://leiloesrionegro.com.br,Manaus,AM,JUCER/RR
Alex Willian Hoppe,https://www.hoppeleiloes.com.br,Canoinhas,SC,JUCER/RR-RO
Brian Galvao Frota,https://www.gfleiloes.com.br,Manaus,AM,JUCER/RR
Rafael Galvani Ferreira,https://www.galvanileiloes.com.br,Maringa,PR,JUCER/RR
Jimmy Asami,https://www.asamileiloes.com.br,Manaus,AM,JUCER/RR
Daniel Elias Garcia,https://www.danielgarcialeiloes.com.br,Vilhena,RO,JUCER/RR-RO
Carlos Henrique Barbosa,https://www.chbarbosaleiloes.com.br,Cuiaba,MT,JUCER/RR-RO
Leiloes Aguiar (Vera Lucia/Vera Maria),https://www.leiloesaguiar.com.br,Porto Velho,RO,JUCER/RO
LanceVip (Evanilde/Ana Carolina/Bruno Rosa),https://www.lancevip.com.br,Ji-Parana,RO,JUCER/RO
Francisco Portela Aguiar,https://www.portelaleiloes.com.br,Porto Velho,RO,JUCER/RO
Marcus Allain de Oliveira Barbosa,https://www.maleiloesro.com.br,Porto Velho,RO,JUCER/RO
Patricia Pimentel Grocoski Costa,https://www.pimentelleiloes.com.br,Porto Velho,RO,JUCER/RO
Fernando Caetano Moreira Filho,https://www.fernandoleiloeiro.com.br,Contagem,MG,JUCER/RO
Lucas Rafael Antunes Moreira,https://www.lucasleiloeiro.com.br,Belo Horizonte,MG,JUCER/RO
Angelica Vilas Boas Nunes,https://vbleiloes.com.br,Porto Velho,RO,JUCER/RO
Thais Costa Bastos Teixeira,https://www.thaisteixeiraleiloes.com.br,Pocos de Caldas,MG,JUCER/RO
Sandro de Oliveira (Norte Leiloes),https://www.norteleiloes.com.br,Marituba,PA,JUCER/RO
Dora Plat (Portal Zuk),https://www.portalzuk.com.br,Taboao da Serra,SP,JUCER/RO
Wallason Silva Beltrame,https://beltrameleiloes.com.br,Vilhena,RO,JUCER/RO
Rodrigo Aparecido Rigolon da Silva,https://www.rigolonleiloes.com.br,Araraquara,SP,JUCER/RO
Vinco Leiloes (Frazao/Jaqueline Amorim),https://vincoleiloes.com.br,Barueri,SP,JUCER/RO
Diogo Reis Dutra,https://reisleiloes.com.br,Vilhena,RO,JUCER/RO
