nome,site,cidade,uf,junta,matricula
Jose Ivan de Souza Rabelo,https://www.realizaleiloes.com.br,Aracaju,SE,JUCESE/SE,96/001530-2
Hildegards Azevedo Santos Junior,,Aracaju,SE,JUCESE/SE,014/2001
Carlos Vinicius de Carvalho Mascarenhas,https://www.rjleiloes.com.br,Aracaju,SE,JUCESE/SE,11/2007
Carlos Gustavo Santos Fiel,https://www.c3leiloes.com.br,Aracaju,SE,JUCESE/SE,01/2008
Adilson Bento de Araujo,https://www.abaleiloes.com.br,Aracaju,SE,JUCESE/SE,15/2008
Valerio Cesar de Azevedo Deda,https://www.lancese.com.br,Aracaju,SE,JUCESE/SE,07/2008
Cristiane de Almeida Rabelo Gois,https://www.argleiloes.com.br,Aracaju,SE,JUCESE/SE,08/001291-4/2009
Alex Willian Hope,https://www.hoppeleiloes.com.br,Canoinhas,SC,JUCESE/SE,01/2021
Antonio Romero Ferreira da Silva,https://www.leiloescostaesilva.com.br,Aracaju,SE,JUCESE/SE,01/2022
Thiago Barros Cardoso,https://www.tbaracajuleiloes.com.br,Aracaju,SE,JUCESE/SE,103
Adelane Pedrozo Ferreira,,Aracaju,SE,JUCESE/SE,02/2021
Daniel Elias Garcia,https://www.dgleiloes.com.br,Aracaju,SE,JUCESE/SE,109
Osman Sobral e Silva,https://www.leiloesfreire.com.br,Aracaju,SE,JUCESE/SE,110
Fabio Goncalves Barbosa,https://www.fabiobarbosaleiloes.com.br,Araruna,PR,JUCESE/SE,1011
Jonas Gabriel Antunes Moreira,https://www.mgl.com.br,Para de Minas,MG,JUCESE/SE,112
Fernando Caetano Moreira Filho,https://www.fernandoleiloeiro.com.br,Itauna,MG,JUCESE/SE,113
Lucas Rafael Antunes Moreira,https://www.mgl.com.br,Itauna,MG,JUCESE/SE,114
Francisco Jonnathan Santos Freitas,https://www.franciscofreitasleiloes.com.br,Aracaju,SE,JUCESE/SE,115
Erick Soarez Teles,https://www.clicleiloes.com.br,Sao Paulo,SP,JUCESE/SE,118
Rodrigo Aparecido Rigolon da Silva,https://www.rigolonleiloes.com.br,Araraquara,SP,JUCESE/SE,119
Helcio Kronberg,https://www.kronleiloes.com.br,Rio de Janeiro,RJ,JUCESE/SE,120
Paulo Cezar Rocha Teixeira,https://www.leiloesjudiciaisbahia.com.br,Salvador,BA,JUCESE/SE,125
Renato Schlobach Moyses,https://www.rmoyses.com.br,Sao Paulo,SP,JUCESE/SE,127
