nome,site,matricula,situacao,cidade_leiloeiro,uf_leiloeiro,junta
HUGO MOREIRA PIMENTA,https://www.leilaomanaus.lel.br,009/2007,Regular,Manaus,AM,JUCEA
JIMMY ASAMI,https://www.asamileiloes.com.br,010/2009,Regular,Manaus,AM,JUCEA
WESLEY SILVA RAMOS,https://www.wrleiloes.com.br,011/2009,Regular,Manaus,AM,JUCEA
LUIZ DE CHIRICO JÚNIOR,https://www.leiloesdonorte.com.br,012/2009,Regular,Manaus,AM,JUCEA
FELIPE GUIMARÃES CARRIJO,https://www.leilo.com.br,017/2012,Regular,Goiânia,GO,JUCEA
BRIAN GALVÃO FROTA,https://www.amazonasleiloes.com.br,018/2015,Regular,Manaus,AM,JUCEA
SANDRO DE OLIVEIRA,https://www.norteleiloes.com.br,020/2020,Regular,Manaus,AM,JUCEA
MARIANA GOUVÊA LESSA,,021/2020,Regular,Manaus,AM,JUCEA
DEONIZIA KIRATCH,https://www.deonizialeiloes.com.br,022/2020,Regular,Porto Velho,RO,JUCEA
ALEX WILLIAN HOPPE,https://www.hoppeleiloes.com.br,023/2020,Regular,Canoinhas,SC,JUCEA
DANIEL ELIAS GARCIA,https://www.dgleiloes.com.br,028/2020,Regular,Manaus,AM,JUCEA
TIAGO TESSLER BLECHER,https://www.webleiloes.com.br,030/2019,Regular,Brasília,DF,JUCEA
DAVI BORGES DE AQUINO,https://www.alfaleiloes.com,031/2023,Regular,Manaus,AM,JUCEA
THAIS SILVA MOREIRA DE SOUZA,https://www.tmleiloes.com.br,006/2017,Regular,São Paulo,SP,JUCEA
FERNANDO CAETANO MOREIRA FILHO,https://www.fernandoleiloeiro.com.br,036/2024,Regular,Contagem,MG,JUCEA
RENAN SOUZA SILVA,https://www.souzasilvaleiloes.com.br,034/2024,Regular,São Paulo,SP,JUCEA
IRANI FLORES,https://www.leilaobrasil.com.br,047/2025,Regular,São Paulo,SP,JUCEA
PAULO CESAR AGOSTINHO,https://www.agostinholeiloes.com.br,048/2025,Regular,Belo Horizonte,MG,JUCEA
LEONARDO VIEIRA AMARAL,https://www.leilaonet.com.br,050/2025,Regular,São Paulo,SP,JUCEA
DANIELLY FERNANDES DA SILVA NAZARETH,,013/2011,Regular,Manaus,AM,JUCEA
RICARDO MARCELO GOMES DE OLIVEIRA,,014/2011,Regular,Manaus,AM,JUCEA
LUCAS RAFAEL ANTUNES MOREIRA,,039/2024,Regular,Belo Horizonte,MG,JUCEA
JONAS GABRIEL ANTUNES MOREIRA,,037/2024,Regular,Pará de Minas,MG,JUCEA
