id,confianca,uf_atual,uf_inferida,decisao,cidade,titulo,url
5de9ccf6d53d,baixa,ES,SP,,,02 SALÕES-CENTRO-SP; CONJ. SALAS-CENTRO-VIÓRIA/ES; TERRENO em MAGÉ/RJ; ANDAR COMERC. SALVADOR/BA; 12 CHÁCARAS em GOIÂNIA,https://depaulaonline.com.br/leiloes/361
60d07436fa531fbf46ed4caf,baixa,SE,SC,,Hasta Pública Leilões Joinville,"LEILÃO 2ª CÍVEL DE MAFRA- 2 PRAÇA- VOLKSWAGEN/GOLF 2.0 (NACIONAL), MODELO 2003.",https://www.hastapublica.lel.br/leilao/leilao-2a-civel-de-mafra-2-praca-volkswagen-golf-2-0-nacional-modelo-2003-15-05-2026-13-54-27/lotes/lista
5e57fc6e41f7318f4401fbed,baixa,SE,SC,,Hasta Pública Leilões Joinville,"LEILÃO 2ª CÍVEL DE MAFRA- 1 PRAÇA- VOLKSWAGEN/GOLF 2.0 (NACIONAL), MODELO 2003.",https://www.hastapublica.lel.br/leilao/leilao-2a-civel-de-mafra-1-praca-volkswagen-golf-2-0-nacional-modelo-2003-15-05-2026-13-49-43/lotes/lista
1f0b0e57f99adda4904034ae,baixa,RS,SC,aplicar,Maravilha,PÁ CARREGADEIRA LIUGONG CLG842 ANO: 2013,https://www.eckertleiloes.com.br/oferta/pa-carregadeira-liugong-clg842-ano-2013-4697634
2c4ddae062f7187df816e38c,baixa,RS,SC,aplicar,Maravilha,VOLKSWAGEN VOYAGE 1.6L MB5 ANO: 2019/2020 PLACA FINAL 4 (RS),https://www.eckertleiloes.com.br/oferta/volkswagen-voyage-16l-mb5-ano-2019-2020-placa-final-4-rs-4702287
518485bdfda90aa6519aaf26,baixa,RS,SC,aplicar,Maravilha,ESCAVADEIRA HIDRÁULICA LIUGONG CLG922D ANO: 2012/2013,https://www.eckertleiloes.com.br/oferta/escavadeira-hidraulica-liugong-clg922d-ano-2012-2013-4702285
553e02e2f9726ee501706d12,baixa,RS,SC,aplicar,Maravilha,CIGRES. MATERIAL RECICLADO,https://www.eckertleiloes.com.br/evento/cigres-787923?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=lotNumber:asc;subLotNumber:asc
b0be909794fcaa46d5f06cc5,baixa,RS,SC,aplicar,Maravilha,DISTRIBUIDOR DE ADUBOS LÍQUIDOS METALMAX MTX 6000L ANO: 2015,https://www.eckertleiloes.com.br/oferta/distribuidor-de-adubos-liquidos-metalmax-mtx-6000l-ano-2015-4702284
bebe939a93385b8dc4586aa6,baixa,PR,SC,aplicar,Maravilha,HONDA XLR 125 ANO: 2001/2001 PLACA FINAL 4 (PR),https://www.eckertleiloes.com.br/oferta/honda-xlr-125-ano-2001-2001-placa-final-4-pr-4702746
d5316272895f93e25a467335,baixa,RS,SC,aplicar,Maravilha,RETROESCAVADEIRA JCB 3C ANO: 2012,https://www.eckertleiloes.com.br/oferta/retroescavadeira-jcb-3c-ano-2012-4702286
169def314117f7c353dcc8df,baixa,SC,PR,aplicar,,"Venda Direta: Pavimento Comercial Herval d'Oeste. Imóvel com 120m² privativos. Lance mínimo: R$ 116.516,97 (50% da avali",https://www.planoleiloes.com.br/evento/venda-direta-pavimento-comercial-herval-doeste-786765?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=lotNumber:asc;subLotNumber:asc
8aedc32311698a48035c8ad0,baixa,SC,PR,aplicar,,Imóvel Herval D'Oeste,https://www.planoleiloes.com.br/oferta/imovel-herval-doeste-4663029
f4623e693ff5e3eb8b6ea845,baixa,SC,PR,aplicar,,Oportunidade em São Francisco do Sul: 2 Imóveis. Galpão industrial na BR-280 e terreno de 24 mil m². Investimento estrat,https://www.planoleiloes.com.br/evento/oportunidade-em-sao-francisco-do-sul-2-imoveis-787871?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=lotNumber:asc;subLotNumber:asc
3df246ee26858fe82f9918ad,baixa,SC,PR,aplicar,,Chapas SSM (Superfície Sólida Mineral)  100% Pure Acrylic Solid Surface,https://www.planoleiloes.com.br/oferta/chapas-ssm-superficie-solida-mineral-100-pure-acrylic-solid-surface-4719336
47649963e8c40fd143ce68c4,baixa,SC,PR,aplicar,,Galpão Industrial - SFS,https://www.planoleiloes.com.br/oferta/galpao-industrial-sfs-4709861
b0972571d02ae82bb5a302f6,baixa,RN,PR,,Oportunidade em Rio Negrinho,Antena Rádio - 30m RN,https://www.planoleiloes.com.br/oferta/antena-radio-30m-rn-4638691
1fc41013a8ce08adb387ccde,baixa,SP,MG,,,Opte por utilizar o Google Chrome,https://www.leiloeiropublico.com.br/DetalheLote.aspx?Leilao=22.190&Lote=3327&Sublote=1
69a4284ee4eff9a267f8f945,baixa,SE,SP,,,Opte por utilizar o Google Chrome,https://www.leiloeiropublico.com.br/DetalheLote.aspx?Leilao=22.190&Lote=3542&Sublote=1
67bfaf602874fb6bdaa134c4,baixa,SE,SC,aplicar,,LEILÃO DA JUSTIÇA ESTADUAL DE URUBICI/SC - VARA ÚNICA,https://www.mariafixerleiloes.com.br/leilao/index/leilao_id/94225/lote/199679
62f11b37ee132e0f7af767a1,baixa,SE,MS,aplicar,,LEILÃO DA JUSTIÇA ESTADUAL DE COSTA RICA/MS - JUIZADO ESPECIAL ADJUNTO,https://www.mariafixerleiloes.com.br/leilao/index/leilao_id/95080/lote/201877
73885ce0e8eb6df16b635138,baixa,SE,MS,aplicar,,JUSTIÇA DO TRABALHO DE PARANAÍBA/MS – VARA DO TRABALHO,https://www.mariafixerleiloes.com.br/leilao/index/leilao_id/94586
66384f0e9aa6da618142bc0d,baixa,SE,MS,aplicar,,JUSTIÇA DO TRABALHO DE CAMPO GRANDE/MS - CENTRO DE EXECUÇÃO E PESQUISA PATRIMONIAL,https://www.mariafixerleiloes.com.br/leilao/index/leilao_id/94871/lote/201497
21053850d0c58549a910bebf,baixa,SE,MA,aplicar,,JUSTIÇA ESTADUAL DE SANTA RITA/MA - VARA ÚNICA,https://www.mariafixerleiloes.com.br/leilao/index/leilao_id/94653/lote/200814
2882266357ca15da487764ff,baixa,SE,MS,aplicar,,JUSTIÇA DO TRABALHO DE CAMPO GRANDE/MS – 5ª VARA DO TRABALHO,https://www.mariafixerleiloes.com.br/leilao/index/leilao_id/95158/lote/202072
72818e8a559ead70d0b69e29,baixa,SE,MS,aplicar,,JUSTIÇA DO TRABALHO DE CAMPO GRANDE/MS – 6ª VARA,https://www.mariafixerleiloes.com.br/leilao/index/leilao_id/95181/lote/202117
0cdbf710248cefdae71135c5,baixa,SE,MS,aplicar,,JUSTIÇA ESTADUAL DE IVINHEMA/MS – 2ª VARA CÍVEL,https://www.mariafixerleiloes.com.br/leilao/index/leilao_id/94658/lote/200824
b75f5cd56fc0cd876141e0aa,baixa,SE,MT,aplicar,,JUSTIÇA ESTADUAL DE ALTA FLORESTA/MT - 2ª E 3ª VARAS CÍVEIS,https://www.mariafixerleiloes.com.br/leilao/index/leilao_id/95002
48ec91a187f9cb84db77906b,baixa,SE,MS,aplicar,,JUSTIÇA DO TRABALHO DE CAMPO GRANDE/MS - 1ª VARA,https://www.mariafixerleiloes.com.br/leilao/index/leilao_id/94903/lote/201546
47f38e0111fbbba58e62bb1e,baixa,SE,MA,aplicar,,Alto Parnaíba/MA - Fazenda São Bento c/ 16.040 hectares,https://www.mariafixerleiloes.com.br/leilao/index/leilao_id/29525/lote/95911
0ad30559e11000563ad677ae,baixa,SE,MA,aplicar,,JUSTIÇA ESTADUAL DE SANTA LUZIA/MA - 1ª VARA,https://www.mariafixerleiloes.com.br/leilao/index/leilao_id/37394/lote/132859
bed43962a183a233e6a718fa,baixa,SE,MS,aplicar,,JUSTIÇA DO TRABALHO DE CAMPO GRANDE/MS - 3ª VARA DO TRABALHO,https://www.mariafixerleiloes.com.br/leilao/index/leilao_id/38012/lote/134735
2729a31439aa46fe40f61d4d,baixa,SE,MA,aplicar,,LEILÃO DA JUSTIÇA ESTADUAL DE SÃO JOSÉ DE RIBAMAR/MA - 2ª VARA CÍVEL,https://www.mariafixerleiloes.com.br/leilao/index/leilao_id/94195/lote/199624
d32092693ec88c0417f1a507,baixa,SE,MS,aplicar,,LEILÃO DA JUSTIÇA ESTADUAL DE APARECIDA DO TABOADO/MS - 1ª VARA,https://www.mariafixerleiloes.com.br/leilao/index/leilao_id/94469/lote/200376
