nome,site,uf,observacao
DANIEL ELIAS GARCIA,danielgarcialeiloes.com.br,SC,Registrado em 22 estados
GUSTAVO CRISTIANO SAMUEL DOS REIS,gustavoreisleiloes.com.br,SP,Presidente Sindleiloeiro-SP; JUCESP 790
HELCIO KRONBERG,kronbergleiloes.com.br,PR,Também: kronleiloes.com.br; JUCEPAR 653
JOYCE RIBEIRO,jrleiloes.com.br,RS,JUCISRS 222/08
JOACIR MONZON POUEY,monzonleiloes.com.br,PR,Curitiba/PR; JUCEPAR
LILIAMAR FATIMA PARMEGGIANI PESTANA MARQUES GOMES,pestanaleiloes.com.br,RS,JUCISRS 168/00; maior leiloeira do Sul
ANDERSON LOPES DE PAULA,e-leiloeiro.leilao.br,SP,JUCESP 1083; E-Leiloeiro
CARLO FERRARI,carloferrarileiloes.com.br,SP,Também ferrarileiloes.com.br
LUCAS RAFAEL ANTUNES MOREIRA,lucasleiloeiro.com.br,MG,JUCEMG 637; Belo Horizonte. Também: mgl.com.br
RODRIGO APARECIDO RIGOLON DA SILVA,rigolonleiloes.com.br,SP,JUCESP 2006; atua em SP/DF/MG/PR
ÁLVARO MARQUES TEIXEIRA,amtleiloes.com.br,RS,JUCISRS AARC/274; Porto Alegre
PAULO ALEXANDRE HEISLER,bidgo.com.br,SC,JUCESC AARC 406; BID GO Leilões
AFONSO MARANGONI,marangonileiloes.com.br,PR,JUCEPAR 12/046-L; Curitiba
CLEVER ELMES MILANI,milanileiloes.com.br,PR,JUCEPAR 16/283-L; Colombo/PR
APARECIDA MARIA FIXER,cidafixerleiloes.com.br,MS,JUCEMS 16/2008; Campo Grande
CONCEIÇÃO MARIA FIXER,mariafixerleiloes.com.br,MS,JUCEMS 11; Campo Grande
TARCILIO LEITE,casadeleiloes.com.br,MS,JUCEMS 003; desde 1982; Campo Grande
ÁLVARO ANTONIO MUSSA PEREIRA,alvaroantonioleiloes.com.br,MT,JUCEMAT 013/2008; Cuiabá
FREDERICO ALBERT KRAUSEGG NEVES,fredericoleiloes.com.br,RJ,Petrópolis/RJ
GIORDANO BRUNO COAN AMADOR,giordanoleiloes.com.br,SP,JUCESP 1061
PAULO SETSUO NAKAKOGUE,psnleiloes.com.br,PR,JUCEPAR 625; Curitiba
ALEX SANDRO VIEIRA FELIX,alleiloes.com.br,PR,JUCEPAR 18/297-L; Londrina
PAULO ROBERTO NAKAKOGUE,nakakogueleiloes.com.br,PR,JUCEPAR 12/048L; Curitiba
DANIEL OLIVEIRA JUNIOR,danieloliveiraleiloes.com.br,PR,Atuação em PR e DF
FÁBIO GONÇALVES BARBOSA,fabiobarbosaleiloes.com.br,PR,JUCEPAR 12/042-L; atua em 60+ tribunais
ALEX WILLIAN HOPPE,hoppeleiloes.com.br,SC,JUCESC 285; Canoinhas/SC
ELTON LUIZ SIMON,simonleiloes.com.br,PR,JUCEPAR 09/023-L; Pato Branco/PR
LUIZ BARBOSA DE LIMA JUNIOR,lbleiloes.com.br,PR,JUCEPAR 10/030-L; Londrina/PR
GUILHERME EDUARDO STUTZ TOPOROSKI,topoleiloes.com.br,PR,JUCEPAR 12/049-L; Curitiba
LEVY DOS SANTOS MORAES FILHO,leiloessantosmoraes.com.br,PR,JUCEPAR 19/303-L; Jacarezinho/PR
GILSON KENITI INUMARU,gilsonleiloes.com.br,SP,JUCESP 762/2007; Ribeirão Preto
MURILO PAES LOPES LOURENÇO,,SP,JUCESP 1085; usa leilaobrasil.com.br
IRANI FLORES,leilaobrasil.com.br,SP,JUCESP 792
MARCELO VALLAND,valland.com.br,SP,30 anos de experiência
DOUGLAS JOSÉ FIDALGO,fidalgoleiloes.com.br,SP,JUCESP 587; 25 anos de atuação
MARILAINE BORGES DE PAULA,confiancaleiloes.leilao.br,SP,JUCESP; Ribeirão Preto
DAGMAR CONCEIÇÃO DE SOUZA FLORES,leilaobrasil.com.br,SP,JUCESP 901; mesma plataforma de Irani Flores
EUCLIDES MARASCHI JUNIOR,hastapublica.com.br,SP,JUCESP 819; Araraquara/SP
JULIO ABDO COSTA CALIL,calilleiloes.com.br,SP,JUCESP; Ribeirão Preto
DORA PLAT,zukerman.com.br,SP,JUCESP 744; Zukerman Leilões; fundado 1985
ÁLVARO SÉRGIO FUZO,alvaroleiloes.com.br,GO,JUCEG 035/2003; atua em GO/DF/TO/SP
ALESSANDRO DE ASSIS TEIXEIRA,alessandroteixeiraleiloes.com.br,MG,JUCEMG 992; Poços de Caldas
MARCOS ROBERTO TORRES,3torresleiloes.com.br,SP,JUCESP 633; Ribeirão Preto
ALBERTO JOSÉ MARCHI MACEDO,albertomacedoleiloes.com.br,SP,JUCESP 978; atua em SP/MT/BA
CLEBER CARDOSO PEREIRA,clebercardosoleiloes.com.br,SP,JUCESP 975; atua em SP e MT
ILTO ANTONIO MARTINS,iltomartins.lel.br,MS,JUCEMS 12; Campo Grande
REGINA AUDE LEITE DE ARAÚJO SILVA,reginaaudeleiloes.com.br,MS,JUCEMS 013; Campo Grande
GUSTAVO CORREA PEREIRA DA SILVA,leiloesonlinems.com.br,MS,JUCEMS 26; Campo Grande
JUCENARA DE MELLO VIEIRA BORDIGNON,juleiloes.com.br,RS,JUCISRS 371/2018; Paraí/RS
CATIELE BORGES LEFFA,leffaleiloes.com.br,RS,Torres/RS; JUCISRS 297
BRANDALÍ LUISA PARMEGGIANI,,RS,JUCISRS; sem site próprio identificado
RENNAN PARMEGGIANI DALL'ASTRA,,RS,JUCISRS; sem site próprio identificado
LILIANE VIRGINIA PARMEGGIANI,,RS,JUCISRS; associada à pestanaleiloes.com.br
CLECI AMABILE LEVY ZAGO,zagoleiloes.com.br,RS,JUCISRS 213/2006; Pelotas/RS
JOHN LEVY ZAGO AMARAL,zagoleiloes.com.br,RS,JUCISRS 369/2018; mesmo escritório de Cleci Zago
JORGE VINICIUS DE MOURA CORREA,winleiloes.com.br,RS,JUCISRS 375/2018
CIRLEI FREITAS BALBINO DA SILVA,balbinoleiloes.com.br,MT,JUCEMAT 022/2013; família Balbino
LUIZ BALBINO DA SILVA,balbinoleiloes.com.br,MT,JUCEMAT 42/2020; mesmo escritório
JOABE BALBINO DA SILVA,balbinoleiloes.com.br,MT,JUCEMAT 029/2015; mesmo escritório
LUZINETE MUSSA DE MORAES PEREIRA,lumussaleiloes.com.br,MT,JUCEMAT 014/2009; Cuiabá
KLEIBER LEITE PEREIRA JUNIOR,kleiberjrleiloes.com.br,MT,JUCEMAT 031/2015; Cuiabá
PAULO PIZZOLATTI NETO,topleiloes.com.br,SC,JUCESC; Blumenau/SC
ROGÉRIO DAMIANI,damianileiloes.com.br,SC,JUCESC AARC-042; Criciúma/SC
JOÃO PAULO SAMPAIO DAMIANI,sampaioleiloes.com.br,SC,Relacionado à Sampaio Leilões
TAÍSA RAQUEL PEREIRA CARVALHO,,SC,JUCESC; sem site próprio identificado
JEFFERSON EDUARDO ZAMPIERI,zampierileiloes.com.br,SC,JUCESC AARC/137; Blumenau
NELSON ZAMPIERI,leiloeirozampieri.com.br,SC,Grupo Zampieri
MARCOS ALESSANDRO ZAMPIERI,,SC,Registrado FENAJU; sem site próprio identificado
MAGNUN LUIZ SERPA,serpaleiloes.com.br,SC,JUCESC AARC/356; Joinville
FABIO MARLON MACHADO,machadoleiloeiro.com.br,SC,JUCESC; Maravilha/SC; desde 2017
GUSTAVO COSTA AGUIAR OLIVEIRA,gpleiloes.com.br,MG,JUCEMG 507; Belo Horizonte; ISO 9001
PATRÍCIA GRACIELE DE ANDRADE SOUSA,pwleiloes.com.br,MG,JUCEMG 945; PW Leilões
JONAS GABRIEL ANTUNES MOREIRA,jonasleiloeiro.com.br,MG,JUCEMG; Pará de Minas/MG
PASCHOAL COSTA NETO,costanetoleiloeiro.com.br,MG,JUCEMG 584; Belo Horizonte
CAROLINA CAMARGOS MARQUES FLORENTINO,,MG,JUCEMG 997; Nova Lima/MG; sem site próprio
FERNANDO CAETANO MOREIRA FILHO,mgl.com.br,MG,JUCEMG 445 e JUCIS-DF 121; MGL Leilões
ROLAND DE FREITAS MOREIRA,freitasleiloeiro.com.br,SP,Santo André/SP
SANDRA DE FÁTIMA SANTOS,sandrasantosleiloes.com.br,MG,JUCEMG 1061; Visconde do Rio Branco/MG
THAÍS COSTA BASTOS TEIXEIRA,thaisteixeiraleiloes.com.br,MG,JUCEMG 629
JOSÉ ANTÔNIO RODOVALHO JUNIOR,leiloesjudiciaismgnorte.com.br,MG,JUCEMG 862; norte de MG
PAULO CESAR AGOSTINHO,agostinholeiloes.com.br,MG,JUCEMG 955/2014
RENATO GUEDES ROCHA,rioleiloes.com.br,RJ,JUCERJA 211/2015
FÁBIO MANOEL GUIMARÃES,fabioleiloes.com.br,RJ,JUCERJA 136/2007; atua em RJ/MG/ES
SANDRA REGINA SEVIDANES RODRIGUES,sevidanesleiloeira.com.br,RJ,JUCERJA 165; Rio de Janeiro
EDGAR DE CARVALHO JÚNIOR,edgarcarvalholeiloeiro.com.br,RJ,JUCERJA 032; Rio de Janeiro
MAURÍCIO KRONEMBERG HARTMANN,mklance.com.br,RJ,JUCERJA; MK Lance
JULIANA VETTORAZZO RODRIGUES BARROS,jvleiloes.lel.br,RJ,JUCERJA; desde 2010
JOÃO EMÍLIO DE OLIVEIRA FILHO,joaoemilio.com.br,RJ,39 anos de mercado
