nome,site,uf,cidade,situacao
Aline Freitas Bastos Marques de Almeida,https://www.alinemarquesleiloeira.lel.br,,,Regular
Alvaro Sergio Fuzo,https://www.alvaroleiloes.com.br,,,Regular
Ana Lucia Borba Assuncao,https://www.leiloeirosdebrasilia.com.br,DF,,Regular
Anderson Lopes de Paula,https://www.e-leiloes.com.br,,,Regular
André Sobreira da Silva,https://www.centraljudicial.com.br,,,Regular
Andressa Sedrez Terres Tonial Ferreira,https://www.tonialleiloes.com.br,,,Regular
Angela Saraiva Portes Souza,https://www.saraivaleiloes.com.br,,,Regular
Angélica Mieko Inoue Dantas,https://www.lancetotal.com.br,SP,São Paulo,Regular
Antonio Brasil II,https://www.leiloesbrasil.com.br,,,Regular
Antônio Magno Jacob da Rocha,https://www.rochaleiloes.com.br,,,Regular
Ayrton de Souza Porto Filho,https://www.emleilao.com.br,,,Regular
Brenno de Figueiredo Porto,https://www.gestaodeleiloes.com.br,,,Regular
Carla Sobreira Umino,https://www.lancenoleilao.com.br,SP,São Paulo,Regular
Carolina Camargos Marques Florentino,https://www.gpleiloes.com.br,,,Regular
Catiele Borges Leffa,https://www.leffaleiloes.com.br,,,Regular
Celso Ribeiro Martins Fernandes,https://www.fidalgoleiloes.com.br,SP,São Paulo,Regular
Cesar Augusto Aragão Pereira,https://www.aragaoleiloes.com.br,,,Regular
Cirlei Freitas Balbino da Silva,https://www.balbinoleiloes.com.br,,,Regular
Cleber da Silva Melo,https://www.leiloespb.com.br,PB,,Regular
Cristiane de Almeida Rabelo Gois,https://www.argleiloes.com.br,,,Regular
Cristiano da Rosa Schöntag,https://www.trileiloes.com.br,,,Regular
Daniel Elias Garcia,https://www.danielgarcialeiloes.com.br,SP,São Paulo,Regular
Deonizia Kiratch,https://www.deonizialeiloes.com.br,,,Regular
Dilson Marcos Moreira,https://www.casaleiloeira.com.br,,,Regular
Eduardo de Werk,https://www.gestordeleiloes.com.br,,,Regular
Eduardo Schmitz,https://www.clicleiloes.com.br,,,Regular
Elizabete Ubialli,https://www.centralsuldeleiloes.com.br,,,Regular
Elton Luiz Simon,https://www.simonleiloes.com.br,,,Regular
Fabio Goncalves Barbosa,https://www.fabiobarbosaleiloes.com.br,,,Regular
Fabio Marlon Machado,https://www.machadoleiloeiro.com.br,,,Regular
Fernanda de Mello Franco,https://www.francoleiloes.com.br,,,Regular
Fernando Caetano Moreira Filho,https://www.mgl.com.br,,,Regular
Fernando Gonçalves Costa,https://www.multleiloes.com,,,Regular
Flares Aguiar da Silva,https://www.faleiloes.com.br,,,Regular
Flavio Duarte Ceruli,https://www.leiloesceruli.com.br,,,Regular
Giovano Ávila Alves,https://www.soleiloes.com.br,,,Regular
Giselle Fernanda Stefanelli Campos Souza,https://www.stefanellileiloes.com.br,,,Regular
Heliana Maria Oliveira Melo Ferreira,https://www.palaciodosleiloes.com.br,,,Regular
Hidirlene Duszeiko,https://www.hdleiloes.com.br,,,Regular
Isaias Rosa Ramos Junior,https://www.isaiasleiloes.com.br,,,Regular
Ives Harrisson Nasar dos Santos,https://www.nasarleiloes.com.br,,,Regular
João Antônio Cargnelutti,https://www.cargneluttileiloes.com.br,,,Regular
João Emilio de Oliveira Filho,https://www.joaoemilio.com.br,,,Regular
Jorge Ferlin Dale Nogari dos Santos,https://www.nogarileiloes.com.br,,,Regular
Jose Ivan de Souza Rabelo,https://www.realizaleiloes.com.br,,,Regular
José Luiz Donizete da Silva,https://www.siteleiloes.com.br,,,Regular
José Luiz Pereira Vizeu,https://www.flexleiloes.com.br,,,Regular
Josecelli Kildare Fraga Gomes,https://www.rjleiloes.com.br,RJ,,Regular
Joyce Ribeiro,https://www.jrleiloes.com.br,,,Regular
Liliamar Fátima P. Pestana Marques Gomes,https://www.pestanaleiloes.com.br,,,Regular
Luciano Resende Rodrigues,https://www.lancecertoleiloes.com.br,,,Regular
Lucio Ubialli,https://www.leiloescentrooeste.com.br,,,Regular
Luiz Barbosa de Lima Junior,https://www.lbleiloes.com.br,,,Regular
Marcos Roberto Torres,https://www.3torresleiloes.com.br,SP,Ribeirão Preto,Regular
Mauricio Paes Inacio,https://www.hastaleiloes.com.br,,,Regular
Moacira Tegoni Goedert,https://www.moacira.lel.br,,,Regular
Norma Maria Machado,https://www.machadoleiloes.com.br,,,Regular
Odiclesio Jaison Storchio,https://www.oesteleiloes.com.br,,,Regular
Orlando Araújo dos Santos,https://www.oaleiloes.com.br,,,Regular
Patrícia Graciele de Andrade Sousa,https://www.patricialeiloeira.com.br,,,Regular
Paulo Cesar Agostinho,https://www.agostinholeiloes.com.br,,,Regular
Paulo Roberto Alves Botelho,https://www.paulobotelholeiloeiro.com.br,,,Regular
Paulo Roberto Nakakogue,https://www.nakakogueleiloes.com.br,,,Regular
Paulo Setsuo Nakakogue,https://www.psnleiloes.com.br,,,Regular
Péricles Luciano Santos de Jesus,https://www.centraldosleiloes.com.br,,,Regular
Ricardo Lucas Granado da Silva,https://www.granadoleiloes.com.br,SP,São Paulo,Regular
Rodolfo da Rosa Schöntag,https://www.leiloeiropublico.com.br,,,Regular
Rodrigo Schmitz,https://www.hammer.lel.br,,,Regular
Rudival Almeida Gomes Junior,https://www.rjleiloes.com.br,RJ,,Regular
Ruy Walter Baldissera,https://www.baldisseraleiloeiros.com.br,,,Regular
Sandro de Oliveira,https://www.norteleiloes.com.br,,,Regular
Simone Wenning,https://www.maxterleiloes.com.br,,,Regular
Spencer D'Avila Fogagnoli,https://www.spencerleiloes.com.br,,,Regular
Tatiana Paula Zani de Sousa,https://www.liderleiloes.com.br,SP,Santo André,Regular
Tiago Brunelli de Moraes,https://www.moraesleiloes.com.br,,,Regular
Valério César de Azevedo Déda,https://www.lancese.com.br,SE,,Regular
Vicente de Paulo Albuquerque Costa Filho,https://www.leilaovip.com.br,SP,São Paulo,Regular
Viriato Domingues Cravo,https://www.cravoleiloes.com.br,,,Regular
Werno Klöckner Junior,https://www.kleiloes.com.br,,,Regular
Wesley Silva Ramos,https://www.wrleiloes.com.br,,,Regular
