leiloeiro_nome,leiloeiro_site,leiloeiro_slug,qtd_imoveis
Porto Leilões,https://www.portoleiloes.com.br/,porto-leiloes,26
Rodolfo Schontag,https://www.leiloeiropublico.com.br,rodolfo-schontag,21
Mega Leilões,https://www.megaleiloes.com.br/,mega-leiloes,19
Grupo Lance,https://www.grupolance.com.br,grupo-lance,19
Lance no Leilão,https://www.lancenoleilao.com.br/,lance-no-leilao,19
Luis Leiloeiro,https://www.luisleiloeiro.com.br/,luis-leiloeiro,19
Sold Leilões,https://www.sold.com.br,sold-leiloes,19
Portal Zuk,https://www.portalzuk.com.br/,portal-zuk,5
Milan Leilões,https://www.milanleiloes.com.br/,milan-leiloes,1
Frazão Leilões,https://www.frazaoleiloes.com.br,frazao-leiloes,1
Franco Leilões,https://www.francoleiloes.com.br/,franco-leiloes,1
Central Sul de Leilões, https://www.centralsuldeleiloes.com.br/,central-sul-de-leiloes,1
