leiloeiro,url,titulo,cidade,estado,preco,avaliacao,desconto_pct,duplicado
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11439/lote/242326/parte-frontal-de-imovel-com-area-construida-de-aprox-215-00m2-no-municipio-de-timbo-sc,"Parte frontal de Imóvel, com área construída de aprox. 215,00m², no Município de Timbó/SC",Indaial,SC,382500.0,750000.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11519/lote/242420/gramofone-e-diversos-instrumentos-musicais,"Gramofone, e diversos instrumentos musicais",Indaial,SC,9333.0,18300.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11456/lote/242347/apartamento-no-203-bloco-f-no-residencial-quinta-das-araucarias-no-municipio-de-itajai-sc,"Apartamento nº 203, bloco F, no Residencial Quinta das Araucárias, no Município de Itajaí/SC",Itajaí,SC,107786.74,211346.55,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11419/lote/242302/motocicleta-honda-cg-125-fan-ano-modelo-2008-placa-mfg7d63,"Motocicleta Honda/CG 125 Fan, ano/modelo 2008, placa MFG7D63",Florianópolis,SC,4099.89,8039.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11419/lote/242303/automovel-vw-gol-1-0-modelo-2012-placa-mij6a56,"Automóvel VW/Gol 1.0, modelo 2012, placa MIJ6A56",Florianópolis,SC,13260.0,26000.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11419/lote/242304/terreno-com-area-de-980-00m2-bairro-ponta-aguda-no-municipio-de-blumenau-sc,"Terreno com área de 980,00m², bairro Ponta Aguda, no Município de Blumenau/SC",Florianópolis,SC,380973.19,747006.26,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11380/lote/242205/imovel-de-2-pavimentos-com-area-de-390-00m2-no-lot-catarina-i-em-sao-jose-sc,"Imóvel de 2 Pavimentos, com área de 390,00m², no Lot. Catarina I, em São José/SC",São José,SC,381829.46,748685.23,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11380/lote/242206/apartamento-no-205-bloco-06-no-conj-hab-alto-bela-vista-em-sao-jose-sc,"Apartamento nº 205, bloco 06, no Conj. Hab. Alto Bela Vista, em São José/SC",São José,SC,145359.58,285018.8,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11453/lote/242344/400-quatrocentos-quilos-de-malha-em-rolo-ou-charuto-composicoes-variadas-ld-sem-tingimento-crua,"400 (quatrocentos) quilos de malha, em rolo ou charuto, composições variadas (LD), sem tingimento (crua)",Brusque,SC,4080.0,8000.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11441/lote/242328/automovel-vw-gol-1-0-ano-modelo-2003-placa-mbx1603-3,"Automóvel VW/Gol 1.0, ano/modelo 2003, placa MBX1603",Porto União,SC,6066.96,11896.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11436/lote/242321/terreno-com-area-de-46-043-00m2-bairro-vila-nova-no-municipio-de-joinville-sc,"Terreno com área de 46.043,00m², bairro Vila Nova, no Município de Joinville/SC",Joinville,SC,2913630.0,5713000.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11418/lote/242294/motoneta-honda-c100-biz-es-ano-modelo-2001-placa-mbz2j48-2,"Motoneta Honda/C100 Biz ES, ano/modelo 2001, placa MBZ2J48",Florianópolis,SC,1989.0,3900.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11418/lote/242295/automovel-vw-gol-16v-turbo-modelo-2002-placa-mfw1f70,"Automóvel VW/Gol 16V Turbo, modelo 2002, placa MFW1F70",Florianópolis,SC,7479.15,14665.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11418/lote/242296/automovel-i-ford-fusion-se-flex-modelo-2018-placa-qji-4682,"Automóvel I/Ford Fusion SE Flex, modelo 2018, placa QJI 4682",Florianópolis,SC,44101.74,86474.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11418/lote/242297/imovel-com-area-de-572-00m2-com-edificacao-em-prainha-no-municipio-de-penha-sc,"Imóvel com área de 572,00m², com Edificação, em Prainha, no Município de Penha/SC",Florianópolis,SC,459513.45,901006.78,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11418/lote/242298/automovel-gm-corsa-wind-ano-modelo-2001-placa-kmy8324,"Automóvel GM/Corsa Wind, ano/modelo 2001, placa KMY8324",Florianópolis,SC,1020.0,2000.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11418/lote/242299/automovel-fiat-palio-ex-modelo-1999-placa-gon9772,"Automóvel Fiat/Palio EX, modelo 1999, placa GON9772",Florianópolis,SC,5348.37,10487.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11418/lote/242300/motocicleta-honda-cg-125-titan-ks-modelo-2004-placa-mdf3709,"Motocicleta Honda/CG 125 Titan KS, modelo 2004, placa MDF3709",Florianópolis,SC,3877.02,7602.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11418/lote/242301/motocicleta-honda-cg-150-titan-ks-modelo-2005-placa-mdd2687,"Motocicleta Honda/CG 150 Titan KS, modelo 2005, placa MDD2687",Florianópolis,SC,4086.63,8013.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11405/lote/242275/fracao-de-16-66-sobre-terreno-no-lt-13-qd-332-com-area-de-240-00m2-no-lot-macieira-em-fraiburgo-sc,"Fração de 16,66% sobre Terreno no LT 13 QD 332 com área de 240,00m², no Lot. Macieira, em Fraiburgo/SC",Fraiburgo,SC,8612.64,16887.53,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11391/lote/242234/maquina-calandra-de-malha-marca-mirandopolis-2,"Máquina Calandra de Malha, marca Mirandópolis",Florianópolis,SC,63750.0,125000.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11391/lote/242235/maquina-abridora-de-malha-marca-mirandopolis-2,"Máquina Abridora de Malha, marca Mirandópolis",Florianópolis,SC,63750.0,125000.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11416/lote/242292/terreno-com-area-de-355-00m2-bairro-barro-vermelho-em-orleans-sc,"Terreno com área de 355,00m², bairro Barro Vermelho, em Orleans/SC",Tubarão,SC,127500.0,170000.0,75.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11440/lote/242327/terreno-de-posse-com-area-de-342-00m2-com-area-construida-de-aprox-612-50m2-vargem-grande-em-florianopolis-sc,"Terreno de posse com área de 342,00m², com área construída de aprox. 612,50m², Vargem Grande, em Florianópolis/SC",Florianópolis,SC,195162.94,382672.44,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242241/terreno-no-lt-01-qd-e-com-area-de-360-00m2-no-lot-amelia-em-urussanga-sc,"Terreno no LT 01 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,52586.22,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242242/terreno-no-lt-02-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 02 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,52586.22,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242243/terreno-no-lt-03-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 03 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,52586.22,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242244/terreno-no-lt-04-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 04 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,52586.22,51.0,False
