leiloeiro,url,titulo,cidade,estado,preco,duplicado
Milan Leilões,https://www.milanleiloes.com.br/leilao/15141/lote/01,SÃO GONÇALO - RJ - TERRENO URBANO DE 220.400m²,São Gonçalo,RJ,18269000.0,False
Milan Leilões,https://www.milanleiloes.com.br/leilao/15294/lote/002,"Maracaçumé – MA. Bairro Cidade Nova. Casa. Áreas Totais. Terr. 315,90m² e constr. 125,20m²",Maracaçumé,MA,40000.0,False
Milan Leilões,https://www.milanleiloes.com.br/leilao/15294/lote/003,"Monte Carmelo – MG. Santa Rita de Cassia II. Casa. Áreas Totais. Terr. 168,00m² e constr. 90,38m²",Monte Carmelo,MG,73000.0,False
Milan Leilões,https://www.milanleiloes.com.br/leilao/15294/lote/004,"Belo Horizonte - MG. Bairro Concórdia. Casa. Áreas Totais. Terr. 161,89m² e constr. 133,82m²",Belo Horizonte,MG,393000.0,False
Milan Leilões,https://www.milanleiloes.com.br/leilao/15294/lote/005,"Belém - PA. Bairro Marco. Suíte. Hoteleiro Hangar. Área Priv. 14,60m²",Belém,PA,76000.0,False
Milan Leilões,https://www.milanleiloes.com.br/leilao/15294/lote/006,"Recife – PE. Bairro Várzea. Casa. Cond. Jd. Várzea Res. Área Priv. 40,18m²",Recife,PE,76000.0,False
Milan Leilões,https://www.milanleiloes.com.br/leilao/15294/lote/007,"Rio de Janeiro – RJ. Bairro Recreio do Bandeirantes. Casa. Cond. Terra Américas. Área Priv. 255,00m²",Rio De Janeiro,RJ,1125000.0,False
Milan Leilões,https://www.milanleiloes.com.br/leilao/15294/lote/008,"Tubarão - SC. Bairro Centro. Casa. Áreas Totais. Terr. 160,75m² e constr. 123,08m²",Tubarão,SC,333000.0,False
Milan Leilões,https://www.milanleiloes.com.br/leilao/15294/lote/009,"São Paulo – SP. Bairro Jd Virginia Bianca. Casa. Áreas Totais. Terr. 491,00m² e constr. 277,00m²",São Paulo,SP,935000.0,False
Milan Leilões,https://www.milanleiloes.com.br/leilao/15294/lote/010,"Pardinho – SP. Bairro Ninho Verde. Casa. Áreas Totais. Terr. 900,00m² e constr 299,98m²",Pardinho,SP,1050000.0,False
Milan Leilões,https://www.milanleiloes.com.br/leilao/15294/lote/011,"Jundiaí – SP. Bairro Vila Boaventura. Res. Marrakech. Apto. Área Priv. 225,65m²",Jundiaí,SP,910000.0,False
Milan Leilões,https://www.milanleiloes.com.br/leilao/15294/lote/012,"Ribeirão Preto – SP. Pq Res. Cândido Portinari. Casa. Á T. Terr. 336,00m² e constr. 132,68m²",Ribeirão Preto,SP,258000.0,False
Milan Leilões,https://www.milanleiloes.com.br/leilao/15294/lote/013,"Santa Bárbara D Oeste - SP. Res. Mac Knight. Casa. Área Terr. 297,00m² e constr. 160,49m²",Santa Bárbara D Oeste,SP,666000.0,False
Milan Leilões,https://www.milanleiloes.com.br/leilao/15318/lote/003,"Tijucas - SC. Bairro Joáia. Casa. Áreas Totais. Terr. 207,90m² e 95,26m²",Tijucas,SC,337011.56,False
Milan Leilões,https://www.milanleiloes.com.br/leilao/15319/lote/004,"Itaboraí - RJ. Bairro Outeiro das Pedras. Vita Felice Residencial. Apto Área Priv. 71,51m²",Itaboraí,RJ,424693.94,False
Milan Leilões,https://www.milanleiloes.com.br/leilao/15320/lote/005,"Dourados – MS. Bairro Pq Alvorada. Res. Itabira. Apto Área priv. 42,17m²",Dourados,MS,165513.76,False
Milan Leilões,https://www.milanleiloes.com.br/leilao/15321/lote/006,"Barretos – SP. Bairro Centro. Casa. Áreas Totais. Terr. 242,00m² e constr. 184,55m²",Barretos,SP,569510.93,False
Milan Leilões,https://www.milanleiloes.com.br/leilao/15322/lote/007,"Praia Grande – SP. Bairro Caiçara. Res. Arte Real XX. Apto Área priv. 66,83m²",Praia Grande,SP,452093.97,False
Milan Leilões,https://www.milanleiloes.com.br/leilao/15291/lote/001,"Esmeraldas - MG. Zona Rural. Fazenda Fortaleza. Terreno com 52,55,85ha",Esmeraldas,MG,1994137.59,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11439/lote/242326/parte-frontal-de-imovel-com-area-construida-de-aprox-215-00m2-no-municipio-de-timbo-sc,"Parte frontal de Imóvel, com área construída de aprox. 215,00m², no Município de Timbó/SC",Indaial,SC,382500.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11456/lote/242347/apartamento-no-203-bloco-f-no-residencial-quinta-das-araucarias-no-municipio-de-itajai-sc,"Apartamento nº 203, bloco F, no Residencial Quinta das Araucárias, no Município de Itajaí/SC",Itajaí,SC,107786.74,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11419/lote/242304/terreno-com-area-de-980-00m2-bairro-ponta-aguda-no-municipio-de-blumenau-sc,"Terreno com área de 980,00m², bairro Ponta Aguda, no Município de Blumenau/SC",Florianópolis,SC,380973.19,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11380/lote/242205/imovel-de-2-pavimentos-com-area-de-390-00m2-no-lot-catarina-i-em-sao-jose-sc,"Imóvel de 2 Pavimentos, com área de 390,00m², no Lot. Catarina I, em São José/SC",São José,SC,381829.46,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11380/lote/242206/apartamento-no-205-bloco-06-no-conj-hab-alto-bela-vista-em-sao-jose-sc,"Apartamento nº 205, bloco 06, no Conj. Hab. Alto Bela Vista, em São José/SC",São José,SC,145359.58,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11436/lote/242321/terreno-com-area-de-46-043-00m2-bairro-vila-nova-no-municipio-de-joinville-sc,"Terreno com área de 46.043,00m², bairro Vila Nova, no Município de Joinville/SC",Joinville,SC,2913630.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11418/lote/242297/imovel-com-area-de-572-00m2-com-edificacao-em-prainha-no-municipio-de-penha-sc,"Imóvel com área de 572,00m², com Edificação, em Prainha, no Município de Penha/SC",Florianópolis,SC,459513.45,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11405/lote/242275/fracao-de-16-66-sobre-terreno-no-lt-13-qd-332-com-area-de-240-00m2-no-lot-macieira-em-fraiburgo-sc,"Fração de 16,66% sobre Terreno no LT 13 QD 332 com área de 240,00m², no Lot. Macieira, em Fraiburgo/SC",Fraiburgo,SC,8612.64,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11416/lote/242292/terreno-com-area-de-355-00m2-bairro-barro-vermelho-em-orleans-sc,"Terreno com área de 355,00m², bairro Barro Vermelho, em Orleans/SC",Tubarão,SC,127500.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11440/lote/242327/terreno-de-posse-com-area-de-342-00m2-com-area-construida-de-aprox-612-50m2-vargem-grande-em-florianopolis-sc,"Terreno de posse com área de 342,00m², com área construída de aprox. 612,50m², Vargem Grande, em Florianópolis/SC",Florianópolis,SC,195162.94,False
